h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.536,1.332,0.536,1.332,"{'att': 274, 'def': 22}","{'att': 196, 'def': 24}",0,11,2,0,0.71,w,2015-08-09 16:30:00,1,0,0,3,-0.796
h,0.513,1.809,0.513,1.809,"{'att': 102, 'def': 16}","{'att': 331, 'def': 22}",10,5,1,2,0.316,l,2015-08-15 18:00:00,0,0,1,0,-1.296
h,1.502,2.855,0.741,2.094,"{'att': 218, 'def': 22}","{'att': 193, 'def': 18}",3,7,3,4,0.488,l,2015-08-22 18:00:00,0,0,1,0,-1.353
a,0.972,0.562,0.972,0.562,"{'att': 266, 'def': 22}","{'att': 173, 'def': 29}",1,12,3,0,1.736,w,2015-08-29 18:00:00,1,0,0,3,0.41
h,1.713,0.717,1.713,0.717,"{'att': 293, 'def': 25}","{'att': 148, 'def': 18}",4,4,2,0,2.2,w,2015-09-14 23:00:00,1,0,0,3,0.996
a,0.995,2.985,0.995,2.985,"{'att': 309, 'def': 13}","{'att': 143, 'def': 39}",3,15,2,1,0.242,w,2015-09-19 20:30:00,1,0,0,3,-1.989
h,2.604,1.386,2.604,1.386,"{'att': 270, 'def': 30}","{'att': 175, 'def': 26}",9,3,2,2,2.194,d,2015-09-26 18:00:00,0,1,0,1,1.218
a,1.937,1.084,1.937,1.084,"{'att': 197, 'def': 21}","{'att': 247, 'def': 19}",7,3,2,2,2.033,d,2015-10-03 18:00:00,0,1,0,1,0.853
a,2.764,1.084,2.764,0.323,"{'att': 165, 'def': 23}","{'att': 251, 'def': 20}",15,9,3,1,2.512,w,2015-10-17 18:00:00,1,0,0,3,2.441
h,0.773,1.136,0.773,1.136,"{'att': 263, 'def': 28}","{'att': 201, 'def': 26}",3,4,2,1,1.007,w,2015-10-24 18:00:00,1,0,0,3,-0.363
a,0.606,1.615,0.606,1.615,"{'att': 199, 'def': 20}","{'att': 254, 'def': 25}",2,7,0,2,0.606,l,2015-10-31 19:00:00,0,0,1,0,-1.01
h,0.59,1.088,0.59,1.088,"{'att': 270, 'def': 20}","{'att': 290, 'def': 16}",2,6,1,1,0.85,d,2015-11-07 19:00:00,0,1,0,1,-0.499
a,0.819,3.224,0.819,3.224,"{'att': 253, 'def': 27}","{'att': 205, 'def': 37}",4,8,1,4,0.148,l,2015-11-22 20:00:00,0,0,1,0,-2.405
h,1.414,0.866,1.414,0.866,"{'att': 131, 'def': 22}","{'att': 251, 'def': 23}",9,3,1,1,1.748,d,2015-11-29 18:05:00,0,1,0,1,0.548
a,1.102,1.761,1.102,1.761,"{'att': 256, 'def': 19}","{'att': 177, 'def': 19}",2,14,0,0,0.891,d,2015-12-05 19:00:00,0,1,0,1,-0.659
h,1.132,1.872,1.132,1.872,"{'att': 210, 'def': 29}","{'att': 160, 'def': 16}",5,7,0,0,0.802,d,2015-12-12 19:00:00,0,1,0,1,-0.741
a,0.402,0.973,0.402,0.973,"{'att': 401, 'def': 33}","{'att': 93, 'def': 17}",4,10,0,0,0.81,d,2015-12-20 20:00:00,0,1,0,1,-0.571
a,0.836,1.612,0.836,0.851,"{'att': 231, 'def': 26}","{'att': 159, 'def': 22}",1,7,1,1,0.699,d,2015-12-26 19:00:00,0,1,0,1,-0.015
h,1.796,1.371,1.796,1.371,"{'att': 170, 'def': 12}","{'att': 235, 'def': 38}",2,8,2,1,1.709,w,2015-12-28 21:30:00,1,0,0,3,0.425
h,2.067,1.866,2.067,1.866,"{'att': 221, 'def': 19}","{'att': 120, 'def': 22}",3,11,2,0,1.528,w,2016-01-02 16:45:00,1,0,0,3,0.201
a,1.185,0.73,1.185,0.73,"{'att': 205, 'def': 21}","{'att': 233, 'def': 29}",6,2,3,1,1.757,w,2016-01-12 23:45:00,1,0,0,3,0.455
a,1.082,1.843,1.082,1.843,"{'att': 269, 'def': 24}","{'att': 253, 'def': 28}",4,10,1,2,0.817,l,2016-01-16 19:00:00,0,0,1,0,-0.76
h,1.013,1.732,1.013,0.971,"{'att': 234, 'def': 25}","{'att': 214, 'def': 27}",6,9,2,2,0.768,d,2016-01-23 21:30:00,0,1,0,1,0.042
h,2.346,0.108,2.346,0.108,"{'att': 140, 'def': 30}","{'att': 344, 'def': 23}",13,2,2,0,2.887,w,2016-02-02 23:45:00,1,0,0,3,2.238
a,0.971,1.065,0.971,1.065,"{'att': 150, 'def': 19}","{'att': 287, 'def': 23}",7,4,0,1,1.208,l,2016-02-06 21:30:00,0,0,1,0,-0.094
a,0.741,1.034,0.741,1.034,"{'att': 147, 'def': 20}","{'att': 197, 'def': 29}",5,5,2,2,1.047,d,2016-02-13 19:00:00,0,1,0,1,-0.292
h,0.524,1.079,0.524,1.079,"{'att': 184, 'def': 26}","{'att': 199, 'def': 24}",6,8,1,0,0.813,w,2016-02-27 16:45:00,1,0,0,3,-0.555
h,0.784,1.227,0.784,1.227,"{'att': 246, 'def': 22}","{'att': 71, 'def': 29}",2,0,1,0,0.893,w,2016-03-02 23:45:00,1,0,0,3,-0.442
a,2.721,2.09,2.721,1.329,"{'att': 194, 'def': 28}","{'att': 284, 'def': 20}",6,2,3,2,1.804,w,2016-03-05 19:00:00,1,0,0,3,1.392
a,0.863,2.141,0.863,1.379,"{'att': 313, 'def': 27}","{'att': 191, 'def': 25}",4,10,2,2,0.492,d,2016-03-19 19:00:00,0,1,0,1,-0.517
h,1.714,1.656,1.714,1.656,"{'att': 119, 'def': 21}","{'att': 318, 'def': 28}",11,0,2,2,1.386,d,2016-04-02 18:00:00,0,1,0,1,0.058
h,1.11,1.47,1.11,1.47,"{'att': 295, 'def': 31}","{'att': 193, 'def': 20}",6,15,3,3,1.068,d,2016-04-09 15:45:00,0,1,0,1,-0.36
a,1.568,1.953,0.807,1.192,"{'att': 168, 'def': 29}","{'att': 216, 'def': 17}",6,5,2,2,1.007,d,2016-04-17 16:30:00,0,1,0,1,-0.385
h,3.963,1.223,2.441,0.462,"{'att': 256, 'def': 36}","{'att': 215, 'def': 34}",8,5,3,1,2.839,w,2016-04-20 22:45:00,1,0,0,3,1.978
a,1.272,1.535,1.272,1.535,"{'att': 170, 'def': 28}","{'att': 291, 'def': 37}",5,4,3,0,1.136,w,2016-04-30 18:00:00,1,0,0,3,-0.263
h,2.395,2.473,2.395,2.473,"{'att': 218, 'def': 27}","{'att': 246, 'def': 15}",13,14,1,4,1.32,l,2016-05-07 18:00:00,0,0,1,0,-0.078
h,2.133,0.636,2.133,0.636,"{'att': 245, 'def': 29}","{'att': 167, 'def': 28}",8,7,3,2,2.45,w,2016-05-10 23:30:00,1,0,0,3,1.497
a,2.945,0.289,2.945,0.289,"{'att': 217, 'def': 18}","{'att': 228, 'def': 13}",7,4,1,2,2.879,l,2016-05-15 18:00:00,0,0,1,0,2.656
