h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.659,1.182,1.659,0.421,"{'att': 278, 'def': 29}","{'att': 260, 'def': 30}",12,2,4,3,1.71,w,2016-08-14 19:00:00,1,0,0,3,1.238
a,0.939,0.198,0.939,0.198,"{'att': 84, 'def': 14}","{'att': 407, 'def': 16}",14,0,0,2,2.038,l,2016-08-20 18:00:00,0,0,1,0,0.741
a,1.926,0.591,1.165,0.591,"{'att': 221, 'def': 31}","{'att': 212, 'def': 28}",11,3,1,1,2.458,d,2016-08-27 15:30:00,0,1,0,1,0.574
h,2.769,1.225,2.769,1.225,"{'att': 153, 'def': 10}","{'att': 325, 'def': 22}",14,3,4,1,2.368,w,2016-09-10 20:30:00,1,0,0,3,1.544
a,1.416,1.164,1.416,1.164,"{'att': 323, 'def': 32}","{'att': 250, 'def': 17}",4,11,2,1,1.574,w,2016-09-16 23:00:00,1,0,0,3,0.252
h,4.649,0.158,3.127,0.158,"{'att': 175, 'def': 30}","{'att': 318, 'def': 12}",21,2,5,1,2.993,w,2016-09-24 18:00:00,1,0,0,3,2.969
a,2.022,2.658,1.261,2.658,"{'att': 229, 'def': 25}","{'att': 291, 'def': 21}",16,2,2,1,0.912,w,2016-10-01 15:30:00,1,0,0,3,-1.397
h,0.27,0.538,0.27,0.538,"{'att': 149, 'def': 33}","{'att': 351, 'def': 38}",10,1,0,0,0.919,d,2016-10-17 23:00:00,0,1,0,1,-0.267
h,2.295,0.686,2.295,0.686,"{'att': 138, 'def': 17}","{'att': 366, 'def': 20}",13,4,2,1,2.45,w,2016-10-22 20:30:00,1,0,0,3,1.609
a,2.261,0.496,2.261,0.496,"{'att': 213, 'def': 23}","{'att': 251, 'def': 23}",16,12,4,2,2.557,w,2016-10-29 20:30:00,1,0,0,3,1.765
h,4.184,0.771,4.184,0.771,"{'att': 191, 'def': 31}","{'att': 280, 'def': 17}",17,5,6,1,2.898,w,2016-11-06 18:15:00,1,0,0,3,3.413
a,1.688,0.094,1.688,0.094,"{'att': 182, 'def': 41}","{'att': 325, 'def': 17}",11,0,0,0,2.652,d,2016-11-19 19:00:00,0,1,0,1,1.594
h,2.025,0.291,1.263,0.291,"{'att': 74, 'def': 17}","{'att': 337, 'def': 13}",17,3,2,0,2.68,w,2016-11-26 19:00:00,1,0,0,3,0.972
