h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.955,1.099,1.194,1.099,"{'att': 76, 'def': 14}","{'att': 368, 'def': 23}",11,4,2,1,2.045,w,2016-08-13 20:30:00,1,0,0,3,0.095
a,2.172,1.311,1.411,0.549,"{'att': 208, 'def': 44}","{'att': 253, 'def': 19}",9,3,4,1,2.061,w,2016-08-20 15:30:00,1,0,0,3,0.861
h,3.216,1.084,3.216,1.084,"{'att': 146, 'def': 26}","{'att': 354, 'def': 26}",18,0,3,1,2.605,w,2016-08-28 19:00:00,1,0,0,3,2.132
a,1.887,1.01,1.887,1.01,"{'att': 177, 'def': 35}","{'att': 299, 'def': 27}",11,8,2,1,2.053,w,2016-09-10 15:30:00,1,0,0,3,0.877
h,3.387,0.39,3.387,0.39,"{'att': 189, 'def': 43}","{'att': 318, 'def': 15}",16,2,4,0,2.938,w,2016-09-17 18:00:00,1,0,0,3,2.998
a,2.577,1.111,1.816,1.111,"{'att': 229, 'def': 23}","{'att': 320, 'def': 28}",23,5,3,1,2.4,w,2016-09-24 15:00:00,1,0,0,3,0.705
a,0.91,1.7,0.91,0.939,"{'att': 157, 'def': 22}","{'att': 260, 'def': 44}",13,2,0,2,0.714,l,2016-10-02 17:15:00,0,0,1,0,-0.029
h,2.692,0.144,1.17,0.144,"{'att': 118, 'def': 20}","{'att': 293, 'def': 12}",23,1,1,1,2.932,d,2016-10-15 18:00:00,0,1,0,1,1.025
h,1.153,0.564,1.153,0.564,"{'att': 145, 'def': 23}","{'att': 297, 'def': 27}",11,4,1,1,1.863,d,2016-10-23 16:30:00,0,1,0,1,0.589
a,2.48,0.597,2.48,0.597,"{'att': 169, 'def': 22}","{'att': 389, 'def': 24}",13,3,4,0,2.597,w,2016-10-29 18:00:00,1,0,0,3,1.884
