h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.543,1.465,2.543,1.465,"{'att': 98, 'def': 18}","{'att': 298, 'def': 22}",13,2,4,3,2.099,w,2017-08-11 19:45:00,1,0,0,3,1.078
a,1.407,0.693,1.407,0.693,"{'att': 97, 'def': 19}","{'att': 361, 'def': 15}",15,4,0,1,1.936,l,2017-08-19 17:30:00,0,0,1,0,0.714
a,0.485,3.46,0.485,3.46,"{'att': 275, 'def': 27}","{'att': 329, 'def': 19}",9,4,0,4,0.08,l,2017-08-27 16:00:00,0,0,1,0,-2.975
h,2.487,0.577,2.487,0.577,"{'att': 232, 'def': 30}","{'att': 306, 'def': 19}",12,2,3,0,2.615,w,2017-09-09 15:00:00,1,0,0,3,1.91
a,1.422,0.762,1.422,0.762,"{'att': 311, 'def': 31}","{'att': 284, 'def': 17}",5,4,0,0,1.988,d,2017-09-17 13:30:00,0,1,0,1,0.66
h,2.393,0.767,1.632,0.767,"{'att': 137, 'def': 25}","{'att': 315, 'def': 28}",13,4,2,0,2.563,w,2017-09-25 20:00:00,1,0,0,3,0.865
h,2.478,0.386,2.478,0.386,"{'att': 185, 'def': 22}","{'att': 338, 'def': 12}",15,5,2,0,2.722,w,2017-10-01 12:00:00,1,0,0,3,2.092
a,0.988,1.634,0.988,0.873,"{'att': 264, 'def': 23}","{'att': 309, 'def': 19}",8,4,1,2,0.779,l,2017-10-14 17:30:00,0,0,1,0,0.115
a,3.86,0.811,3.86,0.811,"{'att': 138, 'def': 16}","{'att': 346, 'def': 19}",17,0,5,2,2.854,w,2017-10-22 13:30:00,1,0,0,3,3.049
h,2.378,0.836,2.378,0.836,"{'att': 164, 'def': 22}","{'att': 381, 'def': 17}",19,3,2,1,2.432,w,2017-10-28 15:00:00,1,0,0,3,1.542
a,0.34,2.15,0.34,1.389,"{'att': 375, 'def': 32}","{'att': 247, 'def': 30}",1,10,1,3,0.163,l,2017-11-05 14:15:00,0,0,1,0,-1.049
h,2.242,0.591,2.242,0.591,"{'att': 278, 'def': 29}","{'att': 195, 'def': 22}",11,9,2,0,2.529,w,2017-11-18 12:30:00,1,0,0,3,1.651
a,1.752,0.403,0.991,0.403,"{'att': 181, 'def': 15}","{'att': 335, 'def': 21}",12,0,1,0,2.513,w,2017-11-26 14:00:00,1,0,0,3,0.588
h,4.479,0.476,4.479,0.476,"{'att': 207, 'def': 25}","{'att': 522, 'def': 19}",19,3,5,0,2.973,w,2017-11-29 19:45:00,1,0,0,3,4.003
h,4.241,2.068,4.241,2.068,"{'att': 92, 'def': 20}","{'att': 294, 'def': 15}",32,8,1,3,2.616,l,2017-12-02 17:30:00,0,0,1,0,2.172
a,0.608,1.219,0.608,1.219,"{'att': 216, 'def': 22}","{'att': 347, 'def': 18}",24,2,1,1,0.774,d,2017-12-10 12:00:00,0,1,0,1,-0.611
a,1.022,0.405,1.022,0.405,"{'att': 143, 'def': 27}","{'att': 284, 'def': 21}",20,5,0,0,1.865,d,2017-12-13 20:00:00,0,1,0,1,0.617
h,2.025,0.287,2.025,0.287,"{'att': 141, 'def': 34}","{'att': 399, 'def': 20}",21,2,1,0,2.594,w,2017-12-16 15:00:00,1,0,0,3,1.738
h,1.131,2.059,1.131,2.059,"{'att': 229, 'def': 25}","{'att': 277, 'def': 30}",12,8,3,3,0.702,d,2017-12-22 19:45:00,0,1,0,1,-0.928
a,1.841,1.145,1.841,1.145,"{'att': 155, 'def': 16}","{'att': 359, 'def': 35}",19,8,3,2,1.89,w,2017-12-28 20:00:00,1,0,0,3,0.696
a,0.918,1.394,0.918,0.633,"{'att': 156, 'def': 8}","{'att': 316, 'def': 21}",12,6,1,1,0.914,d,2017-12-31 16:30:00,0,1,0,1,0.285
h,1.232,3.077,1.232,2.316,"{'att': 264, 'def': 24}","{'att': 326, 'def': 26}",18,11,2,2,0.357,d,2018-01-03 19:45:00,0,1,0,1,-1.084
a,1.01,0.822,1.01,0.822,"{'att': 151, 'def': 21}","{'att': 296, 'def': 29}",3,9,1,2,1.525,l,2018-01-14 13:30:00,0,0,1,0,0.187
