h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.357,0.564,1.357,0.564,"{'att': 179, 'def': 18}","{'att': 285, 'def': 12}",4,3,2,3,2.054,l,2017-08-12 15:00:00,0,0,1,0,0.792
a,0.834,0.724,0.834,0.724,"{'att': 325, 'def': 23}","{'att': 151, 'def': 18}",2,8,2,1,1.433,w,2017-08-20 16:00:00,1,0,0,3,0.11
h,1.17,0.327,1.17,0.327,"{'att': 282, 'def': 19}","{'att': 350, 'def': 20}",11,4,2,0,2.096,w,2017-08-27 13:30:00,1,0,0,3,0.843
a,1.039,1.349,1.039,0.588,"{'att': 164, 'def': 15}","{'att': 284, 'def': 24}",12,2,2,1,1.017,w,2017-09-09 15:00:00,1,0,0,3,0.452
h,0.762,1.422,0.762,1.422,"{'att': 284, 'def': 17}","{'att': 311, 'def': 31}",4,5,0,0,0.737,d,2017-09-17 13:30:00,0,1,0,1,-0.66
a,1.598,0.601,1.598,0.601,"{'att': 189, 'def': 18}","{'att': 358, 'def': 17}",7,8,4,0,2.275,w,2017-09-23 15:00:00,1,0,0,3,0.997
h,0.912,1.231,0.912,1.231,"{'att': 404, 'def': 11}","{'att': 237, 'def': 30}",2,8,0,1,1.108,l,2017-09-30 17:30:00,0,0,1,0,-0.319
a,0.652,1.519,0.652,1.519,"{'att': 205, 'def': 25}","{'att': 318, 'def': 34}",6,10,1,2,0.665,l,2017-10-14 15:00:00,0,0,1,0,-0.867
h,1.783,1.797,1.783,1.797,"{'att': 207, 'def': 22}","{'att': 268, 'def': 31}",4,8,4,2,1.372,w,2017-10-21 19:30:00,1,0,0,3,-0.014
a,1.784,0.455,1.784,0.455,"{'att': 264, 'def': 12}","{'att': 360, 'def': 16}",14,8,1,0,2.381,w,2017-10-28 17:30:00,1,0,0,3,1.329
h,1.842,0.774,1.842,0.774,"{'att': 169, 'def': 29}","{'att': 212, 'def': 33}",7,5,1,0,2.185,w,2017-11-05 16:30:00,1,0,0,3,1.068
a,1.717,0.591,1.717,0.591,"{'att': 219, 'def': 24}","{'att': 383, 'def': 24}",3,6,4,0,2.286,w,2017-11-18 15:00:00,1,0,0,3,1.126
a,0.74,1.504,0.74,1.504,"{'att': 315, 'def': 14}","{'att': 304, 'def': 26}",9,13,1,1,0.763,d,2017-11-25 17:30:00,0,1,0,1,-0.764
h,2.3,0.041,2.3,0.041,"{'att': 237, 'def': 24}","{'att': 337, 'def': 16}",9,1,1,0,2.841,w,2017-11-29 19:45:00,1,0,0,3,2.259
h,3.078,0.52,2.317,0.52,"{'att': 229, 'def': 25}","{'att': 436, 'def': 31}",20,0,3,1,2.835,w,2017-12-02 12:30:00,1,0,0,3,1.797
a,1.189,0.418,1.189,0.418,"{'att': 144, 'def': 38}","{'att': 330, 'def': 23}",9,3,0,1,2.026,l,2017-12-09 12:30:00,0,0,1,0,0.771
a,1.871,0.477,1.871,0.477,"{'att': 290, 'def': 16}","{'att': 500, 'def': 15}",11,1,3,1,2.485,w,2017-12-12 20:00:00,1,0,0,3,1.394
h,1.29,0.587,1.29,0.587,"{'att': 311, 'def': 18}","{'att': 261, 'def': 27}",12,6,1,0,1.907,w,2017-12-16 15:00:00,1,0,0,3,0.703
