h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.344,0.635,2.344,0.635,"{'att': 114, 'def': 16}","{'att': 413, 'def': 14}",8,2,2,0,2.575,w,2017-08-13 13:30:00,1,0,0,3,1.71
h,0.724,0.834,0.724,0.834,"{'att': 151, 'def': 18}","{'att': 325, 'def': 23}",8,2,1,2,1.209,l,2017-08-20 16:00:00,0,0,1,0,-0.11
h,2.35,0.671,2.35,0.671,"{'att': 145, 'def': 21}","{'att': 319, 'def': 18}",15,5,1,1,2.495,d,2017-08-27 16:00:00,0,1,0,1,1.679
a,2.175,1.151,2.175,1.151,"{'att': 275, 'def': 26}","{'att': 242, 'def': 23}",9,9,3,0,2.108,w,2017-09-09 15:00:00,1,0,0,3,1.024
h,1.179,0.154,1.179,0.154,"{'att': 125, 'def': 26}","{'att': 341, 'def': 14}",12,0,0,0,2.248,d,2017-09-16 17:30:00,0,1,0,1,1.025
a,1.453,0.677,1.453,0.677,"{'att': 178, 'def': 26}","{'att': 219, 'def': 35}",3,2,3,2,2.035,w,2017-09-23 12:30:00,1,0,0,3,0.777
a,1.561,0.197,1.561,0.197,"{'att': 200, 'def': 15}","{'att': 349, 'def': 28}",11,2,4,0,2.467,w,2017-09-30 12:30:00,1,0,0,3,1.364
h,1.957,0.175,1.957,0.175,"{'att': 130, 'def': 30}","{'att': 391, 'def': 9}",17,1,1,0,2.698,w,2017-10-14 15:00:00,1,0,0,3,1.782
h,2.62,0.668,2.62,0.668,"{'att': 388, 'def': 12}","{'att': 224, 'def': 24}",5,8,4,1,2.653,w,2017-10-22 16:00:00,1,0,0,3,1.953
a,1.087,0.943,1.087,0.943,"{'att': 175, 'def': 24}","{'att': 240, 'def': 23}",6,4,0,1,1.483,l,2017-10-28 12:30:00,0,0,1,0,0.144
h,0.992,1.102,0.992,1.102,"{'att': 126, 'def': 23}","{'att': 326, 'def': 17}",8,2,1,0,1.248,w,2017-11-05 12:00:00,1,0,0,3,-0.11
a,0.591,2.242,0.591,2.242,"{'att': 195, 'def': 22}","{'att': 278, 'def': 29}",9,11,0,2,0.325,l,2017-11-18 12:30:00,0,0,1,0,-1.651
h,1.915,0.717,1.915,0.717,"{'att': 147, 'def': 23}","{'att': 309, 'def': 18}",6,0,1,1,2.342,d,2017-11-25 15:00:00,0,1,0,1,1.198
a,2.506,0.925,2.506,0.925,"{'att': 189, 'def': 25}","{'att': 271, 'def': 13}",11,4,1,2,2.47,l,2017-11-28 19:45:00,0,0,1,0,1.581
a,0.789,0.353,0.789,0.353,"{'att': 208, 'def': 21}","{'att': 235, 'def': 23}",3,6,1,1,1.855,d,2017-12-02 15:00:00,0,1,0,1,0.436
h,4.019,0.749,4.019,0.749,"{'att': 111, 'def': 29}","{'att': 401, 'def': 10}",15,4,5,1,2.917,w,2017-12-09 15:00:00,1,0,0,3,3.27
h,1.873,0.316,1.873,0.316,"{'att': 127, 'def': 21}","{'att': 413, 'def': 7}",6,3,2,0,2.51,w,2017-12-13 20:00:00,1,0,0,3,1.558
a,0.182,4.146,0.182,3.286,"{'att': 230, 'def': 32}","{'att': 247, 'def': 31}",1,10,1,4,0.005,l,2017-12-16 17:30:00,0,0,1,0,-3.103
a,3.309,0.16,2.548,0.16,"{'att': 180, 'def': 15}","{'att': 289, 'def': 20}",9,4,3,0,2.956,w,2017-12-23 17:30:00,1,0,0,3,2.389
h,3.084,0.591,3.084,0.591,"{'att': 184, 'def': 21}","{'att': 268, 'def': 40}",14,5,5,2,2.822,w,2017-12-26 12:30:00,1,0,0,3,2.493
a,1.618,0.398,1.618,0.398,"{'att': 190, 'def': 31}","{'att': 397, 'def': 19}",8,1,2,0,2.409,w,2018-01-02 19:45:00,1,0,0,3,1.221
h,1.649,0.613,1.649,0.613,"{'att': 140, 'def': 27}","{'att': 312, 'def': 14}",12,1,1,1,2.146,d,2018-01-04 20:00:00,0,1,0,1,1.036
h,4.214,0.29,4.214,0.29,"{'att': 198, 'def': 29}","{'att': 319, 'def': 30}",8,3,4,0,2.983,w,2018-01-13 17:30:00,1,0,0,3,3.923
a,1.307,1.152,1.307,1.152,"{'att': 171, 'def': 24}","{'att': 265, 'def': 17}",15,2,1,1,1.448,d,2018-01-21 16:00:00,0,1,0,1,0.154
h,2.012,0.818,2.012,0.818,"{'att': 267, 'def': 35}","{'att': 267, 'def': 27}",15,4,2,0,2.228,w,2018-01-31 20:00:00,1,0,0,3,1.194
a,2.544,1.29,1.022,1.29,"{'att': 130, 'def': 13}","{'att': 337, 'def': 25}",6,1,2,2,2.322,d,2018-02-04 16:30:00,0,1,0,1,-0.268
h,2.636,0.487,2.636,0.487,"{'att': 317, 'def': 30}","{'att': 266, 'def': 17}",6,7,1,0,2.706,w,2018-02-10 12:30:00,1,0,0,3,2.148
a,1.651,0.185,1.651,0.185,"{'att': 83, 'def': 20}","{'att': 345, 'def': 23}",7,5,1,0,2.597,w,2018-02-25 00:00:00,1,0,0,3,1.466
h,1.638,0.138,1.638,0.138,"{'att': 121, 'def': 22}","{'att': 524, 'def': 21}",7,0,2,0,2.654,w,2018-03-03 15:00:00,1,0,0,3,1.5
a,2.531,1.174,2.531,1.174,"{'att': 169, 'def': 20}","{'att': 313, 'def': 27}",9,5,4,1,2.408,w,2018-03-11 16:00:00,1,0,0,3,1.357
a,1.39,1.209,1.39,1.209,"{'att': 261, 'def': 31}","{'att': 287, 'def': 25}",2,12,3,1,1.518,w,2018-04-01 16:00:00,1,0,0,3,0.18
a,1.799,1.401,1.799,1.401,"{'att': 96, 'def': 16}","{'att': 304, 'def': 31}",7,4,2,1,1.645,w,2018-04-07 14:00:00,1,0,0,3,0.398
h,0.445,3.62,0.445,2.859,"{'att': 361, 'def': 29}","{'att': 237, 'def': 22}",6,7,1,3,0.027,l,2018-04-14 18:45:00,0,0,1,0,-2.414
a,1.362,0.988,1.362,0.227,"{'att': 200, 'def': 23}","{'att': 339, 'def': 23}",10,1,1,1,1.663,d,2018-04-17 18:45:00,0,1,0,1,1.136
h,1.768,1.369,1.768,1.369,"{'att': 176, 'def': 31}","{'att': 329, 'def': 22}",13,5,2,0,1.67,w,2018-04-30 19:00:00,1,0,0,3,0.398
a,0.969,1.218,0.969,1.218,"{'att': 101, 'def': 22}","{'att': 238, 'def': 12}",11,0,0,1,0.999,l,2018-05-05 15:00:00,0,0,1,0,-0.248
h,0.835,0.83,0.835,0.83,"{'att': 140, 'def': 29}","{'att': 287, 'def': 15}",12,6,1,0,1.33,w,2018-05-09 20:00:00,1,0,0,3,0.006
