h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.974,2.581,0.974,2.581,"{'att': 349, 'def': 20}","{'att': 198, 'def': 35}",8,3,1,2,0.388,l,2018-08-11 14:30:00,0,0,1,0,-1.606
a,1.554,1.155,0.793,1.155,"{'att': 107, 'def': 17}","{'att': 151, 'def': 30}",3,3,0,0,1.704,d,2018-08-18 14:30:00,0,1,0,1,-0.362
h,0.209,1.497,0.209,0.736,"{'att': 338, 'def': 14}","{'att': 80, 'def': 18}",3,13,1,2,0.262,l,2018-08-26 18:00:00,0,0,1,0,-0.526
a,0.555,2.469,0.555,2.469,"{'att': 396, 'def': 13}","{'att': 97, 'def': 11}",2,9,1,2,0.233,l,2018-09-01 16:30:00,0,0,1,0,-1.914
h,0.412,0.905,0.412,0.905,"{'att': 354, 'def': 24}","{'att': 149, 'def': 21}",3,10,1,2,0.849,l,2018-09-15 14:00:00,0,0,1,0,-0.492
a,0.229,0.931,0.229,0.931,"{'att': 271, 'def': 29}","{'att': 147, 'def': 20}",1,9,0,0,0.633,d,2018-09-22 14:00:00,0,1,0,1,-0.701
h,0.397,1.343,0.397,0.582,"{'att': 315, 'def': 27}","{'att': 191, 'def': 21}",3,3,0,2,0.454,l,2018-09-29 14:00:00,0,0,1,0,-0.185
a,1.56,2.406,1.56,2.406,"{'att': 336, 'def': 25}","{'att': 85, 'def': 17}",5,12,2,3,0.826,l,2018-10-06 16:30:00,0,0,1,0,-0.847
h,1.712,0.676,1.712,0.676,"{'att': 93, 'def': 22}","{'att': 245, 'def': 23}",6,6,0,1,2.15,l,2018-10-20 14:00:00,0,0,1,0,1.036
a,0.298,1.192,0.298,1.192,"{'att': 184, 'def': 22}","{'att': 215, 'def': 16}",3,7,0,0,0.544,d,2018-10-27 14:00:00,0,1,0,1,-0.895
h,0.692,2.545,0.692,2.545,"{'att': 264, 'def': 24}","{'att': 159, 'def': 15}",1,18,1,0,0.279,w,2018-11-03 15:00:00,1,0,0,3,-1.854
h,2.575,1.917,2.575,1.917,"{'att': 289, 'def': 19}","{'att': 138, 'def': 22}",4,5,2,1,1.861,w,2018-11-10 15:00:00,1,0,0,3,0.659
a,1.677,1.495,1.677,1.495,"{'att': 371, 'def': 31}","{'att': 277, 'def': 19}",3,10,2,1,1.526,w,2018-11-26 20:00:00,1,0,0,3,0.182
h,1.126,2.627,1.126,2.627,"{'att': 182, 'def': 19}","{'att': 282, 'def': 16}",9,3,0,3,0.419,l,2018-12-01 15:00:00,0,0,1,0,-1.501
a,1.522,2.109,1.522,2.109,"{'att': 332, 'def': 27}","{'att': 102, 'def': 16}",4,5,1,1,0.93,d,2018-12-05 19:45:00,0,1,0,1,-0.587
h,0.46,1.578,0.46,1.578,"{'att': 252, 'def': 14}","{'att': 264, 'def': 15}",5,3,1,2,0.448,l,2018-12-09 16:00:00,0,0,1,0,-1.118
a,0.931,0.671,0.931,0.671,"{'att': 300, 'def': 16}","{'att': 101, 'def': 24}",3,7,1,0,1.624,w,2018-12-15 15:00:00,1,0,0,3,0.26
h,0.29,0.245,0.29,0.245,"{'att': 284, 'def': 32}","{'att': 282, 'def': 16}",7,5,0,0,1.231,d,2018-12-22 15:00:00,0,1,0,1,0.044
a,0.456,3.25,0.456,2.489,"{'att': 446, 'def': 18}","{'att': 92, 'def': 20}",0,19,0,4,0.065,l,2018-12-26 15:00:00,0,0,1,0,-2.032
a,0.662,1.056,0.662,1.056,"{'att': 333, 'def': 26}","{'att': 150, 'def': 22}",3,11,1,1,0.997,d,2018-12-29 15:00:00,0,1,0,1,-0.394
h,0.692,2.675,0.692,2.675,"{'att': 431, 'def': 24}","{'att': 182, 'def': 17}",6,10,0,2,0.239,l,2019-01-02 20:00:00,0,0,1,0,-1.984
a,0.395,1.324,0.395,1.324,"{'att': 405, 'def': 27}","{'att': 195, 'def': 22}",5,7,1,2,0.552,l,2019-01-12 17:30:00,0,0,1,0,-0.928
h,2.518,0.256,2.518,0.256,"{'att': 124, 'def': 23}","{'att': 188, 'def': 20}",7,9,3,0,2.85,w,2019-01-19 15:00:00,1,0,0,3,2.262
h,0.992,1.339,0.231,1.339,"{'att': 404, 'def': 19}","{'att': 107, 'def': 24}",2,11,2,1,1.076,w,2019-01-29 20:00:00,1,0,0,3,-1.108
a,0.4,3.104,0.4,3.104,"{'att': 330, 'def': 14}","{'att': 148, 'def': 17}",0,12,0,1,0.082,l,2019-02-02 12:30:00,0,0,1,0,-2.704
