h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.02,1.408,1.02,1.408,"{'att': 199, 'def': 12}","{'att': 164, 'def': 21}",3,7,0,0,1.045,d,2018-08-12 15:30:00,0,1,0,1,-0.388
a,1.775,2.02,1.775,2.02,"{'att': 216, 'def': 22}","{'att': 137, 'def': 27}",7,4,1,2,1.167,l,2018-08-18 17:00:00,0,0,1,0,-0.245
h,0.542,0.518,0.542,0.518,"{'att': 241, 'def': 31}","{'att': 226, 'def': 17}",7,2,1,2,1.276,l,2018-08-25 17:00:00,0,0,1,0,0.025
a,3.136,2.352,2.375,2.352,"{'att': 232, 'def': 23}","{'att': 215, 'def': 18}",3,5,2,0,1.9,w,2018-09-01 14:00:00,1,0,0,3,0.023
h,2.195,1.971,1.434,1.21,"{'att': 243, 'def': 26}","{'att': 272, 'def': 17}",6,7,2,2,1.548,d,2018-09-17 19:00:00,0,1,0,1,0.224
a,0.31,1.779,0.31,1.779,"{'att': 463, 'def': 19}","{'att': 261, 'def': 15}",5,13,0,3,0.181,l,2018-09-22 14:00:00,0,0,1,0,-1.468
a,0.68,1.425,0.68,1.425,"{'att': 257, 'def': 21}","{'att': 263, 'def': 25}",9,5,0,2,0.75,l,2018-09-29 14:00:00,0,0,1,0,-0.745
h,1.487,3.547,1.487,3.547,"{'att': 325, 'def': 23}","{'att': 193, 'def': 17}",5,15,0,3,0.307,l,2018-10-07 13:15:00,0,0,1,0,-2.06
a,0.59,0.84,0.59,0.84,"{'att': 269, 'def': 27}","{'att': 154, 'def': 11}",4,4,0,0,1.027,d,2018-10-20 14:00:00,0,1,0,1,-0.251
h,1.192,0.298,1.192,0.298,"{'att': 215, 'def': 16}","{'att': 184, 'def': 22}",7,3,0,0,2.148,d,2018-10-27 14:00:00,0,1,0,1,0.895
a,1.815,2.763,1.053,2.763,"{'att': 417, 'def': 14}","{'att': 179, 'def': 20}",4,35,1,6,0.78,l,2018-11-04 15:00:00,0,0,1,0,-1.709
h,1.202,1.076,1.202,1.076,"{'att': 202, 'def': 25}","{'att': 138, 'def': 20}",5,11,1,1,1.461,d,2018-11-10 15:00:00,0,1,0,1,0.126
a,1.672,1.388,1.672,1.388,"{'att': 177, 'def': 22}","{'att': 325, 'def': 17}",8,8,2,3,1.583,l,2018-11-24 15:00:00,0,0,1,0,0.284
h,0.624,0.905,0.624,0.905,"{'att': 352, 'def': 29}","{'att': 151, 'def': 19}",6,5,2,2,1.061,d,2018-12-01 17:30:00,0,1,0,1,-0.281
a,1.824,1.736,1.824,1.736,"{'att': 319, 'def': 20}","{'att': 241, 'def': 14}",7,5,1,3,1.425,l,2018-12-05 20:00:00,0,0,1,0,0.088
a,0.501,1.558,0.501,1.558,"{'att': 85, 'def': 22}","{'att': 230, 'def': 15}",1,7,0,1,0.547,l,2018-12-08 15:00:00,0,0,1,0,-1.057
h,1.212,1.858,1.212,1.858,"{'att': 419, 'def': 31}","{'att': 159, 'def': 18}",2,7,3,2,0.836,w,2018-12-16 13:30:00,1,0,0,3,-0.646
a,2.602,1.004,1.841,1.004,"{'att': 287, 'def': 19}","{'att': 139, 'def': 33}",6,8,3,1,2.485,w,2018-12-22 15:00:00,1,0,0,3,0.837
h,1.287,1.27,1.287,1.27,"{'att': 252, 'def': 24}","{'att': 219, 'def': 27}",6,6,1,2,1.392,l,2018-12-27 19:45:00,0,0,1,0,0.017
h,0.221,2.968,0.221,2.968,"{'att': 450, 'def': 13}","{'att': 119, 'def': 16}",4,12,1,3,0.072,l,2018-12-30 14:15:00,0,0,1,0,-2.747
a,0.158,0.851,0.158,0.851,"{'att': 403, 'def': 31}","{'att': 126, 'def': 17}",0,7,0,0,0.589,d,2019-01-02 19:45:00,0,1,0,1,-0.693
a,1.417,1.76,0.655,1.76,"{'att': 187, 'def': 18}","{'att': 89, 'def': 18}",3,12,2,1,1.081,w,2019-01-12 15:00:00,1,0,0,3,-1.104
h,1.06,1.312,1.06,1.312,"{'att': 232, 'def': 29}","{'att': 150, 'def': 20}",4,9,2,1,1.106,w,2019-01-19 15:00:00,1,0,0,3,-0.252
h,1.333,1.533,1.333,1.533,"{'att': 189, 'def': 32}","{'att': 299, 'def': 11}",6,7,1,1,1.169,d,2019-01-30 19:45:00,0,1,0,1,-0.2
a,0.788,2.002,0.788,1.241,"{'att': 218, 'def': 28}","{'att': 195, 'def': 20}",4,9,1,1,0.492,d,2019-02-02 15:00:00,0,1,0,1,-0.453
h,1.707,0.981,1.707,0.981,"{'att': 100, 'def': 27}","{'att': 271, 'def': 17}",6,3,1,2,2.059,l,2019-02-09 15:00:00,0,0,1,0,0.726
a,0.613,2.351,0.613,2.351,"{'att': 328, 'def': 28}","{'att': 150, 'def': 13}",2,19,0,2,0.266,l,2019-02-24 14:05:00,0,0,1,0,-1.738
h,1.158,0.799,1.158,0.799,"{'att': 339, 'def': 30}","{'att': 170, 'def': 15}",6,4,2,0,1.654,w,2019-02-27 19:45:00,1,0,0,3,0.36
a,0.578,2.542,0.578,1.781,"{'att': 312, 'def': 20}","{'att': 110, 'def': 15}",5,9,2,3,0.205,l,2019-03-02 15:00:00,0,0,1,0,-1.203
h,2.078,1.269,2.078,1.269,"{'att': 267, 'def': 32}","{'att': 122, 'def': 14}",5,5,2,1,2.008,w,2019-03-09 15:00:00,1,0,0,3,0.809
a,0.857,0.561,0.857,0.561,"{'att': 266, 'def': 25}","{'att': 135, 'def': 24}",12,8,1,0,1.644,w,2019-03-30 15:00:00,1,0,0,3,0.297
h,0.718,2.007,0.718,2.007,"{'att': 304, 'def': 18}","{'att': 110, 'def': 12}",5,12,1,3,0.441,l,2019-04-05 20:00:00,0,0,1,0,-1.288
h,3.808,0.643,3.808,0.643,"{'att': 390, 'def': 28}","{'att': 137, 'def': 22}",4,4,3,1,2.915,w,2019-04-13 15:00:00,1,0,0,3,3.166
a,1.271,1.23,1.271,1.23,"{'att': 142, 'def': 28}","{'att': 217, 'def': 19}",8,3,1,3,1.371,l,2019-04-20 17:30:00,0,0,1,0,0.041
a,2.12,1.273,2.12,1.273,"{'att': 322, 'def': 32}","{'att': 167, 'def': 24}",2,11,1,1,2.023,d,2019-04-23 19:45:00,0,1,0,1,0.847
h,2.735,2.622,2.735,2.622,"{'att': 273, 'def': 35}","{'att': 150, 'def': 12}",9,4,3,3,1.439,d,2019-04-27 15:00:00,0,1,0,1,0.113
a,0.444,1.999,0.444,1.999,"{'att': 277, 'def': 31}","{'att': 185, 'def': 10}",11,4,0,3,0.242,l,2019-05-04 14:00:00,0,0,1,0,-1.555
h,0.941,0.857,0.941,0.857,"{'att': 156, 'def': 17}","{'att': 213, 'def': 18}",9,1,1,1,1.411,d,2019-05-12 14:00:00,0,1,0,1,0.084
