h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.64,2.573,0.64,2.573,"{'att': 255, 'def': 19}","{'att': 147, 'def': 28}",2,15,1,3,0.279,l,2019-08-10 17:30:00,0,0,1,0,-1.933
h,1.651,1.628,1.651,0.867,"{'att': 117, 'def': 9}","{'att': 268, 'def': 25}",12,9,1,2,1.37,l,2019-08-17 15:00:00,0,0,1,0,0.784
h,0.856,1.257,0.856,1.257,"{'att': 265, 'def': 20}","{'att': 146, 'def': 27}",6,12,2,0,0.97,w,2019-08-23 20:00:00,1,0,0,3,-0.401
a,0.304,1.414,0.304,1.414,"{'att': 226, 'def': 25}","{'att': 216, 'def': 24}",5,13,0,1,0.48,l,2019-08-31 15:00:00,0,0,1,0,-1.11
h,1.405,0.535,1.405,0.535,"{'att': 213, 'def': 22}","{'att': 222, 'def': 22}",4,9,0,0,2.162,d,2019-09-16 19:00:00,0,1,0,1,0.87
a,1.715,2.532,1.715,1.771,"{'att': 242, 'def': 22}","{'att': 182, 'def': 20}",8,12,2,3,0.844,l,2019-09-22 15:30:00,0,0,1,0,-0.055
h,0.914,1.669,0.914,1.669,"{'att': 121, 'def': 20}","{'att': 199, 'def': 22}",3,2,2,2,0.766,d,2019-09-28 14:00:00,0,1,0,1,-0.755
a,3.678,1.848,2.764,1.848,"{'att': 220, 'def': 25}","{'att': 145, 'def': 24}",9,13,5,1,2.472,w,2019-10-05 15:00:00,1,0,0,3,0.916
h,2.967,1.322,2.967,1.322,"{'att': 271, 'def': 18}","{'att': 200, 'def': 21}",7,10,2,1,2.41,w,2019-10-19 15:00:00,1,0,0,3,1.645
a,0.98,3.19,0.98,3.19,"{'att': 267, 'def': 10}","{'att': 194, 'def': 24}",3,18,0,3,0.245,l,2019-10-26 12:30:00,0,0,1,0,-2.21
h,0.742,2.388,0.742,2.388,"{'att': 293, 'def': 14}","{'att': 88, 'def': 20}",2,16,1,2,0.376,l,2019-11-02 15:00:00,0,0,1,0,-1.647
