h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.456,0.931,0.456,0.931,"{'att': 301, 'def': 17}","{'att': 311, 'def': 14}",5,3,2,2,0.834,d,2022-08-07 13:00:00,0,1,0,1,-0.475
a,0.691,3.011,0.691,3.011,"{'att': 196, 'def': 14}","{'att': 279, 'def': 27}",5,10,2,4,0.166,l,2022-08-13 14:00:00,0,0,1,0,-2.32
h,0.243,1.242,0.243,1.242,"{'att': 149, 'def': 31}","{'att': 331, 'def': 21}",5,4,1,2,0.448,l,2022-08-20 14:00:00,0,0,1,0,-0.999
a,1.96,1.749,1.96,1.749,"{'att': 258, 'def': 12}","{'att': 281, 'def': 25}",10,3,1,2,1.488,l,2022-08-27 14:00:00,0,0,1,0,0.211
h,0.615,1.1,0.615,1.1,"{'att': 276, 'def': 23}","{'att': 390, 'def': 17}",2,11,0,1,0.841,l,2022-09-01 19:00:00,0,0,1,0,-0.484
a,1.065,2.732,1.065,1.97,"{'att': 270, 'def': 6}","{'att': 296, 'def': 25}",4,10,2,5,0.378,l,2022-09-04 13:00:00,0,0,1,0,-0.905
a,1.594,1.986,0.833,1.986,"{'att': 308, 'def': 18}","{'att': 297, 'def': 14}",10,6,2,6,1.098,l,2022-09-17 16:30:00,0,0,1,0,-1.153
h,1.25,1.222,1.25,1.222,"{'att': 291, 'def': 29}","{'att': 280, 'def': 13}",7,4,4,0,1.37,w,2022-10-03 19:00:00,1,0,0,3,0.028
a,1.181,1.149,1.181,1.149,"{'att': 243, 'def': 28}","{'att': 338, 'def': 9}",8,7,1,2,1.38,l,2022-10-08 14:00:00,0,0,1,0,0.032
h,0.973,0.347,0.973,0.347,"{'att': 293, 'def': 38}","{'att': 341, 'def': 14}",13,1,0,0,1.933,d,2022-10-15 11:30:00,0,1,0,1,0.627
h,0.655,1.195,0.655,1.195,"{'att': 299, 'def': 28}","{'att': 261, 'def': 30}",4,5,2,0,0.853,w,2022-10-20 19:15:00,1,0,0,3,-0.539
a,0.989,1.618,0.989,1.618,"{'att': 332, 'def': 17}","{'att': 173, 'def': 7}",5,11,4,0,0.915,w,2022-10-23 13:00:00,1,0,0,3,-0.629
h,0.694,0.704,0.694,0.704,"{'att': 255, 'def': 8}","{'att': 254, 'def': 17}",2,14,0,1,1.314,l,2022-10-29 11:30:00,0,0,1,0,-0.01
a,2.268,1.373,2.268,1.373,"{'att': 236, 'def': 15}","{'att': 338, 'def': 15}",11,12,2,0,1.955,w,2022-11-05 17:30:00,1,0,0,3,0.895
