h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.423,2.276,0.423,2.276,"{'att': 312, 'def': 22}","{'att': 101, 'def': 23}",2,9,0,1,0.225,l,2023-08-12 14:00:00,0,0,1,0,-1.853
a,0.551,1.372,0.551,1.372,"{'att': 238, 'def': 19}","{'att': 238, 'def': 15}",4,6,1,2,0.653,l,2023-08-18 18:45:00,0,0,1,0,-0.821
h,0.762,3.848,0.762,3.087,"{'att': 406, 'def': 11}","{'att': 92, 'def': 14}",3,22,1,2,0.074,l,2023-08-27 13:00:00,0,0,1,0,-2.325
h,1.575,2.739,1.575,2.739,"{'att': 256, 'def': 20}","{'att': 225, 'def': 26}",5,3,2,2,0.581,d,2023-09-02 11:30:00,0,1,0,1,-1.164
a,0.791,2.159,0.791,2.159,"{'att': 306, 'def': 21}","{'att': 133, 'def': 28}",4,21,1,2,0.492,l,2023-09-16 14:00:00,0,0,1,0,-1.368
h,0.579,5.108,0.579,5.108,"{'att': 373, 'def': 25}","{'att': 262, 'def': 30}",5,11,0,8,0.018,l,2023-09-24 15:30:00,0,0,1,0,-4.529
a,0.912,3.198,0.912,3.198,"{'att': 319, 'def': 15}","{'att': 226, 'def': 16}",5,16,0,2,0.214,l,2023-09-30 14:00:00,0,0,1,0,-2.286
a,0.252,2.266,0.252,2.266,"{'att': 242, 'def': 23}","{'att': 168, 'def': 27}",0,9,1,3,0.163,l,2023-10-07 14:00:00,0,0,1,0,-2.014
h,1.411,1.462,0.65,1.462,"{'att': 296, 'def': 21}","{'att': 135, 'def': 11}",7,7,1,2,1.321,l,2023-10-21 19:00:00,0,0,1,0,-0.812
a,0.028,3.035,0.028,2.274,"{'att': 402, 'def': 13}","{'att': 191, 'def': 16}",1,9,0,5,0.016,l,2023-10-28 14:00:00,0,0,1,0,-2.246
h,1.102,1.148,0.341,1.148,"{'att': 310, 'def': 32}","{'att': 120, 'def': 5}",3,4,2,1,1.276,w,2023-11-04 15:00:00,1,0,0,3,-0.808
a,0.844,1.086,0.844,1.086,"{'att': 413, 'def': 33}","{'att': 201, 'def': 16}",13,4,1,1,1.114,d,2023-11-12 14:00:00,0,1,0,1,-0.242
