h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.399,0.979,0.399,0.979,"{'att': 237, 'def': 15}","{'att': 140, 'def': 21}",4,5,1,1,0.771,d,2014-08-23 22:00:00,0,1,0,1,-0.579
h,0.946,1.36,0.946,1.36,"{'att': 253, 'def': 36}","{'att': 167, 'def': 25}",4,1,1,2,0.983,l,2014-08-30 22:00:00,0,0,1,0,-0.414
a,1.092,1.862,0.349,1.862,"{'att': 295, 'def': 27}","{'att': 179, 'def': 23}",5,7,1,3,0.684,l,2014-09-14 16:00:00,0,0,1,0,-1.513
h,2.762,0.446,2.762,0.446,"{'att': 264, 'def': 33}","{'att': 99, 'def': 18}",2,6,2,2,2.896,d,2014-09-20 21:00:00,0,1,0,1,2.316
h,2.094,0.402,2.094,0.402,"{'att': 298, 'def': 43}","{'att': 156, 'def': 32}",4,5,2,0,2.666,w,2014-09-25 19:00:00,1,0,0,3,1.692
a,0.113,0.137,0.113,0.137,"{'att': 88, 'def': 16}","{'att': 55, 'def': 9}",1,1,0,0,1.082,d,2014-09-28 20:00:00,0,1,0,1,-0.025
h,1.395,0.482,1.395,0.482,"{'att': 226, 'def': 30}","{'att': 156, 'def': 24}",1,3,2,0,2.157,w,2014-10-05 18:00:00,1,0,0,3,0.913
a,0.724,4.128,0.724,4.128,"{'att': 265, 'def': 26}","{'att': 183, 'def': 31}",3,11,0,2,0.027,l,2014-10-19 11:00:00,0,0,1,0,-3.404
h,0.411,0.093,0.411,0.093,"{'att': 98, 'def': 18}","{'att': 147, 'def': 6}",3,0,0,0,1.568,d,2014-10-26 16:00:00,0,1,0,1,0.317
a,2.02,2.352,1.277,2.352,"{'att': 148, 'def': 23}","{'att': 215, 'def': 25}",7,4,1,2,1.128,l,2014-11-02 20:00:00,0,0,1,0,-1.076
h,0.926,2.124,0.926,2.124,"{'att': 140, 'def': 34}","{'att': 178, 'def': 41}",5,3,1,1,0.504,d,2014-11-09 16:00:00,0,1,0,1,-1.198
a,0.746,0.829,0.746,0.829,"{'att': 279, 'def': 37}","{'att': 230, 'def': 32}",7,2,1,3,1.21,l,2014-11-21 19:45:00,0,0,1,0,-0.083
h,1.125,1.647,1.125,1.647,"{'att': 88, 'def': 23}","{'att': 151, 'def': 18}",3,3,2,1,0.905,w,2014-11-29 17:00:00,1,0,0,3,-0.522
a,0.223,2.118,0.223,2.118,"{'att': 415, 'def': 17}","{'att': 100, 'def': 26}",2,18,1,5,0.171,l,2014-12-07 16:00:00,0,0,1,0,-1.895
h,1.942,0.7,1.942,0.7,"{'att': 267, 'def': 20}","{'att': 140, 'def': 32}",6,1,2,1,2.32,w,2014-12-14 11:00:00,1,0,0,3,1.242
a,2.259,1.378,2.259,1.378,"{'att': 386, 'def': 35}","{'att': 85, 'def': 26}",4,2,3,1,2.043,w,2014-12-20 21:00:00,1,0,0,3,0.88
h,1.549,1.531,1.549,1.531,"{'att': 182, 'def': 30}","{'att': 201, 'def': 27}",9,2,1,2,1.362,l,2015-01-04 18:00:00,0,0,1,0,0.019
