h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.395,1.761,0.395,1.018,"{'att': 446, 'def': 27}","{'att': 126, 'def': 19}",5,5,0,1,0.296,l,2015-08-23 20:30:00,0,0,1,0,-0.623
a,0.317,1.348,0.317,0.605,"{'att': 182, 'def': 29}","{'att': 272, 'def': 28}",6,4,0,2,0.378,l,2015-08-30 20:30:00,0,0,1,0,-0.288
h,1.912,0.931,1.912,0.931,"{'att': 195, 'def': 27}","{'att': 223, 'def': 33}",7,1,3,1,2.156,w,2015-09-13 18:00:00,1,0,0,3,0.981
a,1.264,1.615,1.264,0.871,"{'att': 146, 'def': 17}","{'att': 221, 'def': 33}",2,8,1,3,1.069,l,2015-09-20 20:15:00,0,0,1,0,0.393
h,1.176,2.938,1.176,2.938,"{'att': 345, 'def': 37}","{'att': 224, 'def': 18}",12,11,1,2,0.376,l,2015-09-23 23:00:00,0,0,1,0,-1.762
a,0.612,1.087,0.612,1.087,"{'att': 163, 'def': 34}","{'att': 196, 'def': 30}",5,4,0,0,0.814,d,2015-09-27 22:30:00,0,1,0,1,-0.476
h,2.694,0.618,2.694,0.618,"{'att': 266, 'def': 34}","{'att': 226, 'def': 19}",9,5,3,1,2.731,w,2015-10-04 18:00:00,1,0,0,3,2.076
a,0.677,1.248,0.677,1.248,"{'att': 257, 'def': 36}","{'att': 184, 'def': 27}",2,8,2,2,0.826,d,2015-10-18 22:30:00,0,1,0,1,-0.571
h,2.815,0.159,1.932,0.159,"{'att': 254, 'def': 26}","{'att': 253, 'def': 27}",7,2,3,0,2.941,w,2015-10-26 23:30:00,1,0,0,3,1.772
a,4.022,1.24,4.022,0.497,"{'att': 193, 'def': 25}","{'att': 186, 'def': 28}",8,5,3,1,2.814,w,2015-11-01 23:30:00,1,0,0,3,3.525
h,0.78,0.629,0.78,0.629,"{'att': 209, 'def': 44}","{'att': 120, 'def': 27}",2,5,2,1,1.449,w,2015-11-08 15:00:00,1,0,0,3,0.151
a,1.354,0.806,1.354,0.806,"{'att': 103, 'def': 35}","{'att': 269, 'def': 30}",5,2,0,2,1.837,l,2015-11-22 21:15:00,0,0,1,0,0.548
a,2.247,1.457,1.504,1.457,"{'att': 308, 'def': 40}","{'att': 114, 'def': 25}",3,8,3,0,1.982,w,2015-11-29 21:15:00,1,0,0,3,0.047
h,0.305,0.699,0.305,0.699,"{'att': 217, 'def': 27}","{'att': 158, 'def': 35}",1,3,0,0,0.805,d,2015-12-06 23:30:00,0,1,0,1,-0.394
a,1.621,0.336,1.621,0.336,"{'att': 225, 'def': 25}","{'att': 291, 'def': 23}",7,0,1,2,2.562,l,2015-12-13 21:15:00,0,0,1,0,1.285
h,2.748,0.515,2.748,0.515,"{'att': 219, 'def': 41}","{'att': 188, 'def': 20}",9,3,2,0,2.754,w,2015-12-20 21:15:00,1,0,0,3,2.233
a,1.096,0.414,1.096,0.414,"{'att': 352, 'def': 31}","{'att': 142, 'def': 28}",6,7,1,0,2.0,w,2015-12-30 23:30:00,1,0,0,3,0.682
h,1.711,0.518,0.968,0.518,"{'att': 315, 'def': 58}","{'att': 182, 'def': 27}",3,2,2,2,2.426,d,2016-01-03 21:15:00,0,1,0,1,0.45
a,1.25,1.701,1.25,0.958,"{'att': 251, 'def': 30}","{'att': 225, 'def': 20}",9,5,0,2,0.94,l,2016-01-09 21:15:00,0,0,1,0,0.292
a,0.885,4.444,0.885,3.701,"{'att': 334, 'def': 17}","{'att': 107, 'def': 21}",1,17,0,6,0.06,l,2016-01-17 23:30:00,0,0,1,0,-2.816
h,1.217,1.671,1.217,0.928,"{'att': 176, 'def': 26}","{'att': 229, 'def': 23}",8,1,5,2,0.932,w,2016-01-24 15:00:00,1,0,0,3,0.29
a,1.599,1.332,1.599,1.332,"{'att': 241, 'def': 42}","{'att': 145, 'def': 22}",6,2,1,0,1.571,w,2016-01-30 21:15:00,1,0,0,3,0.267
h,0.568,0.629,0.568,0.629,"{'att': 152, 'def': 31}","{'att': 287, 'def': 28}",3,2,0,0,1.197,d,2016-02-06 23:30:00,0,1,0,1,-0.061
a,1.501,2.09,1.501,2.09,"{'att': 407, 'def': 30}","{'att': 191, 'def': 15}",8,10,2,4,0.982,l,2016-02-13 19:00:00,0,0,1,0,-0.589
h,0.513,0.9,0.513,0.9,"{'att': 120, 'def': 40}","{'att': 214, 'def': 25}",9,3,0,1,0.894,l,2016-02-21 21:15:00,0,0,1,0,-0.388
a,1.69,1.492,1.69,1.492,"{'att': 310, 'def': 36}","{'att': 295, 'def': 15}",2,3,3,0,1.5,w,2016-02-28 19:00:00,1,0,0,3,0.197
h,2.786,0.876,2.786,0.876,"{'att': 241, 'def': 19}","{'att': 319, 'def': 24}",3,4,4,1,2.709,w,2016-03-02 23:00:00,1,0,0,3,1.911
a,1.344,0.657,1.344,0.657,"{'att': 225, 'def': 37}","{'att': 280, 'def': 31}",7,0,2,0,2.015,w,2016-03-06 21:15:00,1,0,0,3,0.687
h,2.145,1.098,2.145,1.098,"{'att': 308, 'def': 45}","{'att': 261, 'def': 21}",4,4,3,1,2.155,w,2016-03-13 21:15:00,1,0,0,3,1.047
a,1.806,2.191,1.806,2.191,"{'att': 163, 'def': 26}","{'att': 286, 'def': 23}",6,6,1,2,1.11,l,2016-03-20 15:00:00,0,0,1,0,-0.385
