h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.92,0.523,0.92,0.523,"{'att': 230, 'def': 30}","{'att': 294, 'def': 25}",14,1,1,0,1.693,w,2015-08-22 22:30:00,1,0,0,3,0.397
a,1.245,1.738,1.245,1.738,"{'att': 265, 'def': 25}","{'att': 134, 'def': 20}",6,8,3,0,1.028,w,2015-08-30 22:30:00,1,0,0,3,-0.494
h,0.834,2.33,0.834,2.33,"{'att': 378, 'def': 28}","{'att': 162, 'def': 16}",2,9,1,2,0.418,l,2015-09-12 22:30:00,0,0,1,0,-1.497
a,1.721,0.286,1.721,0.286,"{'att': 227, 'def': 30}","{'att': 371, 'def': 34}",8,4,2,0,2.506,w,2015-09-19 22:30:00,1,0,0,3,1.435
h,1.481,0.48,1.481,0.48,"{'att': 244, 'def': 36}","{'att': 241, 'def': 24}",5,1,2,0,2.292,w,2015-09-22 22:00:00,1,0,0,3,1.001
a,0.466,0.871,0.466,0.871,"{'att': 314, 'def': 29}","{'att': 256, 'def': 21}",6,5,0,1,0.865,l,2015-09-26 22:30:00,0,0,1,0,-0.405
h,2.387,0.792,1.644,0.792,"{'att': 326, 'def': 35}","{'att': 252, 'def': 30}",4,6,1,1,2.604,d,2015-10-04 22:30:00,0,1,0,1,0.852
a,1.579,0.486,1.579,0.486,"{'att': 253, 'def': 24}","{'att': 192, 'def': 28}",3,2,2,0,2.377,w,2015-10-18 18:00:00,1,0,0,3,1.093
h,2.076,0.886,2.076,0.142,"{'att': 289, 'def': 53}","{'att': 186, 'def': 21}",4,3,2,1,2.252,w,2015-10-25 23:30:00,1,0,0,3,1.933
a,1.436,0.917,1.436,0.917,"{'att': 239, 'def': 24}","{'att': 391, 'def': 25}",7,2,1,1,1.811,d,2015-10-30 23:30:00,0,1,0,1,0.519
h,1.218,0.396,1.218,0.396,"{'att': 104, 'def': 36}","{'att': 262, 'def': 16}",13,2,1,0,2.083,w,2015-11-08 21:15:00,1,0,0,3,0.822
a,2.265,0.129,2.265,0.129,"{'att': 221, 'def': 27}","{'att': 294, 'def': 25}",10,0,1,0,2.823,w,2015-11-22 23:30:00,1,0,0,3,2.136
h,1.732,0.143,1.732,0.143,"{'att': 247, 'def': 33}","{'att': 200, 'def': 31}",9,3,1,0,2.716,w,2015-11-28 21:15:00,1,0,0,3,1.589
a,1.934,0.602,1.934,0.602,"{'att': 275, 'def': 28}","{'att': 314, 'def': 28}",12,2,2,0,2.4,w,2015-12-05 21:15:00,1,0,0,3,1.332
h,0.336,1.621,0.336,1.621,"{'att': 291, 'def': 23}","{'att': 225, 'def': 25}",0,7,2,1,0.27,w,2015-12-13 21:15:00,1,0,0,3,-1.285
a,0.378,1.024,0.378,1.024,"{'att': 247, 'def': 33}","{'att': 166, 'def': 31}",1,7,0,1,0.711,l,2015-12-20 23:30:00,0,0,1,0,-0.646
a,2.202,0.372,2.202,0.372,"{'att': 235, 'def': 39}","{'att': 139, 'def': 30}",10,2,2,0,2.622,w,2015-12-30 21:15:00,1,0,0,3,1.829
h,1.066,0.46,1.066,0.46,"{'att': 219, 'def': 37}","{'att': 214, 'def': 27}",9,6,1,0,1.874,w,2016-01-02 23:30:00,1,0,0,3,0.606
a,1.077,0.214,1.077,0.214,"{'att': 309, 'def': 38}","{'att': 165, 'def': 36}",13,1,2,0,2.187,w,2016-01-10 23:30:00,1,0,0,3,0.863
a,1.735,0.606,1.735,0.606,"{'att': 402, 'def': 59}","{'att': 212, 'def': 23}",8,6,3,0,2.29,w,2016-01-17 21:15:00,1,0,0,3,1.129
