h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.276,0.477,1.276,0.477,"{'att': 127, 'def': 29}","{'att': 292, 'def': 28}",1,2,0,1,2.252,l,2015-08-22 20:30:00,0,0,1,0,0.799
h,0.801,1.276,0.801,0.533,"{'att': 117, 'def': 22}","{'att': 197, 'def': 26}",6,1,1,2,0.881,l,2015-08-31 00:30:00,0,0,1,0,0.268
a,0.931,1.912,0.931,1.912,"{'att': 223, 'def': 33}","{'att': 195, 'def': 27}",1,7,1,3,0.607,l,2015-09-13 18:00:00,0,0,1,0,-0.981
h,1.187,0.691,1.187,0.691,"{'att': 242, 'def': 25}","{'att': 130, 'def': 24}",4,5,1,0,1.789,w,2015-09-18 22:30:00,1,0,0,3,0.497
a,0.48,1.481,0.48,1.481,"{'att': 241, 'def': 24}","{'att': 244, 'def': 36}",1,5,0,2,0.463,l,2015-09-22 22:00:00,0,0,1,0,-1.001
h,1.098,0.59,1.098,0.59,"{'att': 165, 'def': 25}","{'att': 256, 'def': 13}",8,3,3,0,1.784,w,2015-09-27 20:15:00,1,0,0,3,0.508
a,1.321,1.489,1.321,1.489,"{'att': 317, 'def': 28}","{'att': 114, 'def': 35}",2,9,0,0,1.213,d,2015-10-02 22:30:00,0,1,0,1,-0.168
h,2.864,0.443,2.864,0.443,"{'att': 349, 'def': 36}","{'att': 217, 'def': 29}",8,4,4,0,2.808,w,2015-10-18 20:15:00,1,0,0,3,2.421
a,0.228,5.154,0.228,2.924,"{'att': 270, 'def': 20}","{'att': 193, 'def': 24}",2,14,0,5,0.004,l,2015-10-24 22:30:00,0,0,1,0,-2.696
h,0.19,2.079,0.19,2.079,"{'att': 389, 'def': 17}","{'att': 168, 'def': 32}",1,18,0,2,0.137,l,2015-10-31 23:30:00,0,0,1,0,-1.889
a,0.607,2.657,0.607,1.913,"{'att': 149, 'def': 27}","{'att': 249, 'def': 30}",2,3,1,3,0.176,l,2015-11-07 23:30:00,0,0,1,0,-1.306
h,0.722,1.118,0.722,0.234,"{'att': 259, 'def': 29}","{'att': 111, 'def': 28}",5,0,1,1,0.833,d,2015-11-23 23:30:00,0,1,0,1,0.487
h,1.673,0.789,1.673,0.789,"{'att': 241, 'def': 21}","{'att': 140, 'def': 33}",4,9,2,0,2.14,w,2015-11-29 15:00:00,1,0,0,3,0.884
a,0.245,1.87,0.245,1.87,"{'att': 389, 'def': 19}","{'att': 241, 'def': 24}",1,9,1,4,0.238,l,2015-12-05 19:00:00,0,0,1,0,-1.625
h,0.762,1.828,0.762,1.828,"{'att': 288, 'def': 28}","{'att': 152, 'def': 25}",1,7,1,1,0.493,d,2015-12-11 23:30:00,0,1,0,1,-1.066
a,0.509,1.187,0.509,1.187,"{'att': 304, 'def': 31}","{'att': 166, 'def': 27}",2,5,2,2,0.649,d,2015-12-19 19:00:00,0,1,0,1,-0.679
h,0.742,0.585,0.742,0.585,"{'att': 176, 'def': 22}","{'att': 175, 'def': 25}",6,4,0,0,1.454,d,2015-12-30 23:30:00,0,1,0,1,0.157
a,2.184,1.858,1.441,1.858,"{'att': 153, 'def': 30}","{'att': 182, 'def': 24}",7,1,2,1,1.635,w,2016-01-04 23:30:00,1,0,0,3,-0.417
h,1.286,0.602,1.286,0.602,"{'att': 172, 'def': 29}","{'att': 176, 'def': 34}",6,5,1,0,2.031,w,2016-01-09 21:15:00,1,0,0,3,0.684
h,2.984,1.652,2.984,1.652,"{'att': 365, 'def': 16}","{'att': 169, 'def': 31}",8,7,3,1,2.238,w,2016-01-17 21:15:00,1,0,0,3,1.332
a,1.578,2.753,1.578,2.753,"{'att': 202, 'def': 24}","{'att': 227, 'def': 35}",8,6,2,3,0.646,l,2016-01-23 23:30:00,0,0,1,0,-1.175
h,1.332,1.599,1.332,1.599,"{'att': 145, 'def': 22}","{'att': 241, 'def': 42}",2,6,0,1,1.131,l,2016-01-30 21:15:00,0,0,1,0,-0.267
