h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.945,0.575,0.945,0.575,"{'att': 271, 'def': 20}","{'att': 134, 'def': 17}",4,5,0,0,1.66,d,2015-08-22 20:30:00,0,1,0,1,0.37
h,0.888,0.257,0.888,0.257,"{'att': 170, 'def': 25}","{'att': 255, 'def': 11}",3,3,0,0,1.972,d,2015-08-29 20:30:00,0,1,0,1,0.631
a,0.664,0.752,0.664,0.752,"{'att': 133, 'def': 24}","{'att': 205, 'def': 26}",11,1,0,1,1.209,l,2015-09-13 00:00:00,0,0,1,0,-0.088
h,1.353,1.895,1.353,1.152,"{'att': 229, 'def': 24}","{'att': 215, 'def': 25}",3,2,2,3,0.935,l,2015-09-20 00:00:00,0,0,1,0,0.202
a,2.654,0.393,2.654,0.393,"{'att': 175, 'def': 24}","{'att': 178, 'def': 32}",3,3,3,0,2.861,w,2015-09-23 00:00:00,1,0,0,3,2.261
h,1.087,0.612,1.087,0.612,"{'att': 196, 'def': 30}","{'att': 163, 'def': 34}",4,5,0,0,1.856,d,2015-09-27 22:30:00,0,1,0,1,0.476
a,1.042,1.897,1.042,1.897,"{'att': 150, 'def': 24}","{'att': 289, 'def': 30}",3,2,1,3,0.739,l,2015-10-04 00:05:00,0,0,1,0,-0.855
h,0.486,1.579,0.486,1.579,"{'att': 192, 'def': 28}","{'att': 253, 'def': 24}",2,3,0,2,0.413,l,2015-10-18 18:00:00,0,0,1,0,-1.093
a,3.287,1.079,3.287,1.079,"{'att': 172, 'def': 32}","{'att': 111, 'def': 29}",4,6,4,0,2.672,w,2015-10-25 15:00:00,1,0,0,3,2.208
h,1.135,1.439,1.135,1.439,"{'att': 254, 'def': 24}","{'att': 124, 'def': 27}",6,5,2,3,1.095,l,2015-11-01 01:05:00,0,0,1,0,-0.304
a,0.5,0.803,0.5,0.803,"{'att': 227, 'def': 37}","{'att': 210, 'def': 22}",8,2,0,2,0.979,l,2015-11-06 23:30:00,0,0,1,0,-0.302
h,1.39,1.126,1.39,1.126,"{'att': 151, 'def': 18}","{'att': 231, 'def': 31}",2,4,2,0,1.585,w,2015-11-21 19:00:00,1,0,0,3,0.264
a,0.618,2.953,0.618,2.953,"{'att': 335, 'def': 28}","{'att': 239, 'def': 15}",6,12,0,4,0.151,l,2015-11-28 19:00:00,0,0,1,0,-2.336
h,2.371,0.286,2.371,0.286,"{'att': 123, 'def': 19}","{'att': 310, 'def': 30}",6,2,2,1,2.884,w,2015-12-06 15:00:00,1,0,0,3,2.084
a,1.828,0.762,1.828,0.762,"{'att': 152, 'def': 25}","{'att': 288, 'def': 28}",7,1,1,1,2.3,d,2015-12-11 23:30:00,0,1,0,1,1.066
h,1.024,0.798,1.024,0.798,"{'att': 172, 'def': 12}","{'att': 334, 'def': 31}",5,3,0,2,1.522,l,2015-12-20 21:15:00,0,0,1,0,0.227
a,0.581,3.423,0.581,1.936,"{'att': 290, 'def': 20}","{'att': 259, 'def': 17}",6,5,1,3,0.084,l,2015-12-30 19:00:00,0,0,1,0,-1.355
a,1.319,0.924,1.319,0.924,"{'att': 116, 'def': 27}","{'att': 156, 'def': 21}",3,1,2,2,1.678,d,2016-01-03 15:00:00,0,1,0,1,0.395
h,2.824,0.839,2.824,0.839,"{'att': 276, 'def': 46}","{'att': 215, 'def': 17}",5,6,2,0,2.642,w,2016-01-10 19:00:00,1,0,0,3,1.985
h,2.759,1.067,2.016,1.067,"{'att': 176, 'def': 25}","{'att': 261, 'def': 11}",9,2,1,1,2.484,d,2016-01-17 01:05:00,0,1,0,1,0.949
a,0.833,4.137,0.833,4.137,"{'att': 164, 'def': 36}","{'att': 224, 'def': 20}",4,6,1,5,0.036,l,2016-01-22 23:30:00,0,0,1,0,-3.304
h,1.083,0.774,1.083,0.774,"{'att': 271, 'def': 36}","{'att': 227, 'def': 10}",3,3,2,1,1.597,w,2016-01-31 01:05:00,1,0,0,3,0.309
a,2.029,0.208,2.029,0.208,"{'att': 297, 'def': 32}","{'att': 116, 'def': 28}",5,7,5,0,2.696,w,2016-02-08 23:30:00,1,0,0,3,1.82
h,2.553,1.478,2.553,1.478,"{'att': 197, 'def': 33}","{'att': 162, 'def': 35}",10,3,3,0,2.168,w,2016-02-14 15:00:00,1,0,0,3,1.074
a,0.9,0.513,0.9,0.513,"{'att': 214, 'def': 25}","{'att': 120, 'def': 40}",3,9,1,0,1.744,w,2016-02-21 21:15:00,1,0,0,3,0.388
h,0.871,1.223,0.871,1.223,"{'att': 151, 'def': 27}","{'att': 190, 'def': 21}",8,5,1,1,0.9,d,2016-02-28 01:05:00,0,1,0,1,-0.352
a,1.006,1.928,1.006,1.185,"{'att': 304, 'def': 25}","{'att': 299, 'def': 30}",4,8,0,3,0.649,l,2016-03-02 00:00:00,0,0,1,0,-0.179
h,2.234,0.326,2.234,0.326,"{'att': 197, 'def': 36}","{'att': 214, 'def': 25}",9,4,1,1,2.7,d,2016-03-06 21:15:00,0,1,0,1,1.908
a,0.56,0.378,0.56,0.378,"{'att': 194, 'def': 29}","{'att': 249, 'def': 27}",7,5,0,1,1.442,l,2016-03-12 21:15:00,0,0,1,0,0.182
h,0.59,2.231,0.59,1.477,"{'att': 176, 'def': 30}","{'att': 267, 'def': 22}",3,6,0,1,0.2,l,2016-03-19 21:15:00,0,0,1,0,-0.887
