h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.631,1.495,1.631,1.495,"{'att': 157, 'def': 29}","{'att': 74, 'def': 32}",6,2,1,1,1.491,d,2015-08-24 00:30:00,0,1,0,1,0.136
h,1.594,0.721,1.594,0.721,"{'att': 198, 'def': 32}","{'att': 268, 'def': 21}",8,0,3,1,2.134,w,2015-08-28 22:30:00,1,0,0,3,0.872
a,1.487,0.818,1.487,0.818,"{'att': 183, 'def': 37}","{'att': 140, 'def': 28}",6,1,3,1,1.947,w,2015-09-13 14:00:00,1,0,0,3,0.67
h,1.615,1.264,0.871,1.264,"{'att': 221, 'def': 33}","{'att': 146, 'def': 17}",8,2,3,1,1.635,w,2015-09-20 20:15:00,1,0,0,3,-0.393
a,0.934,0.878,0.934,0.878,"{'att': 234, 'def': 30}","{'att': 167, 'def': 39}",5,10,1,0,1.412,w,2015-09-24 00:00:00,1,0,0,3,0.055
h,0.871,0.466,0.871,0.466,"{'att': 256, 'def': 21}","{'att': 314, 'def': 29}",5,6,1,0,1.768,w,2015-09-26 22:30:00,1,0,0,3,0.405
a,0.115,1.061,0.115,1.061,"{'att': 160, 'def': 25}","{'att': 224, 'def': 25}",1,5,0,1,0.409,l,2015-10-04 20:15:00,0,0,1,0,-0.947
h,0.995,1.624,0.995,1.624,"{'att': 341, 'def': 19}","{'att': 129, 'def': 27}",4,15,1,2,0.82,l,2015-10-18 14:00:00,0,0,1,0,-0.629
a,0.205,0.189,0.205,0.189,"{'att': 333, 'def': 39}","{'att': 172, 'def': 18}",2,1,0,0,1.182,d,2015-10-25 19:00:00,0,1,0,1,0.016
h,1.033,0.881,1.033,0.881,"{'att': 207, 'def': 31}","{'att': 197, 'def': 25}",10,4,2,1,1.452,w,2015-10-31 21:15:00,1,0,0,3,0.152
a,0.279,3.077,0.279,2.334,"{'att': 309, 'def': 31}","{'att': 181, 'def': 29}",1,17,0,3,0.055,l,2015-11-08 19:00:00,0,0,1,0,-2.055
h,1.782,2.613,1.782,1.87,"{'att': 123, 'def': 26}","{'att': 274, 'def': 24}",12,5,1,1,0.84,d,2015-11-22 19:00:00,0,1,0,1,-0.088
a,0.789,1.673,0.789,1.673,"{'att': 140, 'def': 33}","{'att': 241, 'def': 21}",9,4,0,2,0.601,l,2015-11-29 15:00:00,0,0,1,0,-0.884
h,1.602,0.326,1.602,0.326,"{'att': 223, 'def': 31}","{'att': 167, 'def': 31}",7,1,2,1,2.46,w,2015-12-06 19:00:00,1,0,0,3,1.276
h,0.94,1.455,0.94,1.455,"{'att': 299, 'def': 16}","{'att': 166, 'def': 23}",3,7,1,0,0.949,w,2015-12-13 23:30:00,1,0,0,3,-0.515
a,0.798,1.024,0.798,1.024,"{'att': 334, 'def': 31}","{'att': 172, 'def': 12}",3,5,2,0,1.133,w,2015-12-20 21:15:00,1,0,0,3,-0.227
h,0.421,0.339,0.421,0.339,"{'att': 205, 'def': 32}","{'att': 227, 'def': 25}",2,6,1,0,1.32,w,2015-12-31 19:00:00,1,0,0,3,0.081
a,1.552,1.158,0.809,1.158,"{'att': 258, 'def': 19}","{'att': 242, 'def': 37}",2,1,2,1,1.743,w,2016-01-03 21:15:00,1,0,0,3,-0.349
h,1.53,0.961,1.53,0.961,"{'att': 236, 'def': 23}","{'att': 262, 'def': 32}",4,7,2,0,1.919,w,2016-01-10 15:00:00,1,0,0,3,0.57
h,0.806,0.839,0.806,0.839,"{'att': 301, 'def': 33}","{'att': 279, 'def': 24}",7,1,0,0,1.306,d,2016-01-16 23:30:00,0,1,0,1,-0.033
a,1.505,1.361,1.505,1.361,"{'att': 236, 'def': 26}","{'att': 288, 'def': 26}",3,7,2,2,1.477,d,2016-01-23 21:15:00,0,1,0,1,0.144
h,1.952,0.913,1.208,0.913,"{'att': 209, 'def': 31}","{'att': 296, 'def': 28}",2,3,1,0,2.203,w,2016-01-30 23:30:00,1,0,0,3,0.295
a,0.629,0.568,0.629,0.568,"{'att': 287, 'def': 28}","{'att': 152, 'def': 31}",2,3,0,0,1.381,d,2016-02-06 23:30:00,0,1,0,1,0.061
h,0.761,0.671,0.761,0.671,"{'att': 228, 'def': 25}","{'att': 244, 'def': 29}",7,2,1,0,1.365,w,2016-02-13 21:15:00,1,0,0,3,0.09
a,0.664,0.77,0.664,0.77,"{'att': 220, 'def': 28}","{'att': 212, 'def': 34}",5,2,0,0,1.21,d,2016-02-21 23:30:00,0,1,0,1,-0.106
h,1.696,0.665,1.696,0.665,"{'att': 294, 'def': 29}","{'att': 314, 'def': 30}",7,3,3,0,2.231,w,2016-02-28 15:00:00,1,0,0,3,1.031
a,0.328,0.846,0.328,0.846,"{'att': 350, 'def': 17}","{'att': 151, 'def': 28}",4,16,0,0,0.768,d,2016-03-02 23:00:00,0,1,0,1,-0.518
h,1.151,0.52,1.151,0.52,"{'att': 315, 'def': 33}","{'att': 318, 'def': 19}",12,4,0,1,1.946,l,2016-03-05 21:15:00,0,0,1,0,0.631
a,1.707,3.138,1.707,3.138,"{'att': 257, 'def': 18}","{'att': 177, 'def': 22}",3,13,2,4,0.538,l,2016-03-13 19:00:00,0,0,1,0,-1.43
h,0.98,2.145,0.98,1.401,"{'att': 389, 'def': 25}","{'att': 162, 'def': 23}",4,12,2,2,0.544,d,2016-03-20 19:00:00,0,1,0,1,-0.421
a,2.083,0.804,2.083,0.804,"{'att': 210, 'def': 26}","{'att': 229, 'def': 35}",3,7,2,1,2.408,w,2016-04-03 20:15:00,1,0,0,3,1.278
h,2.057,0.718,2.057,0.718,"{'att': 194, 'def': 29}","{'att': 215, 'def': 28}",4,2,2,0,2.465,w,2016-04-10 20:15:00,1,0,0,3,1.338
a,0.631,1.085,0.631,1.085,"{'att': 374, 'def': 26}","{'att': 139, 'def': 33}",6,3,1,2,0.904,l,2016-04-17 20:15:00,0,0,1,0,-0.454
a,0.226,1.759,0.226,1.759,"{'att': 344, 'def': 22}","{'att': 242, 'def': 20}",2,11,0,3,0.272,l,2016-04-21 00:00:00,0,0,1,0,-1.533
h,0.66,0.641,0.66,0.641,"{'att': 316, 'def': 33}","{'att': 180, 'def': 21}",2,6,0,0,1.308,d,2016-04-24 22:30:00,0,1,0,1,0.019
a,1.058,0.259,1.058,0.259,"{'att': 271, 'def': 27}","{'att': 285, 'def': 29}",6,17,2,0,2.148,w,2016-05-01 22:30:00,1,0,0,3,0.799
h,0.701,0.389,0.701,0.389,"{'att': 171, 'def': 21}","{'att': 346, 'def': 12}",8,0,0,2,1.62,l,2016-05-08 19:00:00,0,0,1,0,0.313
a,0.721,1.516,0.721,1.516,"{'att': 328, 'def': 24}","{'att': 327, 'def': 32}",3,4,0,2,0.74,l,2016-05-15 21:30:00,0,0,1,0,-0.795
