h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.834,0.83,0.834,0.83,"{'att': 150, 'def': 29}","{'att': 177, 'def': 45}",4,4,1,1,1.247,d,2016-08-19 22:45:00,0,1,0,1,0.004
a,0.436,0.45,0.436,0.45,"{'att': 203, 'def': 25}","{'att': 168, 'def': 27}",3,5,2,2,1.235,d,2016-08-27 00:00:00,0,1,0,1,-0.014
h,1.06,2.479,1.06,1.736,"{'att': 229, 'def': 28}","{'att': 189, 'def': 27}",4,5,0,2,0.435,l,2016-09-10 20:15:00,0,0,1,0,-0.676
a,0.645,0.869,0.645,0.126,"{'att': 383, 'def': 38}","{'att': 129, 'def': 20}",5,8,0,1,0.987,l,2016-09-17 22:45:00,0,0,1,0,0.519
h,0.475,1.779,0.475,1.779,"{'att': 183, 'def': 24}","{'att': 186, 'def': 28}",7,2,2,1,0.303,w,2016-09-20 22:00:00,1,0,0,3,-1.304
a,0.787,0.742,0.787,0.742,"{'att': 173, 'def': 25}","{'att': 155, 'def': 35}",2,2,0,1,1.33,l,2016-09-23 22:45:00,0,0,1,0,0.045
h,1.388,0.6,1.388,0.6,"{'att': 143, 'def': 32}","{'att': 227, 'def': 28}",7,1,2,1,2.046,w,2016-10-02 20:30:00,1,0,0,3,0.788
a,0.42,1.342,0.42,1.342,"{'att': 211, 'def': 33}","{'att': 227, 'def': 39}",4,6,1,1,0.499,d,2016-10-16 14:00:00,0,1,0,1,-0.922
h,3.121,1.188,2.378,1.188,"{'att': 219, 'def': 27}","{'att': 216, 'def': 28}",7,4,4,0,2.539,w,2016-10-23 20:30:00,1,0,0,3,1.19
a,0.245,1.966,0.245,1.966,"{'att': 253, 'def': 26}","{'att': 232, 'def': 23}",1,6,2,4,0.227,l,2016-10-29 20:30:00,0,0,1,0,-1.721
h,1.93,1.272,1.93,1.272,"{'att': 98, 'def': 17}","{'att': 184, 'def': 27}",5,7,3,2,1.831,w,2016-11-04 23:45:00,1,0,0,3,0.657
a,0.558,1.448,0.558,1.448,"{'att': 272, 'def': 19}","{'att': 59, 'def': 26}",0,11,0,0,0.69,d,2016-11-19 19:15:00,0,1,0,1,-0.89
h,1.28,2.705,0.537,1.962,"{'att': 296, 'def': 22}","{'att': 144, 'def': 24}",2,5,4,3,0.474,w,2016-11-26 16:00:00,1,0,0,3,-1.425
a,0.85,0.525,0.85,0.525,"{'att': 165, 'def': 21}","{'att': 221, 'def': 30}",5,4,2,2,1.621,d,2016-12-04 23:45:00,0,1,0,1,0.325
h,2.803,0.963,2.803,0.963,"{'att': 237, 'def': 23}","{'att': 217, 'def': 26}",4,4,1,1,2.587,d,2016-12-09 23:45:00,0,1,0,1,1.839
a,0.619,2.711,0.619,2.711,"{'att': 363, 'def': 39}","{'att': 162, 'def': 20}",5,11,1,4,0.1,l,2016-12-17 23:45:00,0,0,1,0,-2.093
a,0.714,1.817,0.714,1.817,"{'att': 261, 'def': 34}","{'att': 222, 'def': 18}",5,2,1,3,0.476,l,2017-01-08 21:30:00,0,0,1,0,-1.103
h,0.674,0.928,0.674,0.928,"{'att': 289, 'def': 30}","{'att': 150, 'def': 23}",5,5,0,2,1.066,l,2017-01-16 23:45:00,0,0,1,0,-0.254
a,0.399,1.99,0.399,1.99,"{'att': 352, 'def': 31}","{'att': 219, 'def': 19}",2,4,1,2,0.275,l,2017-01-21 18:15:00,0,0,1,0,-1.591
a,1.869,0.815,1.126,0.815,"{'att': 119, 'def': 20}","{'att': 199, 'def': 21}",7,5,1,1,2.223,d,2017-01-27 22:45:00,0,1,0,1,0.312
h,1.465,0.115,1.465,0.115,"{'att': 180, 'def': 35}","{'att': 266, 'def': 24}",6,1,0,1,2.533,l,2017-02-04 12:00:00,0,0,1,0,1.35
a,0.439,1.13,0.439,0.387,"{'att': 231, 'def': 25}","{'att': 170, 'def': 29}",1,12,1,1,0.601,d,2017-02-12 11:00:00,0,1,0,1,0.053
h,2.397,0.575,2.397,0.575,"{'att': 222, 'def': 31}","{'att': 156, 'def': 18}",8,9,2,1,2.682,w,2017-02-20 19:45:00,1,0,0,3,1.822
a,0.136,1.8,0.136,1.057,"{'att': 235, 'def': 23}","{'att': 155, 'def': 21}",3,5,0,3,0.129,l,2017-02-25 19:45:00,0,0,1,0,-0.92
h,1.007,1.359,1.007,1.359,"{'att': 156, 'def': 25}","{'att': 216, 'def': 25}",7,7,1,2,1.072,l,2017-02-28 20:30:00,0,0,1,0,-0.352
a,0.787,1.519,0.787,0.776,"{'att': 222, 'def': 16}","{'att': 177, 'def': 30}",1,3,0,1,0.712,l,2017-03-05 19:45:00,0,0,1,0,0.011
h,1.5,0.626,1.5,0.626,"{'att': 196, 'def': 27}","{'att': 243, 'def': 19}",10,2,1,2,2.085,l,2017-03-11 17:30:00,0,0,1,0,0.875
a,0.38,0.767,0.38,0.767,"{'att': 184, 'def': 32}","{'att': 180, 'def': 20}",3,7,0,0,0.895,d,2017-03-19 11:00:00,0,1,0,1,-0.387
h,0.845,1.057,0.845,1.057,"{'att': 171, 'def': 26}","{'att': 366, 'def': 21}",5,5,0,2,1.108,l,2017-04-01 19:45:00,0,0,1,0,-0.213
