h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.309,0.151,1.309,0.151,"{'att': 264, 'def': 32}","{'att': 340, 'def': 19}",9,3,2,0,2.395,w,2017-08-20 19:15:00,1,0,0,3,1.159
a,2.687,0.636,1.944,0.636,"{'att': 173, 'def': 23}","{'att': 319, 'def': 18}",9,3,2,0,2.675,w,2017-08-26 17:15:00,1,0,0,3,1.308
h,5.545,0.753,5.545,0.753,"{'att': 81, 'def': 16}","{'att': 477, 'def': 30}",23,1,5,0,2.979,w,2017-09-09 19:45:00,1,0,0,3,4.792
a,0.536,0.956,0.536,0.956,"{'att': 127, 'def': 23}","{'att': 356, 'def': 21}",9,5,2,1,0.891,w,2017-09-16 15:15:00,1,0,0,3,-0.42
h,2.588,0.962,1.844,0.962,"{'att': 203, 'def': 7}","{'att': 395, 'def': 33}",13,2,6,1,2.483,w,2017-09-19 21:00:00,1,0,0,3,0.882
a,1.286,0.907,1.286,0.907,"{'att': 190, 'def': 19}","{'att': 352, 'def': 31}",6,3,3,0,1.688,w,2017-09-23 19:45:00,1,0,0,3,0.38
h,4.837,0.685,4.837,0.685,"{'att': 354, 'def': 26}","{'att': 269, 'def': 18}",14,6,3,0,2.969,w,2017-10-01 15:15:00,1,0,0,3,4.152
a,1.619,0.334,1.619,0.334,"{'att': 173, 'def': 27}","{'att': 291, 'def': 11}",13,3,1,1,2.424,d,2017-10-14 19:45:00,0,1,0,1,1.285
h,2.191,0.629,2.191,0.629,"{'att': 185, 'def': 25}","{'att': 401, 'def': 16}",15,1,2,0,2.514,w,2017-10-21 19:45:00,1,0,0,3,1.561
a,2.491,0.881,2.491,0.881,"{'att': 171, 'def': 20}","{'att': 297, 'def': 38}",13,1,2,0,2.488,w,2017-10-28 19:45:00,1,0,0,3,1.61
h,1.954,0.354,1.954,0.354,"{'att': 329, 'def': 26}","{'att': 318, 'def': 25}",14,5,2,1,2.572,w,2017-11-05 03:45:00,1,0,0,3,1.6
