h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.219,1.605,0.219,1.605,"{'att': 233, 'def': 19}","{'att': 307, 'def': 31}",4,9,0,1,0.347,l,2017-08-18 21:15:00,0,0,1,0,-1.386
h,1.389,0.511,0.646,0.511,"{'att': 199, 'def': 29}","{'att': 328, 'def': 27}",3,6,1,5,2.205,l,2017-08-26 21:15:00,0,0,1,0,0.135
a,1.899,0.905,1.899,0.905,"{'att': 219, 'def': 21}","{'att': 243, 'def': 35}",7,1,3,1,2.124,w,2017-09-11 20:00:00,1,0,0,3,0.994
h,0.895,1.107,0.895,1.107,"{'att': 204, 'def': 25}","{'att': 269, 'def': 33}",4,8,1,0,1.134,w,2017-09-17 17:30:00,1,0,0,3,-0.212
a,0.371,1.388,0.371,1.388,"{'att': 329, 'def': 19}","{'att': 257, 'def': 37}",3,13,0,1,0.452,l,2017-09-20 21:00:00,0,0,1,0,-1.017
h,0.856,1.588,0.856,1.588,"{'att': 132, 'def': 18}","{'att': 431, 'def': 33}",9,6,0,2,0.654,l,2017-09-24 17:30:00,0,0,1,0,-0.732
a,0.685,4.837,0.685,4.837,"{'att': 269, 'def': 18}","{'att': 354, 'def': 26}",6,14,0,3,0.019,l,2017-10-01 15:15:00,0,0,1,0,-4.152
h,1.903,1.688,1.903,1.688,"{'att': 204, 'def': 19}","{'att': 257, 'def': 15}",8,5,2,5,1.538,l,2017-10-16 20:00:00,0,0,1,0,0.215
a,0.824,2.72,0.824,2.72,"{'att': 293, 'def': 19}","{'att': 274, 'def': 34}",6,12,0,4,0.265,l,2017-10-22 11:00:00,0,0,1,0,-1.897
h,0.546,1.902,0.546,1.159,"{'att': 185, 'def': 17}","{'att': 398, 'def': 34}",5,1,1,3,0.36,l,2017-10-30 20:00:00,0,0,1,0,-0.612
a,0.127,2.53,0.127,2.53,"{'att': 304, 'def': 14}","{'att': 275, 'def': 33}",2,6,0,3,0.089,l,2017-11-05 19:45:00,0,0,1,0,-2.403
h,0.936,1.012,0.936,1.012,"{'att': 192, 'def': 25}","{'att': 308, 'def': 38}",10,1,0,2,1.291,l,2017-11-19 17:30:00,0,0,1,0,-0.076
a,2.05,2.03,2.05,2.03,"{'att': 215, 'def': 20}","{'att': 304, 'def': 43}",5,11,2,2,1.413,d,2017-11-26 15:15:00,0,1,0,1,0.021
h,2.485,0.352,2.485,0.352,"{'att': 270, 'def': 32}","{'att': 339, 'def': 27}",17,3,1,0,2.746,w,2017-12-03 19:45:00,1,0,0,3,2.132
a,0.279,3.731,0.279,3.731,"{'att': 133, 'def': 21}","{'att': 378, 'def': 37}",6,4,0,2,0.035,l,2017-12-08 20:00:00,0,0,1,0,-3.452
h,1.474,2.132,0.731,2.132,"{'att': 243, 'def': 19}","{'att': 397, 'def': 40}",4,7,2,2,0.823,d,2017-12-17 17:30:00,0,1,0,1,-1.401
