h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.324,0.993,1.324,0.25,"{'att': 180, 'def': 29}","{'att': 168, 'def': 21}",7,4,1,0,1.616,w,2017-08-18 19:15:00,1,0,0,3,1.074
a,1.221,1.298,1.221,1.298,"{'att': 261, 'def': 24}","{'att': 177, 'def': 17}",6,8,1,0,1.306,w,2017-08-27 17:15:00,1,0,0,3,-0.077
h,1.559,0.393,0.816,0.393,"{'att': 116, 'def': 27}","{'att': 216, 'def': 34}",5,4,1,2,2.465,l,2017-09-08 20:00:00,0,0,1,0,0.423
a,0.236,0.384,0.236,0.384,"{'att': 138, 'def': 26}","{'att': 108, 'def': 32}",2,0,0,1,1.045,l,2017-09-16 06:00:00,0,0,1,0,-0.147
h,0.471,1.241,0.471,1.241,"{'att': 131, 'def': 28}","{'att': 215, 'def': 22}",3,3,0,0,0.624,d,2017-09-20 19:00:00,0,1,0,1,-0.771
a,1.588,0.856,1.588,0.856,"{'att': 431, 'def': 33}","{'att': 132, 'def': 18}",6,9,2,0,2.062,w,2017-09-24 17:30:00,1,0,0,3,0.732
h,0.421,0.545,0.421,0.545,"{'att': 347, 'def': 24}","{'att': 175, 'def': 34}",3,4,0,0,1.117,d,2017-09-30 19:45:00,0,1,0,1,-0.124
a,1.938,1.138,1.938,1.138,"{'att': 221, 'def': 34}","{'att': 155, 'def': 24}",2,3,2,0,2.006,w,2017-10-15 17:30:00,1,0,0,3,0.8
h,0.8,0.726,0.8,0.726,"{'att': 243, 'def': 14}","{'att': 141, 'def': 31}",1,0,1,0,1.346,w,2017-10-22 17:30:00,1,0,0,3,0.074
a,1.027,1.735,0.284,1.735,"{'att': 325, 'def': 25}","{'att': 134, 'def': 26}",3,8,1,2,0.771,l,2017-10-28 21:30:00,0,0,1,0,-1.451
a,1.32,2.314,1.32,1.571,"{'att': 389, 'def': 33}","{'att': 228, 'def': 27}",6,3,0,3,0.683,l,2017-11-04 12:00:00,0,0,1,0,-0.251
h,1.316,2.594,1.316,2.594,"{'att': 385, 'def': 39}","{'att': 124, 'def': 21}",5,10,0,3,0.534,l,2017-11-18 15:15:00,0,0,1,0,-1.278
a,0.907,1.343,0.907,0.601,"{'att': 309, 'def': 21}","{'att': 199, 'def': 19}",3,9,0,1,0.899,l,2017-11-24 20:00:00,0,0,1,0,0.307
h,1.229,0.949,1.229,0.949,"{'att': 277, 'def': 17}","{'att': 119, 'def': 18}",6,5,3,1,1.595,w,2017-12-03 11:00:00,1,0,0,3,0.28
a,0.119,0.916,0.119,0.916,"{'att': 238, 'def': 23}","{'att': 205, 'def': 31}",1,7,0,1,0.501,l,2017-12-09 17:30:00,0,0,1,0,-0.797
a,0.282,0.841,0.282,0.841,"{'att': 156, 'def': 35}","{'att': 139, 'def': 30}",3,2,0,0,0.711,d,2017-12-19 20:30:00,0,1,0,1,-0.559
h,0.975,0.712,0.975,0.712,"{'att': 417, 'def': 18}","{'att': 144, 'def': 19}",3,3,1,0,1.605,w,2018-01-07 11:00:00,1,0,0,3,0.264
a,1.767,2.007,1.767,1.263,"{'att': 468, 'def': 25}","{'att': 90, 'def': 20}",4,10,2,3,1.18,l,2018-01-15 20:00:00,0,0,1,0,0.504
a,1.417,1.753,0.673,1.753,"{'att': 152, 'def': 23}","{'att': 169, 'def': 14}",3,4,2,2,1.064,d,2018-01-21 11:00:00,0,1,0,1,-1.079
h,0.782,1.401,0.782,1.401,"{'att': 185, 'def': 31}","{'att': 140, 'def': 27}",2,2,3,2,0.777,w,2018-01-28 00:00:00,1,0,0,3,-0.619
a,0.098,1.085,0.098,1.085,"{'att': 144, 'def': 35}","{'att': 168, 'def': 21}",0,3,0,0,0.356,d,2018-02-04 11:00:00,0,1,0,1,-0.988
h,0.107,1.472,0.107,1.472,"{'att': 160, 'def': 16}","{'att': 139, 'def': 21}",3,3,0,1,0.259,l,2018-02-10 17:30:00,0,0,1,0,-1.365
a,0.597,1.355,0.597,0.612,"{'att': 219, 'def': 23}","{'att': 210, 'def': 21}",1,2,0,3,0.611,l,2018-02-16 20:00:00,0,0,1,0,-0.015
h,1.188,1.954,1.188,1.211,"{'att': 394, 'def': 36}","{'att': 232, 'def': 25}",4,8,1,3,0.722,l,2018-02-21 17:45:00,0,0,1,0,-0.023
h,1.52,0.131,1.52,0.131,"{'att': 209, 'def': 34}","{'att': 119, 'def': 23}",4,3,0,0,2.59,d,2018-02-24 17:30:00,0,1,0,1,1.389
a,0.754,2.697,0.754,2.697,"{'att': 413, 'def': 17}","{'att': 225, 'def': 38}",3,10,0,4,0.273,l,2018-02-28 20:30:00,0,0,1,0,-1.943
h,1.037,0.521,1.037,0.521,"{'att': 157, 'def': 19}","{'att': 244, 'def': 33}",1,1,2,0,1.827,w,2018-03-03 17:30:00,1,0,0,3,0.515
a,1.348,1.261,1.348,1.261,"{'att': 158, 'def': 20}","{'att': 225, 'def': 27}",2,2,0,2,1.415,l,2018-03-11 19:45:00,0,0,1,0,0.087
h,1.735,0.453,1.735,0.453,"{'att': 321, 'def': 24}","{'att': 146, 'def': 21}",3,4,2,1,2.432,w,2018-03-18 11:00:00,1,0,0,3,1.282
h,0.825,0.082,0.825,0.082,"{'att': 303, 'def': 29}","{'att': 232, 'def': 23}",5,0,0,1,2.17,l,2018-04-01 15:15:00,0,0,1,0,0.742
a,0.648,2.702,0.648,2.702,"{'att': 400, 'def': 31}","{'att': 160, 'def': 30}",4,11,1,3,0.183,l,2018-04-07 18:45:00,0,0,1,0,-2.054
h,1.746,0.791,1.746,0.791,"{'att': 256, 'def': 33}","{'att': 106, 'def': 12}",4,2,1,0,2.141,w,2018-04-14 16:30:00,1,0,0,3,0.955
a,0.206,1.382,0.206,1.382,"{'att': 335, 'def': 25}","{'att': 228, 'def': 27}",2,8,1,2,0.364,l,2018-04-17 19:30:00,0,0,1,0,-1.176
h,0.72,0.979,0.72,0.979,"{'att': 216, 'def': 30}","{'att': 204, 'def': 24}",4,2,0,0,1.078,d,2018-04-20 19:00:00,0,1,0,1,-0.259
a,2.024,1.775,2.024,1.775,"{'att': 372, 'def': 41}","{'att': 202, 'def': 22}",10,2,1,2,1.553,l,2018-04-28 00:00:00,0,0,1,0,0.249
h,1.32,1.409,1.32,1.409,"{'att': 294, 'def': 36}","{'att': 196, 'def': 33}",7,11,0,3,1.289,l,2018-05-07 20:00:00,0,0,1,0,-0.089
a,1.441,2.777,1.441,2.034,"{'att': 401, 'def': 30}","{'att': 184, 'def': 26}",8,6,2,3,0.497,l,2018-05-12 17:30:00,0,0,1,0,-0.593
