h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.248,3.268,0.248,3.268,"{'att': 407, 'def': 13}","{'att': 118, 'def': 17}",0,20,0,3,0.06,l,2018-08-18 23:15:00,0,0,1,0,-3.019
h,0.581,1.581,0.581,1.581,"{'att': 326, 'def': 29}","{'att': 118, 'def': 22}",2,10,0,0,0.542,d,2018-08-25 19:15:00,0,1,0,1,-1.0
h,1.156,1.048,1.156,0.305,"{'att': 276, 'def': 27}","{'att': 150, 'def': 23}",2,10,2,1,1.389,w,2018-09-02 14:15:00,1,0,0,3,0.851
a,0.848,1.104,0.848,1.104,"{'att': 298, 'def': 15}","{'att': 189, 'def': 15}",3,2,1,0,1.141,w,2018-09-16 16:30:00,1,0,0,3,-0.255
a,1.249,1.082,1.249,1.082,"{'att': 218, 'def': 24}","{'att': 220, 'def': 18}",2,6,5,1,1.466,w,2018-09-22 11:00:00,1,0,0,3,0.167
h,1.652,1.207,0.909,1.207,"{'att': 129, 'def': 21}","{'att': 112, 'def': 35}",4,6,1,1,1.748,d,2018-09-27 18:00:00,0,1,0,1,-0.298
a,0.704,1.371,0.704,1.371,"{'att': 128, 'def': 25}","{'att': 142, 'def': 26}",1,7,1,2,0.768,l,2018-09-30 16:30:00,0,0,1,0,-0.668
h,1.169,0.873,1.169,0.873,"{'att': 402, 'def': 23}","{'att': 156, 'def': 18}",1,8,1,0,1.65,w,2018-10-06 16:30:00,1,0,0,3,0.297
a,0.988,0.734,0.988,0.734,"{'att': 337, 'def': 19}","{'att': 189, 'def': 20}",5,8,1,0,1.632,w,2018-10-19 19:00:00,1,0,0,3,0.255
h,1.976,1.092,1.976,1.092,"{'att': 247, 'def': 24}","{'att': 188, 'def': 20}",9,6,2,1,2.059,w,2018-10-28 16:30:00,1,0,0,3,0.884
