h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.498,1.516,1.498,1.516,"{'att': 124, 'def': 24}","{'att': 279, 'def': 22}",12,3,1,2,1.314,l,2018-08-19 19:15:00,0,0,1,0,-0.018
a,0.529,1.743,0.529,1.743,"{'att': 70, 'def': 29}","{'att': 171, 'def': 25}",4,4,0,2,0.328,l,2018-08-24 21:15:00,0,0,1,0,-1.213
h,0.798,1.324,0.798,0.581,"{'att': 148, 'def': 31}","{'att': 151, 'def': 20}",8,1,2,1,0.763,w,2018-08-31 23:00:00,1,0,0,3,0.217
a,1.214,2.466,1.214,2.466,"{'att': 292, 'def': 43}","{'att': 186, 'def': 18}",2,7,1,1,0.522,d,2018-09-15 11:00:00,0,1,0,1,-1.251
h,1.785,0.781,1.785,0.781,"{'att': 142, 'def': 17}","{'att': 184, 'def': 23}",1,2,1,0,2.164,w,2018-09-22 14:15:00,1,0,0,3,1.004
a,0.2,0.897,0.2,0.897,"{'att': 252, 'def': 16}","{'att': 253, 'def': 26}",1,7,0,1,0.556,l,2018-09-25 18:00:00,0,0,1,0,-0.697
h,0.564,1.985,0.564,1.242,"{'att': 159, 'def': 34}","{'att': 263, 'def': 11}",2,2,1,3,0.32,l,2018-09-29 16:30:00,0,0,1,0,-0.678
a,2.112,1.313,1.368,1.313,"{'att': 187, 'def': 27}","{'att': 136, 'def': 16}",6,6,3,2,1.999,w,2018-10-06 11:00:00,1,0,0,3,0.056
h,1.686,0.993,0.943,0.993,"{'att': 137, 'def': 28}","{'att': 193, 'def': 17}",3,0,1,1,1.932,d,2018-10-21 14:15:00,0,1,0,1,-0.05
a,1.375,1.289,1.375,1.289,"{'att': 170, 'def': 33}","{'att': 247, 'def': 18}",9,3,0,4,1.382,l,2018-10-27 16:30:00,0,0,1,0,0.086
h,1.161,0.596,1.161,0.596,"{'att': 84, 'def': 25}","{'att': 209, 'def': 14}",12,2,2,1,1.818,w,2018-11-04 11:00:00,1,0,0,3,0.565
a,1.219,0.408,1.219,0.408,"{'att': 225, 'def': 32}","{'att': 193, 'def': 18}",3,3,0,0,2.087,d,2018-11-10 12:00:00,0,1,0,1,0.811
h,3.989,1.108,3.989,1.108,"{'att': 369, 'def': 33}","{'att': 147, 'def': 19}",3,6,3,0,2.921,w,2018-11-24 12:00:00,1,0,0,3,2.882
a,0.952,0.815,0.952,0.815,"{'att': 121, 'def': 37}","{'att': 207, 'def': 23}",8,2,0,1,1.41,l,2018-11-30 20:00:00,0,0,1,0,0.136
h,4.251,2.174,3.507,2.174,"{'att': 152, 'def': 32}","{'att': 152, 'def': 8}",15,4,4,4,2.48,d,2018-12-09 11:00:00,0,1,0,1,1.333
h,1.609,2.104,0.866,2.104,"{'att': 195, 'def': 25}","{'att': 212, 'def': 17}",5,8,1,1,1.008,d,2018-12-15 19:45:00,0,1,0,1,-1.238
a,2.07,1.4,1.326,1.4,"{'att': 325, 'def': 24}","{'att': 164, 'def': 15}",6,3,1,1,1.916,d,2018-12-22 12:00:00,0,1,0,1,-0.074
h,2.02,1.051,2.02,1.051,"{'att': 194, 'def': 25}","{'att': 166, 'def': 28}",12,9,0,0,2.101,d,2019-01-06 11:00:00,0,1,0,1,0.969
