h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.24,0.736,1.24,0.736,"{'att': 262, 'def': 11}","{'att': 244, 'def': 30}",3,2,1,2,1.822,l,2019-08-18 20:00:00,0,0,1,0,0.504
a,0.146,2.851,0.146,2.851,"{'att': 358, 'def': 17}","{'att': 229, 'def': 46}",0,23,2,5,0.063,l,2019-08-25 20:00:00,0,0,1,0,-2.705
h,2.524,1.446,2.524,1.446,"{'att': 85, 'def': 21}","{'att': 269, 'def': 18}",16,5,2,1,2.138,w,2019-08-31 19:00:00,1,0,0,3,1.079
h,1.002,1.495,0.259,0.752,"{'att': 80, 'def': 13}","{'att': 240, 'def': 39}",1,8,1,1,0.883,d,2019-09-15 19:00:00,0,1,0,1,-0.493
a,0.334,2.201,0.334,2.201,"{'att': 205, 'def': 11}","{'att': 241, 'def': 31}",3,4,0,0,0.191,d,2019-09-20 19:00:00,0,1,0,1,-1.866
h,2.738,1.94,2.738,1.94,"{'att': 232, 'def': 22}","{'att': 284, 'def': 12}",14,6,3,1,1.951,w,2019-09-24 18:00:00,1,0,0,3,0.799
a,0.667,2.956,0.667,2.213,"{'att': 213, 'def': 19}","{'att': 286, 'def': 29}",7,5,1,5,0.172,l,2019-09-27 19:00:00,0,0,1,0,-1.546
h,1.744,1.184,1.744,0.441,"{'att': 127, 'def': 11}","{'att': 264, 'def': 36}",7,1,1,1,1.828,d,2019-10-04 20:00:00,0,1,0,1,1.303
a,0.637,1.329,0.637,1.329,"{'att': 219, 'def': 20}","{'att': 220, 'def': 33}",5,11,1,3,0.76,l,2019-10-20 13:00:00,0,0,1,0,-0.693
a,0.684,1.618,0.684,1.618,"{'att': 164, 'def': 11}","{'att': 373, 'def': 18}",5,5,0,1,0.616,l,2019-10-27 13:00:00,0,0,1,0,-0.934
h,1.118,1.597,1.118,0.854,"{'att': 272, 'def': 19}","{'att': 156, 'def': 25}",0,9,2,1,0.962,w,2019-10-30 20:00:00,1,0,0,3,0.264
a,0.438,2.816,0.438,2.816,"{'att': 288, 'def': 14}","{'att': 224, 'def': 25}",3,9,0,0,0.127,d,2019-11-02 20:00:00,0,1,0,1,-2.379
h,1.565,0.993,1.565,0.993,"{'att': 205, 'def': 20}","{'att': 255, 'def': 26}",5,2,1,2,1.861,l,2019-11-10 20:00:00,0,0,1,0,0.572
h,1.629,0.911,1.629,0.911,"{'att': 168, 'def': 32}","{'att': 290, 'def': 20}",12,2,2,1,1.917,w,2019-11-23 15:00:00,1,0,0,3,0.719
a,2.277,2.371,1.533,1.628,"{'att': 195, 'def': 21}","{'att': 287, 'def': 28}",6,10,2,1,1.308,w,2019-11-30 17:30:00,1,0,0,3,-0.095
h,1.985,0.985,1.985,0.242,"{'att': 203, 'def': 17}","{'att': 226, 'def': 25}",4,1,3,2,2.198,w,2019-12-08 13:00:00,1,0,0,3,1.742
a,0.503,1.589,0.503,1.589,"{'att': 123, 'def': 15}","{'att': 228, 'def': 43}",4,3,2,2,0.435,d,2019-12-15 15:00:00,0,1,0,1,-1.086
h,0.923,1.417,0.923,1.417,"{'att': 137, 'def': 19}","{'att': 352, 'def': 28}",4,3,1,2,0.885,l,2019-12-22 15:00:00,0,0,1,0,-0.495
a,2.027,0.304,1.283,0.304,"{'att': 102, 'def': 18}","{'att': 312, 'def': 37}",7,1,1,1,2.71,d,2020-01-05 15:00:00,0,1,0,1,0.979
h,2.262,0.282,2.262,0.282,"{'att': 303, 'def': 27}","{'att': 225, 'def': 26}",9,8,3,0,2.729,w,2020-01-19 13:00:00,1,0,0,3,1.981
a,1.338,1.452,1.338,0.709,"{'att': 67, 'def': 9}","{'att': 229, 'def': 22}",4,4,0,1,1.21,l,2020-01-26 15:00:00,0,0,1,0,0.629
a,0.959,2.283,0.959,1.54,"{'att': 105, 'def': 24}","{'att': 312, 'def': 36}",11,5,1,1,0.442,d,2020-02-02 13:00:00,0,1,0,1,-0.581
h,1.059,1.855,0.316,1.855,"{'att': 464, 'def': 45}","{'att': 165, 'def': 21}",4,13,2,3,0.704,l,2020-02-09 20:00:00,0,0,1,0,-1.539
a,0.488,0.563,0.488,0.563,"{'att': 95, 'def': 28}","{'att': 383, 'def': 30}",3,2,0,0,1.207,d,2020-02-16 13:00:00,0,1,0,1,-0.075
h,3.099,0.914,1.613,0.914,"{'att': 141, 'def': 20}","{'att': 342, 'def': 21}",13,5,3,3,2.722,d,2020-02-21 20:00:00,0,1,0,1,0.699
a,0.794,1.052,0.794,1.052,"{'att': 159, 'def': 24}","{'att': 328, 'def': 24}",7,5,1,2,1.085,l,2020-02-29 15:00:00,0,0,1,0,-0.258
h,1.336,1.392,1.336,0.648,"{'att': 329, 'def': 17}","{'att': 184, 'def': 23}",5,6,2,1,1.293,w,2020-03-08 20:00:00,1,0,0,3,0.687
a,0.481,2.12,0.481,1.377,"{'att': 208, 'def': 26}","{'att': 307, 'def': 25}",6,8,0,2,0.243,l,2020-06-11 20:00:00,0,0,1,0,-0.895
h,1.49,1.034,0.747,1.034,"{'att': 63, 'def': 18}","{'att': 413, 'def': 19}",6,3,2,2,1.71,d,2020-06-15 20:00:00,0,1,0,1,-0.287
a,2.136,2.248,1.393,2.248,"{'att': 179, 'def': 14}","{'att': 271, 'def': 26}",6,6,0,1,1.306,l,2020-06-20 15:00:00,0,0,1,0,-0.855
h,1.074,1.126,1.074,1.126,"{'att': 123, 'def': 26}","{'att': 265, 'def': 20}",5,2,1,0,1.232,w,2020-06-25 20:00:00,1,0,0,3,-0.052
a,1.519,1.69,1.519,1.69,"{'att': 177, 'def': 23}","{'att': 289, 'def': 13}",11,5,2,4,1.169,l,2020-06-28 16:30:00,0,0,1,0,-0.171
h,0.4,2.916,0.4,2.172,"{'att': 395, 'def': 21}","{'att': 279, 'def': 32}",4,6,0,2,0.096,l,2020-07-01 20:00:00,0,0,1,0,-1.772
a,0.637,0.239,0.637,0.239,"{'att': 174, 'def': 25}","{'att': 206, 'def': 24}",3,6,1,1,1.706,d,2020-07-04 15:00:00,0,1,0,1,0.398
h,2.125,0.408,2.125,0.408,"{'att': 171, 'def': 23}","{'att': 253, 'def': 30}",5,4,3,0,2.623,w,2020-07-08 18:30:00,1,0,0,3,1.717
a,1.169,0.764,1.169,0.764,"{'att': 202, 'def': 16}","{'att': 319, 'def': 27}",9,4,0,1,1.681,l,2020-07-11 20:00:00,0,0,1,0,0.406
h,1.803,2.313,1.803,2.313,"{'att': 111, 'def': 17}","{'att': 404, 'def': 12}",13,5,1,2,0.99,l,2020-07-16 19:00:00,0,0,1,0,-0.509
