h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.372,1.725,2.372,1.725,"{'att': 218, 'def': 22}","{'att': 261, 'def': 18}",5,4,2,4,1.844,l,2020-09-13 19:00:00,0,0,1,0,0.646
a,2.994,0.724,2.251,0.724,"{'att': 120, 'def': 20}","{'att': 227, 'def': 23}",8,1,3,1,2.794,w,2020-09-27 10:00:00,1,0,0,3,1.527
a,0.375,1.047,0.375,1.047,"{'att': 327, 'def': 25}","{'att': 169, 'def': 26}",0,8,0,1,0.705,l,2020-10-01 17:00:00,0,0,1,0,-0.672
h,0.577,1.877,0.577,1.877,"{'att': 265, 'def': 26}","{'att': 258, 'def': 33}",6,13,0,2,0.418,l,2020-10-04 14:00:00,0,0,1,0,-1.3
a,0.281,2.07,0.281,2.07,"{'att': 201, 'def': 19}","{'att': 178, 'def': 25}",5,9,0,2,0.163,l,2020-10-18 12:00:00,0,0,1,0,-1.789
h,1.192,0.818,0.449,0.818,"{'att': 175, 'def': 29}","{'att': 269, 'def': 32}",10,3,1,1,1.716,d,2020-10-26 20:00:00,0,1,0,1,-0.369
a,0.814,0.231,0.814,0.231,"{'att': 86, 'def': 17}","{'att': 211, 'def': 6}",15,4,1,1,1.879,d,2020-11-01 17:30:00,0,1,0,1,0.583
h,1.991,1.016,1.991,1.016,"{'att': 97, 'def': 29}","{'att': 239, 'def': 24}",17,3,1,1,2.134,d,2020-11-08 17:30:00,0,1,0,1,0.976
h,0.902,0.832,0.902,0.832,"{'att': 341, 'def': 35}","{'att': 201, 'def': 15}",11,4,1,1,1.375,d,2020-11-21 13:00:00,0,1,0,1,0.07
a,1.11,1.26,0.367,1.26,"{'att': 117, 'def': 19}","{'att': 262, 'def': 26}",2,2,1,1,1.221,d,2020-11-27 20:00:00,0,1,0,1,-0.893
h,2.567,0.494,2.567,0.494,"{'att': 91, 'def': 17}","{'att': 384, 'def': 36}",10,4,3,0,2.703,w,2020-12-05 13:00:00,1,0,0,3,2.073
a,0.979,2.621,0.979,2.621,"{'att': 294, 'def': 16}","{'att': 238, 'def': 15}",5,19,0,1,0.345,l,2020-12-13 20:00:00,0,0,1,0,-1.642
h,1.528,2.103,1.528,2.103,"{'att': 218, 'def': 25}","{'att': 210, 'def': 25}",5,14,2,1,0.971,w,2020-12-19 17:30:00,1,0,0,3,-0.575
a,0.581,1.37,0.581,0.626,"{'att': 231, 'def': 30}","{'att': 209, 'def': 24}",2,3,1,1,0.622,d,2020-12-22 18:45:00,0,1,0,1,-0.045
h,1.675,2.639,1.675,1.896,"{'att': 268, 'def': 20}","{'att': 150, 'def': 36}",5,12,4,3,0.705,w,2020-12-29 20:30:00,1,0,0,3,-0.221
a,0.554,1.728,0.554,1.728,"{'att': 280, 'def': 22}","{'att': 286, 'def': 22}",6,10,1,2,0.453,l,2021-01-02 13:00:00,0,0,1,0,-1.173
h,0.858,1.342,0.858,1.342,"{'att': 138, 'def': 11}","{'att': 237, 'def': 32}",5,5,2,1,0.926,w,2021-01-10 13:00:00,1,0,0,3,-0.484
a,2.007,0.726,2.007,0.726,"{'att': 129, 'def': 22}","{'att': 362, 'def': 20}",10,1,2,2,2.416,d,2021-01-19 18:00:00,0,1,0,1,1.281
h,1.047,0.631,1.047,0.631,"{'att': 203, 'def': 31}","{'att': 285, 'def': 23}",7,3,2,2,1.71,d,2021-01-22 20:00:00,0,1,0,1,0.416
a,1.829,1.236,1.086,1.236,"{'att': 264, 'def': 28}","{'att': 253, 'def': 19}",9,7,2,1,1.81,w,2021-01-30 15:15:00,1,0,0,3,-0.15
h,1.524,1.269,1.524,1.269,"{'att': 136, 'def': 23}","{'att': 216, 'def': 18}",5,3,2,2,1.539,d,2021-02-06 13:00:00,0,1,0,1,0.255
h,1.73,0.685,0.987,0.685,"{'att': 132, 'def': 23}","{'att': 292, 'def': 28}",6,5,0,1,2.293,l,2021-02-14 17:30:00,0,0,1,0,0.302
