h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.21,1.098,2.21,1.098,"{'att': 79, 'def': 23}","{'att': 501, 'def': 16}",13,3,3,1,2.149,w,2020-09-27 19:00:00,1,0,0,3,1.112
h,1.047,0.375,1.047,0.375,"{'att': 169, 'def': 26}","{'att': 327, 'def': 25}",8,0,1,0,1.949,w,2020-10-01 17:00:00,1,0,0,3,0.672
a,1.255,1.057,1.255,1.057,"{'att': 370, 'def': 33}","{'att': 380, 'def': 24}",2,3,1,1,1.53,d,2020-10-04 19:00:00,0,1,0,1,0.198
a,0.699,1.087,0.699,1.087,"{'att': 194, 'def': 17}","{'att': 216, 'def': 27}",5,5,0,1,0.946,l,2020-10-17 11:00:00,0,0,1,0,-0.388
h,1.986,0.198,1.986,0.198,"{'att': 119, 'def': 23}","{'att': 422, 'def': 27}",5,2,0,1,2.744,l,2020-10-24 16:30:00,0,0,1,0,1.787
a,1.151,1.329,1.151,1.329,"{'att': 179, 'def': 28}","{'att': 270, 'def': 20}",6,3,1,2,1.166,l,2020-10-31 15:00:00,0,0,1,0,-0.178
h,1.151,0.499,0.408,0.499,"{'att': 121, 'def': 16}","{'att': 376, 'def': 34}",3,5,1,0,2.055,w,2020-11-07 17:30:00,1,0,0,3,-0.091
h,2.226,2.082,2.226,2.082,"{'att': 230, 'def': 22}","{'att': 267, 'def': 25}",5,3,4,2,1.462,w,2020-11-21 17:30:00,1,0,0,3,0.144
a,1.7,0.168,1.7,0.168,"{'att': 154, 'def': 22}","{'att': 336, 'def': 17}",11,2,1,0,2.653,w,2020-11-28 17:30:00,1,0,0,3,1.532
h,0.534,1.697,0.534,1.697,"{'att': 203, 'def': 33}","{'att': 347, 'def': 25}",6,4,0,1,0.397,l,2020-12-05 15:15:00,0,0,1,0,-1.163
a,0.508,0.374,0.508,0.374,"{'att': 76, 'def': 16}","{'att': 415, 'def': 19}",4,1,1,0,1.388,w,2020-12-12 15:15:00,1,0,0,3,0.133
h,1.74,0.879,0.996,0.879,"{'att': 176, 'def': 22}","{'att': 306, 'def': 23}",10,3,1,1,2.084,d,2020-12-19 20:00:00,0,1,0,1,0.118
a,1.85,0.559,1.85,0.559,"{'att': 120, 'def': 25}","{'att': 290, 'def': 21}",15,1,1,0,2.448,w,2020-12-22 16:30:00,1,0,0,3,1.291
