h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.57,0.814,0.57,0.814,"{'att': 337, 'def': 18}","{'att': 168, 'def': 25}",1,11,1,1,1.058,d,2021-08-14 17:30:00,0,1,0,1,-0.245
a,0.824,0.921,0.824,0.921,"{'att': 162, 'def': 19}","{'att': 208, 'def': 25}",5,3,1,0,1.212,w,2021-08-21 15:00:00,1,0,0,3,-0.097
h,1.287,0.297,1.287,0.297,"{'att': 243, 'def': 26}","{'att': 185, 'def': 23}",9,2,1,0,2.253,w,2021-08-27 18:00:00,1,0,0,3,0.99
a,0.225,1.855,0.225,1.855,"{'att': 162, 'def': 23}","{'att': 231, 'def': 23}",5,9,0,2,0.246,l,2021-09-11 19:00:00,0,0,1,0,-1.63
h,0.529,1.634,0.529,1.634,"{'att': 311, 'def': 26}","{'att': 159, 'def': 25}",3,10,0,0,0.444,d,2021-09-19 12:00:00,0,1,0,1,-1.105
a,1.192,2.375,1.192,2.375,"{'att': 331, 'def': 17}","{'att': 195, 'def': 35}",5,19,1,6,0.646,l,2021-09-22 20:00:00,0,0,1,0,-1.183
h,2.742,1.636,2.742,1.636,"{'att': 133, 'def': 15}","{'att': 189, 'def': 25}",5,5,2,3,2.135,l,2021-09-26 12:00:00,0,0,1,0,1.106
h,0.442,1.434,0.442,0.691,"{'att': 186, 'def': 25}","{'att': 180, 'def': 36}",2,4,1,0,0.428,w,2021-10-02 14:15:00,1,0,0,3,-0.248
a,0.36,0.405,0.36,0.405,"{'att': 224, 'def': 35}","{'att': 171, 'def': 23}",6,4,0,1,1.165,l,2021-10-16 19:00:00,0,0,1,0,-0.045
a,0.808,1.471,0.808,1.471,"{'att': 259, 'def': 35}","{'att': 90, 'def': 24}",2,15,2,2,0.797,d,2021-10-23 12:00:00,0,1,0,1,-0.663
h,2.274,1.421,2.274,1.421,"{'att': 423, 'def': 31}","{'att': 124, 'def': 27}",9,2,1,1,2.015,d,2021-10-27 17:00:00,0,1,0,1,0.853
a,1.037,1.802,1.037,1.059,"{'att': 143, 'def': 23}","{'att': 242, 'def': 30}",2,5,1,1,0.708,d,2021-10-31 13:00:00,0,1,0,1,-0.022
h,2.049,0.68,1.306,0.68,"{'att': 208, 'def': 31}","{'att': 205, 'def': 22}",7,2,2,2,2.423,d,2021-11-07 17:30:00,0,1,0,1,0.626
a,0.828,1.95,0.828,1.206,"{'att': 177, 'def': 36}","{'att': 164, 'def': 29}",6,10,1,3,0.546,l,2021-11-22 20:00:00,0,0,1,0,-0.379
h,0.473,0.739,0.473,0.739,"{'att': 210, 'def': 18}","{'att': 224, 'def': 36}",2,1,0,0,0.999,d,2021-11-27 17:30:00,0,1,0,1,-0.267
a,0.776,2.07,0.776,2.07,"{'att': 300, 'def': 21}","{'att': 168, 'def': 42}",1,5,2,1,0.44,w,2021-12-04 17:30:00,1,0,0,3,-1.295
h,0.898,1.335,0.898,1.335,"{'att': 122, 'def': 35}","{'att': 112, 'def': 26}",4,6,0,0,0.926,d,2021-12-10 20:00:00,0,1,0,1,-0.437
a,1.086,2.715,1.086,2.715,"{'att': 125, 'def': 16}","{'att': 186, 'def': 25}",5,4,1,4,0.336,l,2021-12-19 13:00:00,0,0,1,0,-1.629
h,0.989,1.618,0.989,1.618,"{'att': 308, 'def': 29}","{'att': 151, 'def': 30}",3,3,0,1,0.852,l,2022-01-02 20:00:00,0,0,1,0,-0.629
a,1.165,1.325,0.422,1.325,"{'att': 185, 'def': 13}","{'att': 226, 'def': 29}",3,4,0,2,1.248,l,2022-01-08 13:00:00,0,0,1,0,-0.903
a,1.6,2.198,1.6,1.455,"{'att': 248, 'def': 30}","{'att': 220, 'def': 30}",3,9,0,3,0.892,l,2022-01-22 15:15:00,0,0,1,0,0.145
h,2.235,0.887,0.748,0.887,"{'att': 230, 'def': 17}","{'att': 174, 'def': 21}",8,9,2,1,2.416,w,2022-02-05 15:15:00,1,0,0,3,-0.139
h,1.817,1.544,1.074,1.544,"{'att': 204, 'def': 25}","{'att': 137, 'def': 19}",5,8,3,2,1.552,w,2022-02-14 20:00:00,1,0,0,3,-0.47
a,0.34,1.473,0.34,0.73,"{'att': 280, 'def': 34}","{'att': 279, 'def': 35}",3,9,1,2,0.373,l,2022-02-20 17:30:00,0,0,1,0,-0.39
h,1.388,0.72,1.388,0.72,"{'att': 74, 'def': 22}","{'att': 239, 'def': 23}",8,3,0,1,1.869,l,2022-02-26 13:00:00,0,0,1,0,0.669
h,0.456,1.449,0.456,1.449,"{'att': 324, 'def': 25}","{'att': 296, 'def': 28}",7,7,0,2,0.552,l,2022-03-02 20:00:00,0,0,1,0,-0.993
a,1.591,2.8,0.847,2.057,"{'att': 344, 'def': 22}","{'att': 215, 'def': 29}",4,14,3,4,0.566,l,2022-03-06 17:30:00,0,0,1,0,-1.209
h,1.177,1.817,1.177,1.074,"{'att': 322, 'def': 26}","{'att': 191, 'def': 27}",7,13,0,3,0.846,l,2022-03-14 20:00:00,0,0,1,0,0.103
a,0.306,1.54,0.306,1.54,"{'att': 192, 'def': 19}","{'att': 192, 'def': 19}",10,2,0,1,0.352,l,2022-03-20 13:00:00,0,0,1,0,-1.234
a,0.308,1.695,0.308,0.826,"{'att': 223, 'def': 30}","{'att': 98, 'def': 26}",4,4,0,1,0.242,l,2022-04-02 12:00:00,0,0,1,0,-0.518
h,1.08,0.575,0.337,0.575,"{'att': 413, 'def': 19}","{'att': 150, 'def': 26}",4,8,1,0,1.892,w,2022-04-09 14:15:00,1,0,0,3,-0.238
a,1.064,1.5,1.064,1.5,"{'att': 261, 'def': 23}","{'att': 209, 'def': 18}",9,5,0,3,0.945,l,2022-04-16 12:00:00,0,0,1,0,-0.436
h,0.914,0.562,0.914,0.562,"{'att': 261, 'def': 28}","{'att': 184, 'def': 35}",5,4,2,1,1.704,w,2022-04-19 17:00:00,1,0,0,3,0.352
a,1.24,1.641,1.24,1.641,"{'att': 338, 'def': 17}","{'att': 157, 'def': 28}",4,11,1,2,1.068,l,2022-05-01 19:00:00,0,0,1,0,-0.401
h,1.779,2.646,1.779,2.646,"{'att': 131, 'def': 12}","{'att': 210, 'def': 27}",9,5,2,6,0.758,l,2022-05-07 12:00:00,0,0,1,0,-0.867
a,0.553,1.652,0.553,1.652,"{'att': 303, 'def': 21}","{'att': 102, 'def': 17}",1,2,0,0,0.564,d,2022-05-11 18:30:00,0,1,0,1,-1.099
h,0.945,2.045,0.945,2.045,"{'att': 239, 'def': 17}","{'att': 203, 'def': 15}",2,1,2,1,0.608,w,2022-05-15 17:30:00,1,0,0,3,-1.1
a,1.235,0.897,1.235,0.897,"{'att': 250, 'def': 13}","{'att': 129, 'def': 18}",10,3,2,0,1.681,w,2022-05-22 18:00:00,1,0,0,3,0.338
