h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.294,3.997,0.294,3.997,"{'att': 397, 'def': 27}","{'att': 122, 'def': 16}",1,7,0,3,0.006,l,2022-08-15 19:30:00,0,0,1,0,-3.703
h,0.899,0.97,0.899,0.97,"{'att': 221, 'def': 19}","{'att': 205, 'def': 33}",9,6,1,1,1.258,d,2022-08-22 18:00:00,0,1,0,1,-0.071
h,1.235,1.812,1.235,1.068,"{'att': 283, 'def': 18}","{'att': 181, 'def': 37}",4,8,0,1,0.895,l,2022-08-27 15:30:00,0,0,1,0,0.167
a,0.219,3.583,0.219,3.583,"{'att': 295, 'def': 25}","{'att': 221, 'def': 24}",2,8,0,4,0.019,l,2022-09-04 16:30:00,0,0,1,0,-3.364
h,0.748,3.239,0.748,2.495,"{'att': 259, 'def': 28}","{'att': 211, 'def': 17}",6,9,1,4,0.125,l,2022-09-11 14:15:00,0,0,1,0,-1.747
a,0.013,5.179,0.013,5.179,"{'att': 242, 'def': 8}","{'att': 117, 'def': 31}",1,18,0,3,0.001,l,2022-09-17 14:15:00,0,0,1,0,-5.166
a,0.925,0.651,0.925,0.651,"{'att': 253, 'def': 18}","{'att': 82, 'def': 22}",2,8,1,2,1.644,l,2022-10-03 19:00:00,0,0,1,0,0.273
h,0.335,2.697,0.335,1.211,"{'att': 260, 'def': 14}","{'att': 190, 'def': 27}",3,6,1,1,0.078,d,2022-10-10 19:00:00,0,1,0,1,-0.876
a,1.303,3.041,0.56,2.298,"{'att': 199, 'def': 17}","{'att': 193, 'def': 28}",3,14,2,2,0.366,d,2022-10-15 14:15:00,0,1,0,1,-1.738
h,1.05,1.615,1.05,1.615,"{'att': 403, 'def': 14}","{'att': 273, 'def': 23}",5,14,0,3,0.902,l,2022-10-19 19:00:00,0,0,1,0,-0.565
a,0.319,2.185,0.319,2.185,"{'att': 198, 'def': 13}","{'att': 353, 'def': 27}",4,7,2,2,0.154,d,2022-10-23 12:00:00,0,1,0,1,-1.867
h,1.227,0.373,0.484,0.373,"{'att': 219, 'def': 15}","{'att': 360, 'def': 14}",3,4,0,1,2.273,l,2022-10-31 20:00:00,0,0,1,0,0.111
a,0.198,2.813,0.198,2.813,"{'att': 261, 'def': 12}","{'att': 249, 'def': 23}",1,8,1,2,0.071,l,2022-11-05 15:15:00,0,0,1,0,-2.614
h,0.914,2.209,0.914,2.209,"{'att': 250, 'def': 18}","{'att': 215, 'def': 20}",7,6,1,2,0.517,l,2022-11-08 18:00:00,0,0,1,0,-1.294
a,0.569,1.744,0.569,1.744,"{'att': 382, 'def': 24}","{'att': 206, 'def': 24}",1,6,0,2,0.474,l,2022-12-29 20:30:00,0,0,1,0,-1.175
h,1.145,1.971,1.145,1.971,"{'att': 218, 'def': 24}","{'att': 263, 'def': 21}",2,5,0,1,0.73,l,2023-01-06 17:30:00,0,0,1,0,-0.826
a,0.655,1.402,0.655,1.402,"{'att': 200, 'def': 25}","{'att': 217, 'def': 17}",6,0,1,1,0.7,d,2023-01-16 20:00:00,0,1,0,1,-0.747
h,2.362,0.608,2.362,0.608,"{'att': 200, 'def': 21}","{'att': 151, 'def': 16}",3,6,1,1,2.556,d,2023-01-22 15:15:00,0,1,0,1,1.755
a,0.341,3.273,0.341,3.273,"{'att': 419, 'def': 10}","{'att': 78, 'def': 18}",5,17,0,3,0.069,l,2023-01-28 17:30:00,0,0,1,0,-2.932
h,2.89,1.489,1.403,1.489,"{'att': 325, 'def': 35}","{'att': 90, 'def': 13}",8,7,3,1,2.319,w,2023-02-04 15:15:00,1,0,0,3,-0.086
a,0.619,4.044,0.619,2.557,"{'att': 444, 'def': 19}","{'att': 177, 'def': 21}",5,19,0,4,0.048,l,2023-02-15 20:00:00,0,0,1,0,-1.938
