h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,3.114,0.801,3.114,0.801,"{'att': 199, 'def': 10}","{'att': 322, 'def': 10}",17,2,2,1,2.673,w,2022-08-14 20:00:00,1,0,0,3,2.313
a,3.596,1.32,1.988,0.576,"{'att': 317, 'def': 25}","{'att': 312, 'def': 25}",4,9,4,1,2.747,w,2022-08-20 20:00:00,1,0,0,3,1.412
a,2.046,1.634,2.046,1.634,"{'att': 143, 'def': 14}","{'att': 326, 'def': 13}",10,11,3,1,1.644,w,2022-08-28 20:00:00,1,0,0,3,0.412
h,3.206,0.333,3.206,0.333,"{'att': 308, 'def': 30}","{'att': 254, 'def': 18}",17,4,2,1,2.905,w,2022-09-03 14:15:00,1,0,0,3,2.873
h,2.218,0.951,2.218,0.951,"{'att': 181, 'def': 17}","{'att': 260, 'def': 16}",16,1,4,1,2.26,w,2022-09-11 12:00:00,1,0,0,3,1.267
a,1.093,1.104,1.093,1.104,"{'att': 371, 'def': 22}","{'att': 379, 'def': 28}",2,7,2,1,1.332,w,2022-09-18 19:00:00,1,0,0,3,-0.012
h,2.563,0.466,1.82,0.466,"{'att': 186, 'def': 21}","{'att': 323, 'def': 13}",6,5,1,1,2.714,d,2022-10-02 19:00:00,0,1,0,1,1.354
a,1.481,0.262,1.481,0.262,"{'att': 211, 'def': 12}","{'att': 439, 'def': 13}",7,3,1,0,2.379,w,2022-10-08 19:00:00,1,0,0,3,1.218
h,1.47,1.665,0.726,1.665,"{'att': 268, 'def': 16}","{'att': 231, 'def': 31}",7,8,3,1,1.202,w,2022-10-16 14:15:00,1,0,0,3,-0.939
a,1.615,1.05,1.615,1.05,"{'att': 273, 'def': 23}","{'att': 403, 'def': 14}",14,5,3,0,1.828,w,2022-10-19 19:00:00,1,0,0,3,0.565
h,2.177,0.518,2.177,0.518,"{'att': 326, 'def': 23}","{'att': 367, 'def': 25}",4,3,3,1,2.583,w,2022-10-22 19:00:00,1,0,0,3,1.659
h,2.658,1.998,2.658,1.255,"{'att': 309, 'def': 27}","{'att': 284, 'def': 5}",13,3,1,1,1.898,d,2022-10-30 15:15:00,0,1,0,1,1.402
a,2.213,1.659,1.469,0.915,"{'att': 142, 'def': 18}","{'att': 266, 'def': 31}",4,8,2,3,1.808,l,2022-11-07 20:00:00,0,0,1,0,0.554
h,1.731,1.117,1.731,1.117,"{'att': 182, 'def': 33}","{'att': 359, 'def': 18}",7,4,2,1,1.85,w,2022-11-10 20:30:00,1,0,0,3,0.614
a,2.534,0.535,1.791,0.535,"{'att': 234, 'def': 14}","{'att': 314, 'def': 8}",14,4,2,0,2.699,w,2022-12-30 20:30:00,1,0,0,3,1.256
a,2.167,2.417,1.423,1.674,"{'att': 249, 'def': 22}","{'att': 276, 'def': 19}",8,14,1,2,1.196,l,2023-01-07 15:15:00,0,0,1,0,-0.251
a,0.947,1.156,0.947,1.156,"{'att': 205, 'def': 11}","{'att': 278, 'def': 30}",5,8,2,0,1.202,w,2023-01-22 20:00:00,1,0,0,3,-0.209
h,1.405,0.37,1.405,0.37,"{'att': 285, 'def': 24}","{'att': 303, 'def': 26}",16,4,0,0,2.228,d,2023-01-29 20:00:00,0,1,0,1,1.035
h,2.605,0.213,2.605,0.213,"{'att': 147, 'def': 27}","{'att': 409, 'def': 19}",11,5,2,0,2.842,w,2023-02-02 20:00:00,1,0,0,3,2.391
a,1.398,0.242,0.655,0.242,"{'att': 119, 'def': 29}","{'att': 340, 'def': 29}",5,1,0,1,2.466,l,2023-02-05 13:00:00,0,0,1,0,0.414
h,4.044,0.619,2.557,0.619,"{'att': 177, 'def': 21}","{'att': 444, 'def': 19}",19,5,4,0,2.923,w,2023-02-15 20:00:00,1,0,0,3,1.938
a,1.865,0.401,1.865,0.401,"{'att': 240, 'def': 9}","{'att': 278, 'def': 26}",7,3,2,0,2.513,w,2023-02-18 20:00:00,1,0,0,3,1.464
h,1.563,0.218,1.563,0.218,"{'att': 218, 'def': 22}","{'att': 307, 'def': 18}",4,5,1,1,2.469,d,2023-02-25 17:30:00,0,1,0,1,1.346
a,1.145,0.593,1.145,0.593,"{'att': 227, 'def': 30}","{'att': 402, 'def': 23}",15,3,0,0,1.823,d,2023-03-05 20:00:00,0,1,0,1,0.552
h,1.782,1.102,1.782,1.102,"{'att': 161, 'def': 19}","{'att': 265, 'def': 25}",7,2,3,1,1.88,w,2023-03-11 13:00:00,1,0,0,3,0.681
a,0.524,1.665,0.524,1.665,"{'att': 295, 'def': 22}","{'att': 283, 'def': 27}",8,9,1,2,0.51,l,2023-03-19 20:00:00,0,0,1,0,-1.141
h,4.827,0.72,4.827,0.72,"{'att': 210, 'def': 24}","{'att': 307, 'def': 16}",21,3,6,0,2.951,w,2023-04-02 14:15:00,1,0,0,3,4.108
h,2.233,1.245,2.233,1.245,"{'att': 240, 'def': 12}","{'att': 281, 'def': 34}",13,9,2,3,2.074,l,2023-04-08 19:00:00,0,0,1,0,0.988
a,4.491,0.584,4.491,0.584,"{'att': 151, 'def': 18}","{'att': 357, 'def': 16}",28,5,2,0,2.94,w,2023-04-15 19:00:00,1,0,0,3,3.907
h,1.814,0.745,1.814,0.745,"{'att': 173, 'def': 26}","{'att': 427, 'def': 18}",16,7,2,0,2.167,w,2023-04-22 19:00:00,1,0,0,3,1.069
a,1.63,2.42,1.63,2.42,"{'att': 153, 'def': 17}","{'att': 328, 'def': 15}",13,3,2,4,0.822,l,2023-04-25 17:30:00,0,0,1,0,-0.79
h,3.205,1.375,2.462,1.375,"{'att': 201, 'def': 35}","{'att': 355, 'def': 14}",19,3,4,2,2.585,w,2023-04-29 16:30:00,1,0,0,3,1.087
a,0.867,2.263,0.867,2.263,"{'att': 290, 'def': 15}","{'att': 275, 'def': 33}",2,5,0,2,0.325,l,2023-05-02 20:00:00,0,0,1,0,-1.395
h,0.879,0.586,0.879,0.586,"{'att': 116, 'def': 19}","{'att': 510, 'def': 23}",7,2,1,0,1.598,w,2023-05-13 19:00:00,1,0,0,3,0.293
a,2.089,1.491,2.089,1.491,"{'att': 92, 'def': 20}","{'att': 380, 'def': 17}",14,9,0,1,1.796,l,2023-05-21 16:30:00,0,0,1,0,0.598
h,1.663,0.446,1.663,0.446,"{'att': 233, 'def': 20}","{'att': 425, 'def': 37}",13,2,2,1,2.447,w,2023-05-24 17:30:00,1,0,0,3,1.216
a,0.816,0.98,0.816,0.98,"{'att': 202, 'def': 20}","{'att': 484, 'def': 28}",6,7,2,1,1.193,w,2023-05-27 17:00:00,1,0,0,3,-0.164
h,1.722,2.18,0.979,1.437,"{'att': 189, 'def': 27}","{'att': 399, 'def': 24}",9,9,1,1,0.984,d,2023-06-04 18:00:00,0,1,0,1,-0.458
