h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.965,0.783,0.965,0.783,"{'att': 283, 'def': 33}","{'att': 207, 'def': 12}",0,8,2,0,1.539,w,2023-08-13 15:00:00,1,0,0,3,0.181
h,1.336,1.889,1.336,1.889,"{'att': 148, 'def': 16}","{'att': 259, 'def': 14}",8,4,0,2,0.896,l,2023-08-19 19:30:00,0,0,1,0,-0.553
a,1.459,1.876,0.716,1.876,"{'att': 265, 'def': 20}","{'att': 111, 'def': 18}",2,3,2,1,1.074,w,2023-08-27 17:30:00,1,0,0,3,-1.16
h,0.802,1.773,0.802,1.029,"{'att': 334, 'def': 17}","{'att': 90, 'def': 21}",8,11,1,2,0.535,l,2023-09-03 19:00:00,0,0,1,0,-0.227
a,1.296,0.736,0.553,0.736,"{'att': 158, 'def': 17}","{'att': 236, 'def': 21}",1,0,2,3,1.918,l,2023-09-17 12:00:00,0,0,1,0,-0.184
h,1.574,0.694,1.574,0.694,"{'att': 194, 'def': 20}","{'att': 124, 'def': 16}",9,4,0,0,2.102,d,2023-09-23 14:15:00,0,1,0,1,0.88
h,0.759,1.228,0.759,1.228,"{'att': 281, 'def': 26}","{'att': 213, 'def': 9}",10,4,0,2,0.851,l,2023-09-28 19:30:00,0,0,1,0,-0.469
a,1.267,1.582,1.267,1.582,"{'att': 176, 'def': 15}","{'att': 255, 'def': 21}",4,5,2,0,1.118,w,2023-10-01 14:15:00,1,0,0,3,-0.315
a,0.164,4.478,0.164,3.662,"{'att': 441, 'def': 16}","{'att': 186, 'def': 21}",3,13,0,4,0.002,l,2023-10-07 14:15:00,0,0,1,0,-3.498
h,1.798,0.776,1.055,0.776,"{'att': 208, 'def': 28}","{'att': 249, 'def': 23}",10,6,2,0,2.248,w,2023-10-20 19:00:00,1,0,0,3,0.279
a,0.446,1.434,0.446,1.434,"{'att': 231, 'def': 43}","{'att': 246, 'def': 21}",2,5,1,2,0.475,l,2023-10-29 13:00:00,0,0,1,0,-0.988
h,2.184,2.787,2.184,2.787,"{'att': 245, 'def': 23}","{'att': 198, 'def': 18}",11,6,2,4,0.926,l,2023-11-04 13:00:00,0,0,1,0,-0.603
h,1.441,0.292,1.441,0.292,"{'att': 349, 'def': 31}","{'att': 197, 'def': 13}",4,1,1,1,2.383,d,2023-11-11 17:30:00,0,1,0,1,1.149
