h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.068,0.714,1.068,0.714,"{'att': 226, 'def': 27}","{'att': 176, 'def': 29}",6,3,2,1,1.64,w,2023-08-11 19:30:00,1,0,0,3,0.354
h,1.503,0.742,0.76,0.742,"{'att': 399, 'def': 33}","{'att': 215, 'def': 25}",2,4,1,0,2.064,w,2023-08-18 19:30:00,1,0,0,3,0.018
h,1.876,1.459,1.876,0.716,"{'att': 111, 'def': 18}","{'att': 265, 'def': 20}",3,2,1,2,1.654,l,2023-08-27 17:30:00,0,0,1,0,1.16
a,0.716,1.905,0.716,1.161,"{'att': 135, 'def': 17}","{'att': 284, 'def': 29}",5,2,0,1,0.411,l,2023-09-02 16:30:00,0,0,1,0,-0.446
h,2.221,0.564,2.221,0.564,"{'att': 241, 'def': 15}","{'att': 163, 'def': 15}",1,12,3,0,2.611,w,2023-09-16 14:15:00,1,0,0,3,1.657
a,0.996,2.464,0.996,2.464,"{'att': 359, 'def': 21}","{'att': 188, 'def': 15}",4,4,2,2,0.363,d,2023-09-23 19:00:00,0,1,0,1,-1.468
h,0.357,0.294,0.357,0.294,"{'att': 431, 'def': 29}","{'att': 186, 'def': 26}",2,0,0,1,1.245,l,2023-09-27 19:30:00,0,0,1,0,0.063
a,0.51,2.537,0.51,2.537,"{'att': 323, 'def': 18}","{'att': 241, 'def': 19}",3,11,0,3,0.21,l,2023-10-01 19:00:00,0,0,1,0,-2.027
a,0.509,0.92,0.509,0.92,"{'att': 271, 'def': 29}","{'att': 275, 'def': 28}",2,4,1,1,0.917,d,2023-10-07 16:30:00,0,1,0,1,-0.411
h,1.676,0.552,1.676,0.552,"{'att': 192, 'def': 19}","{'att': 324, 'def': 24}",4,5,2,0,2.412,w,2023-10-23 19:00:00,1,0,0,3,1.124
a,2.179,1.633,2.179,1.633,"{'att': 280, 'def': 26}","{'att': 195, 'def': 26}",8,4,2,2,1.789,d,2023-10-29 17:30:00,0,1,0,1,0.546
h,1.189,0.345,0.446,0.345,"{'att': 213, 'def': 36}","{'att': 248, 'def': 28}",3,2,1,0,2.254,w,2023-11-05 15:15:00,1,0,0,3,0.101
a,2.031,1.906,2.031,1.906,"{'att': 358, 'def': 33}","{'att': 252, 'def': 18}",2,4,1,5,1.52,l,2023-11-11 20:00:00,0,0,1,0,0.125
