h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.018,0.75,1.018,0.75,"{'att': 292, 'def': 26}","{'att': 204, 'def': 20}",2,3,0,1,1.572,l,2014-08-09 20:00:00,0,0,1,0,0.267
a,1.56,1.102,1.56,1.102,"{'att': 255, 'def': 36}","{'att': 140, 'def': 27}",3,7,2,0,1.769,w,2014-08-17 16:00:00,1,0,0,3,0.457
h,1.593,1.519,1.593,0.653,"{'att': 154, 'def': 21}","{'att': 231, 'def': 25}",6,3,2,0,1.394,w,2014-08-23 19:00:00,1,0,0,3,0.941
a,0.127,1.27,0.127,1.27,"{'att': 243, 'def': 27}","{'att': 189, 'def': 35}",1,2,0,1,0.332,l,2014-08-30 19:00:00,0,0,1,0,-1.143
h,1.487,0.378,1.487,0.378,"{'att': 282, 'def': 32}","{'att': 202, 'def': 28}",4,4,1,0,2.346,w,2014-09-13 19:00:00,1,0,0,3,1.11
a,0.35,0.817,0.35,0.817,"{'att': 273, 'def': 28}","{'att': 148, 'def': 22}",3,7,0,0,0.818,d,2014-09-21 13:00:00,0,1,0,1,-0.467
h,0.381,0.822,0.381,0.822,"{'att': 260, 'def': 21}","{'att': 207, 'def': 36}",3,4,0,1,0.868,l,2014-09-24 18:00:00,0,0,1,0,-0.441
h,0.958,0.441,0.958,0.441,"{'att': 179, 'def': 24}","{'att': 163, 'def': 29}",6,2,2,1,1.837,w,2014-09-27 19:00:00,1,0,0,3,0.517
a,0.521,1.133,0.521,1.133,"{'att': 252, 'def': 39}","{'att': 134, 'def': 25}",2,1,1,1,0.637,d,2014-10-04 19:00:00,0,1,0,1,-0.613
a,1.232,2.478,1.232,2.478,"{'att': 248, 'def': 24}","{'att': 152, 'def': 26}",1,10,1,5,0.574,l,2014-10-19 20:00:00,0,0,1,0,-1.246
a,0.706,0.717,0.706,0.717,"{'att': 274, 'def': 28}","{'att': 166, 'def': 29}",3,0,0,1,1.302,l,2014-10-25 19:00:00,0,0,1,0,-0.011
h,2.13,0.197,2.13,0.197,"{'att': 177, 'def': 34}","{'att': 186, 'def': 41}",8,6,2,0,2.754,w,2014-11-01 19:00:00,1,0,0,3,1.933
a,0.55,1.501,0.55,1.501,"{'att': 142, 'def': 29}","{'att': 158, 'def': 25}",4,1,0,2,0.54,l,2014-11-08 19:00:00,0,0,1,0,-0.951
h,1.568,0.797,1.568,0.797,"{'att': 233, 'def': 20}","{'att': 156, 'def': 36}",5,4,2,0,1.961,w,2014-11-23 16:00:00,1,0,0,3,0.771
a,0.618,2.348,0.618,2.348,"{'att': 205, 'def': 24}","{'att': 167, 'def': 25}",4,5,1,1,0.269,d,2014-11-29 19:00:00,0,1,0,1,-1.73
