h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.215,1.564,2.215,1.564,"{'att': 224, 'def': 18}","{'att': 215, 'def': 25}",11,8,3,2,1.857,w,2014-08-09 20:00:00,1,0,0,3,0.651
a,0.327,1.034,0.327,1.034,"{'att': 364, 'def': 21}","{'att': 255, 'def': 24}",1,4,0,0,0.626,d,2014-08-16 19:00:00,0,1,0,1,-0.707
h,0.83,1.391,0.83,0.631,"{'att': 219, 'def': 24}","{'att': 204, 'def': 29}",5,9,1,3,0.827,l,2014-08-23 19:00:00,0,0,1,0,0.199
a,0.7,4.687,0.7,4.687,"{'att': 294, 'def': 36}","{'att': 193, 'def': 28}",2,7,0,4,0.038,l,2014-08-29 19:30:00,0,0,1,0,-3.987
h,0.788,0.51,0.788,0.51,"{'att': 166, 'def': 22}","{'att': 249, 'def': 38}",2,1,1,0,1.635,w,2014-09-13 19:00:00,1,0,0,3,0.278
a,0.08,1.968,0.08,1.968,"{'att': 146, 'def': 18}","{'att': 341, 'def': 30}",2,3,1,2,0.143,l,2014-09-20 19:00:00,0,0,1,0,-1.888
h,0.867,0.221,0.867,0.221,"{'att': 198, 'def': 24}","{'att': 237, 'def': 34}",3,5,1,0,1.998,w,2014-09-24 18:00:00,1,0,0,3,0.646
a,0.392,0.582,0.392,0.582,"{'att': 254, 'def': 32}","{'att': 155, 'def': 33}",0,7,1,0,1.05,w,2014-09-27 13:00:00,1,0,0,3,-0.19
h,1.133,0.521,1.133,0.521,"{'att': 134, 'def': 25}","{'att': 252, 'def': 39}",1,2,1,1,2.049,d,2014-10-04 19:00:00,0,1,0,1,0.613
h,0.815,0.153,0.815,0.153,"{'att': 126, 'def': 40}","{'att': 294, 'def': 28}",4,0,0,1,1.979,l,2014-10-18 19:00:00,0,0,1,0,0.662
a,3.682,2.114,3.682,2.114,"{'att': 168, 'def': 34}","{'att': 281, 'def': 35}",6,10,7,2,2.287,w,2014-10-26 16:00:00,1,0,0,3,1.568
h,1.393,1.859,1.393,1.859,"{'att': 309, 'def': 23}","{'att': 195, 'def': 28}",2,6,1,3,1.011,l,2014-11-01 19:00:00,0,0,1,0,-0.466
a,1.134,1.371,1.134,1.371,"{'att': 119, 'def': 20}","{'att': 208, 'def': 35}",3,3,0,1,1.137,l,2014-11-08 19:00:00,0,0,1,0,-0.237
h,1.324,0.813,1.324,0.813,"{'att': 280, 'def': 28}","{'att': 214, 'def': 27}",2,3,0,0,1.785,d,2014-11-22 19:00:00,0,1,0,1,0.51
a,0.367,1.775,0.367,1.015,"{'att': 408, 'def': 41}","{'att': 219, 'def': 38}",3,7,0,1,0.268,l,2014-11-29 16:00:00,0,0,1,0,-0.648
h,0.818,0.597,0.818,0.597,"{'att': 206, 'def': 27}","{'att': 254, 'def': 26}",4,1,1,2,1.569,l,2014-12-03 18:00:00,0,0,1,0,0.221
a,2.423,1.739,1.663,0.979,"{'att': 139, 'def': 30}","{'att': 225, 'def': 27}",6,4,3,2,1.869,w,2014-12-06 19:00:00,1,0,0,3,0.684
h,0.191,0.298,0.191,0.298,"{'att': 134, 'def': 21}","{'att': 222, 'def': 37}",1,2,0,0,1.043,d,2014-12-14 13:00:00,0,1,0,1,-0.107
a,0.64,1.451,0.64,0.691,"{'att': 170, 'def': 24}","{'att': 250, 'def': 35}",2,6,0,2,0.596,l,2014-12-19 19:30:00,0,0,1,0,-0.051
h,2.642,0.198,1.882,0.198,"{'att': 256, 'def': 33}","{'att': 338, 'def': 22}",10,3,3,1,2.88,w,2015-01-10 19:00:00,1,0,0,3,1.684
a,0.941,1.196,0.941,0.436,"{'att': 210, 'def': 21}","{'att': 208, 'def': 24}",5,6,2,1,1.045,w,2015-01-16 19:30:00,1,0,0,3,0.505
h,2.002,1.59,2.002,1.59,"{'att': 175, 'def': 29}","{'att': 112, 'def': 21}",4,8,2,1,1.75,w,2015-01-23 19:30:00,1,0,0,3,0.412
a,0.115,0.764,0.115,0.764,"{'att': 131, 'def': 21}","{'att': 183, 'def': 39}",0,3,0,0,0.561,d,2015-01-31 19:00:00,0,1,0,1,-0.649
h,1.23,0.186,1.23,0.186,"{'att': 176, 'def': 41}","{'att': 267, 'def': 38}",2,1,0,0,2.253,d,2015-02-08 16:00:00,0,1,0,1,1.044
a,0.144,0.367,0.144,0.367,"{'att': 155, 'def': 37}","{'att': 183, 'def': 36}",2,0,0,0,0.925,d,2015-02-14 19:00:00,0,1,0,1,-0.223
h,0.542,0.853,0.542,0.853,"{'att': 229, 'def': 31}","{'att': 250, 'def': 29}",4,3,0,1,0.968,l,2015-02-20 19:30:00,0,0,1,0,-0.311
a,1.223,1.807,0.463,1.807,"{'att': 112, 'def': 32}","{'att': 235, 'def': 35}",6,8,1,2,0.903,l,2015-03-01 16:00:00,0,0,1,0,-1.344
a,0.712,1.124,0.712,1.124,"{'att': 166, 'def': 20}","{'att': 103, 'def': 26}",1,1,1,2,0.967,l,2015-03-07 19:00:00,0,0,1,0,-0.412
h,0.932,1.185,0.932,1.185,"{'att': 117, 'def': 38}","{'att': 339, 'def': 28}",7,4,1,2,1.116,l,2015-03-13 19:30:00,0,0,1,0,-0.253
a,1.798,1.412,1.038,0.652,"{'att': 261, 'def': 24}","{'att': 148, 'def': 26}",1,12,2,1,1.692,w,2015-03-21 15:00:00,1,0,0,3,0.386
h,1.285,1.6,1.285,0.84,"{'att': 156, 'def': 31}","{'att': 165, 'def': 37}",5,2,2,2,1.047,d,2015-04-04 19:00:00,0,1,0,1,0.445
a,1.673,1.315,1.673,1.315,"{'att': 197, 'def': 20}","{'att': 146, 'def': 32}",0,4,1,0,1.667,w,2015-04-12 16:00:00,1,0,0,3,0.358
h,1.352,2.841,1.352,2.081,"{'att': 330, 'def': 23}","{'att': 191, 'def': 35}",4,8,1,3,0.465,l,2015-04-18 16:00:00,0,0,1,0,-0.728
a,1.214,0.607,1.214,0.607,"{'att': 197, 'def': 16}","{'att': 221, 'def': 32}",4,4,1,2,1.962,l,2015-04-25 19:00:00,0,0,1,0,0.607
h,1.94,1.078,1.94,1.078,"{'att': 146, 'def': 37}","{'att': 227, 'def': 25}",7,4,1,1,2.108,d,2015-05-02 19:00:00,0,1,0,1,0.862
a,0.867,2.781,0.867,2.781,"{'att': 261, 'def': 22}","{'att': 168, 'def': 31}",2,3,0,5,0.267,l,2015-05-10 16:00:00,0,0,1,0,-1.914
h,2.684,0.972,2.684,0.972,"{'att': 304, 'def': 25}","{'att': 212, 'def': 16}",9,2,2,1,2.508,w,2015-05-16 20:00:00,1,0,0,3,1.712
a,1.783,1.484,1.783,1.484,"{'att': 252, 'def': 40}","{'att': 229, 'def': 35}",1,5,3,2,1.64,w,2015-05-23 20:00:00,1,0,0,3,0.299
