h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.407,0.273,0.407,0.273,"{'att': 304, 'def': 30}","{'att': 226, 'def': 31}",0,3,0,1,1.375,l,2015-08-08 23:00:00,0,0,1,0,0.134
h,1.036,0.738,1.036,0.738,"{'att': 298, 'def': 23}","{'att': 101, 'def': 24}",4,2,0,1,1.598,l,2015-08-15 22:00:00,0,0,1,0,0.298
a,1.371,1.283,1.371,1.283,"{'att': 196, 'def': 28}","{'att': 263, 'def': 19}",9,7,0,3,1.417,l,2015-08-22 22:00:00,0,0,1,0,0.088
h,1.786,0.911,1.026,0.911,"{'att': 309, 'def': 23}","{'att': 154, 'def': 18}",2,4,2,0,2.101,w,2015-08-28 22:30:00,1,0,0,3,0.115
a,1.218,0.792,1.218,0.792,"{'att': 407, 'def': 43}","{'att': 183, 'def': 25}",3,4,1,0,1.772,w,2015-09-12 22:00:00,1,0,0,3,0.425
h,1.315,0.222,1.315,0.222,"{'att': 161, 'def': 14}","{'att': 296, 'def': 16}",3,2,2,1,2.37,w,2015-09-19 22:00:00,1,0,0,3,1.092
a,0.415,3.111,0.415,2.351,"{'att': 504, 'def': 12}","{'att': 159, 'def': 28}",3,6,0,3,0.073,l,2015-09-22 23:00:00,0,0,1,0,-1.936
h,1.342,1.012,1.342,1.012,"{'att': 207, 'def': 39}","{'att': 170, 'def': 32}",7,4,3,3,1.602,d,2015-09-27 19:00:00,0,1,0,1,0.329
a,2.199,1.213,2.199,1.213,"{'att': 195, 'def': 18}","{'att': 168, 'def': 27}",7,8,1,0,2.156,w,2015-10-03 22:00:00,1,0,0,3,0.986
h,0.387,0.69,0.387,0.69,"{'att': 298, 'def': 15}","{'att': 114, 'def': 31}",3,5,1,1,0.938,d,2015-10-17 22:00:00,0,1,0,1,-0.303
a,1.038,0.32,1.038,0.32,"{'att': 242, 'def': 26}","{'att': 220, 'def': 19}",6,5,0,0,2.027,d,2015-10-24 22:00:00,0,1,0,1,0.718
h,0.965,1.669,0.965,0.909,"{'att': 337, 'def': 18}","{'att': 150, 'def': 19}",2,7,2,2,0.78,d,2015-10-31 23:00:00,0,1,0,1,0.055
a,1.311,1.232,1.311,1.232,"{'att': 142, 'def': 24}","{'att': 294, 'def': 16}",8,5,1,2,1.443,l,2015-11-07 23:00:00,0,0,1,0,0.08
h,1.407,0.979,0.647,0.979,"{'att': 219, 'def': 33}","{'att': 194, 'def': 31}",4,3,2,0,1.757,w,2015-11-21 23:00:00,1,0,0,3,-0.332
