h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.814,0.46,2.814,0.46,"{'att': 214, 'def': 42}","{'att': 232, 'def': 20}",7,4,2,1,2.86,w,2015-08-08 23:00:00,1,0,0,3,2.354
h,1.263,1.129,1.263,1.129,"{'att': 125, 'def': 24}","{'att': 342, 'def': 25}",2,5,0,0,1.474,d,2015-08-14 22:30:00,0,1,0,1,0.133
a,1.427,2.016,1.427,2.016,"{'att': 203, 'def': 27}","{'att': 266, 'def': 31}",3,7,1,1,0.897,d,2015-08-22 22:00:00,0,1,0,1,-0.589
h,0.136,2.136,0.136,2.136,"{'att': 572, 'def': 28}","{'att': 162, 'def': 16}",4,13,0,3,0.137,l,2015-08-30 23:00:00,0,0,1,0,-2.001
a,2.982,0.971,2.222,0.971,"{'att': 174, 'def': 22}","{'att': 145, 'def': 22}",7,6,1,0,2.601,w,2015-09-13 16:00:00,1,0,0,3,1.251
h,1.631,2.115,1.631,2.115,"{'att': 168, 'def': 36}","{'att': 325, 'def': 20}",6,7,2,3,1.022,l,2015-09-20 19:00:00,0,0,1,0,-0.484
a,2.345,1.823,1.585,1.823,"{'att': 204, 'def': 32}","{'att': 277, 'def': 29}",5,3,3,2,1.755,w,2015-09-24 20:55:00,1,0,0,3,-0.238
a,1.012,1.342,1.012,1.342,"{'att': 170, 'def': 32}","{'att': 207, 'def': 39}",4,7,3,3,1.108,d,2015-09-27 19:00:00,0,1,0,1,-0.329
h,1.468,1.534,1.468,0.774,"{'att': 240, 'def': 26}","{'att': 251, 'def': 13}",4,4,1,1,1.275,d,2015-10-04 16:00:00,0,1,0,1,0.693
h,1.116,1.293,1.116,1.293,"{'att': 343, 'def': 25}","{'att': 110, 'def': 26}",1,8,1,1,1.206,d,2015-10-16 22:30:00,0,1,0,1,-0.177
a,1.694,1.378,1.694,1.378,"{'att': 295, 'def': 28}","{'att': 235, 'def': 22}",1,3,1,0,1.584,w,2015-10-25 17:00:00,1,0,0,3,0.317
h,2.11,0.688,2.11,0.688,"{'att': 269, 'def': 30}","{'att': 293, 'def': 30}",5,0,1,0,2.511,w,2015-11-01 20:00:00,1,0,0,3,1.422
a,1.159,1.196,1.159,1.196,"{'att': 188, 'def': 29}","{'att': 319, 'def': 36}",4,5,1,3,1.29,l,2015-11-09 00:00:00,0,0,1,0,-0.036
h,1.226,0.4,1.226,0.4,"{'att': 213, 'def': 23}","{'att': 267, 'def': 18}",5,5,1,0,2.184,w,2015-11-21 23:00:00,1,0,0,3,0.826
a,1.824,1.787,1.824,1.787,"{'att': 290, 'def': 37}","{'att': 124, 'def': 36}",1,6,3,3,1.382,d,2015-11-30 00:00:00,0,1,0,1,0.037
h,0.619,0.652,0.619,0.652,"{'att': 196, 'def': 17}","{'att': 345, 'def': 23}",5,2,1,1,1.223,d,2015-12-02 22:00:00,0,1,0,1,-0.033
