h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.461,0.799,0.461,0.799,"{'att': 227, 'def': 26}","{'att': 147, 'def': 25}",6,1,2,1,0.877,w,2015-08-08 23:00:00,1,0,0,3,-0.338
a,1.365,1.717,1.365,0.957,"{'att': 389, 'def': 29}","{'att': 159, 'def': 26}",1,5,1,1,1.033,d,2015-08-16 19:00:00,0,1,0,1,0.408
h,1.283,1.371,1.283,1.371,"{'att': 263, 'def': 19}","{'att': 196, 'def': 28}",7,9,3,0,1.302,w,2015-08-22 22:00:00,1,0,0,3,-0.088
a,0.608,1.868,0.608,1.868,"{'att': 292, 'def': 15}","{'att': 146, 'def': 31}",3,9,1,2,0.443,l,2015-08-30 16:00:00,0,0,1,0,-1.26
a,0.491,1.625,0.491,1.625,"{'att': 371, 'def': 18}","{'att': 253, 'def': 19}",3,7,1,4,0.469,l,2015-09-13 23:00:00,0,0,1,0,-1.134
h,0.628,1.891,0.628,1.891,"{'att': 253, 'def': 26}","{'att': 201, 'def': 19}",9,2,1,3,0.432,l,2015-09-19 22:00:00,0,0,1,0,-1.263
a,0.336,2.505,0.336,2.505,"{'att': 398, 'def': 20}","{'att': 215, 'def': 24}",1,5,0,2,0.089,l,2015-09-23 21:00:00,0,0,1,0,-2.17
h,1.825,1.182,1.825,1.182,"{'att': 272, 'def': 30}","{'att': 171, 'def': 26}",1,6,3,0,1.944,w,2015-09-26 22:00:00,1,0,0,3,0.643
a,0.462,2.309,0.462,1.549,"{'att': 244, 'def': 27}","{'att': 209, 'def': 25}",7,5,0,1,0.212,l,2015-10-03 22:00:00,0,0,1,0,-1.087
h,0.631,1.781,0.631,1.781,"{'att': 478, 'def': 31}","{'att': 139, 'def': 38}",4,8,0,2,0.484,l,2015-10-17 19:00:00,0,0,1,0,-1.149
a,0.897,0.369,0.897,0.369,"{'att': 310, 'def': 25}","{'att': 290, 'def': 23}",2,3,0,2,1.847,l,2015-10-24 22:00:00,0,0,1,0,0.527
h,0.705,0.283,0.705,0.283,"{'att': 164, 'def': 34}","{'att': 194, 'def': 28}",3,3,1,0,1.713,w,2015-10-31 23:00:00,1,0,0,3,0.422
a,0.624,1.48,0.624,1.48,"{'att': 304, 'def': 15}","{'att': 145, 'def': 27}",1,3,1,1,0.592,d,2015-11-07 23:00:00,0,1,0,1,-0.856
h,0.562,1.913,0.562,1.153,"{'att': 268, 'def': 22}","{'att': 190, 'def': 25}",8,5,1,2,0.328,l,2015-11-22 17:00:00,0,0,1,0,-0.591
a,0.227,1.117,0.227,1.117,"{'att': 279, 'def': 19}","{'att': 212, 'def': 32}",0,8,0,0,0.509,d,2015-11-28 23:00:00,0,1,0,1,-0.889
h,0.959,0.428,0.959,0.428,"{'att': 224, 'def': 26}","{'att': 215, 'def': 19}",8,6,1,0,1.833,w,2015-12-02 22:00:00,1,0,0,3,0.53
h,0.221,2.236,0.221,2.236,"{'att': 215, 'def': 24}","{'att': 231, 'def': 19}",3,10,1,2,0.122,l,2015-12-05 23:00:00,0,0,1,0,-2.016
a,0.483,1.387,0.483,1.387,"{'att': 245, 'def': 23}","{'att': 179, 'def': 21}",2,5,1,1,0.542,d,2015-12-12 23:00:00,0,1,0,1,-0.904
h,0.595,0.725,0.595,0.725,"{'att': 284, 'def': 22}","{'att': 182, 'def': 20}",1,3,2,0,1.172,w,2015-12-19 23:00:00,1,0,0,3,-0.129
a,0.227,2.589,0.227,2.589,"{'att': 580, 'def': 20}","{'att': 155, 'def': 24}",2,13,0,2,0.062,l,2016-01-08 23:30:00,0,0,1,0,-2.362
h,0.521,0.845,0.521,0.845,"{'att': 272, 'def': 45}","{'att': 214, 'def': 23}",2,2,1,0,0.91,w,2016-01-16 23:00:00,1,0,0,3,-0.324
a,0.202,2.028,0.202,1.268,"{'att': 294, 'def': 21}","{'att': 186, 'def': 23}",1,5,0,1,0.142,l,2016-01-23 23:00:00,0,0,1,0,-1.067
h,0.748,0.409,0.748,0.409,"{'att': 345, 'def': 25}","{'att': 107, 'def': 38}",0,11,1,0,1.716,w,2016-01-30 23:00:00,1,0,0,3,0.339
a,0.403,1.227,0.403,1.227,"{'att': 311, 'def': 23}","{'att': 284, 'def': 35}",1,6,0,2,0.557,l,2016-02-02 22:00:00,0,0,1,0,-0.824
h,2.196,0.353,1.436,0.353,"{'att': 310, 'def': 18}","{'att': 180, 'def': 25}",7,7,2,0,2.723,w,2016-02-06 23:00:00,1,0,0,3,1.083
a,0.536,1.456,0.536,1.456,"{'att': 279, 'def': 30}","{'att': 154, 'def': 40}",0,3,1,0,0.578,w,2016-02-13 23:00:00,1,0,0,3,-0.92
a,0.646,1.304,0.646,1.304,"{'att': 415, 'def': 34}","{'att': 141, 'def': 33}",3,9,2,0,0.761,w,2016-02-26 23:30:00,1,0,0,3,-0.657
h,1.598,0.101,1.598,0.101,"{'att': 257, 'def': 38}","{'att': 255, 'def': 24}",7,1,0,0,2.631,d,2016-03-05 23:00:00,0,1,0,1,1.497
h,0.184,0.344,0.184,0.344,"{'att': 204, 'def': 30}","{'att': 212, 'def': 33}",4,3,0,0,1.022,d,2016-03-09 21:30:00,0,1,0,1,-0.161
h,1.106,1.09,1.106,1.09,"{'att': 282, 'def': 28}","{'att': 247, 'def': 32}",3,6,1,2,1.335,l,2016-03-12 23:00:00,0,0,1,0,0.017
a,1.013,1.0,1.013,1.0,"{'att': 237, 'def': 35}","{'att': 309, 'def': 27}",2,5,1,1,1.392,d,2016-03-20 17:00:00,0,1,0,1,0.013
