h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.928,0.484,0.928,0.484,"{'att': 234, 'def': 19}","{'att': 306, 'def': 21}",5,2,1,2,1.76,l,2015-08-09 19:00:00,0,0,1,0,0.445
h,0.468,1.473,0.468,1.473,"{'att': 207, 'def': 23}","{'att': 189, 'def': 25}",2,7,1,1,0.538,d,2015-08-15 19:00:00,0,1,0,1,-1.005
a,2.356,0.549,2.356,0.549,"{'att': 171, 'def': 37}","{'att': 349, 'def': 10}",11,2,1,0,2.63,w,2015-08-23 19:00:00,1,0,0,3,1.807
h,1.868,0.608,1.868,0.608,"{'att': 146, 'def': 31}","{'att': 292, 'def': 15}",9,3,2,1,2.359,w,2015-08-30 16:00:00,1,0,0,3,1.26
a,1.008,1.55,1.008,1.55,"{'att': 205, 'def': 24}","{'att': 240, 'def': 30}",2,3,2,1,0.923,w,2015-09-12 22:00:00,1,0,0,3,-0.542
h,1.361,0.376,1.361,0.376,"{'att': 202, 'def': 24}","{'att': 267, 'def': 26}",8,4,2,0,2.199,w,2015-09-20 19:00:00,1,0,0,3,0.985
a,1.558,0.421,1.558,0.421,"{'att': 216, 'def': 23}","{'att': 274, 'def': 19}",8,3,1,0,2.356,w,2015-09-23 21:00:00,1,0,0,3,1.136
h,2.398,1.062,1.638,1.062,"{'att': 250, 'def': 30}","{'att': 229, 'def': 24}",10,1,1,4,2.345,l,2015-09-27 23:00:00,0,0,1,0,0.576
a,0.761,1.489,0.761,1.489,"{'att': 122, 'def': 25}","{'att': 213, 'def': 13}",8,1,0,1,0.76,l,2015-10-04 19:00:00,0,0,1,0,-0.728
h,0.616,0.09,0.616,0.09,"{'att': 226, 'def': 23}","{'att': 349, 'def': 15}",6,1,2,0,1.854,w,2015-10-17 22:00:00,1,0,0,3,0.527
a,0.565,4.466,0.565,4.466,"{'att': 598, 'def': 39}","{'att': 199, 'def': 23}",2,15,1,4,0.032,l,2015-10-26 00:00:00,0,0,1,0,-3.9
h,3.287,0.336,3.287,0.336,"{'att': 156, 'def': 21}","{'att': 263, 'def': 19}",10,2,3,0,2.902,w,2015-10-31 20:00:00,1,0,0,3,2.95
a,0.187,2.311,0.187,2.311,"{'att': 218, 'def': 26}","{'att': 131, 'def': 27}",2,7,0,3,0.122,l,2015-11-09 00:00:00,0,0,1,0,-2.124
h,0.712,1.779,0.712,1.779,"{'att': 291, 'def': 27}","{'att': 261, 'def': 24}",4,7,0,2,0.552,l,2015-11-23 00:00:00,0,0,1,0,-1.067
h,2.59,1.785,1.83,1.785,"{'att': 117, 'def': 18}","{'att': 201, 'def': 18}",5,6,3,0,1.972,w,2015-11-29 17:00:00,1,0,0,3,0.044
a,0.367,0.409,0.367,0.409,"{'att': 144, 'def': 32}","{'att': 164, 'def': 33}",1,7,0,1,1.17,l,2015-12-03 00:00:00,0,0,1,0,-0.041
h,1.471,0.765,0.711,0.765,"{'att': 233, 'def': 36}","{'att': 248, 'def': 19}",5,6,1,1,2.01,d,2015-12-07 00:00:00,0,1,0,1,-0.054
a,0.47,1.45,0.47,0.69,"{'att': 196, 'def': 20}","{'att': 207, 'def': 32}",2,6,0,1,0.443,l,2015-12-13 17:00:00,0,0,1,0,-0.22
h,1.107,0.421,1.107,0.421,"{'att': 191, 'def': 29}","{'att': 276, 'def': 22}",4,5,1,0,1.956,w,2015-12-20 17:00:00,1,0,0,3,0.686
a,1.215,1.961,0.455,1.961,"{'att': 176, 'def': 20}","{'att': 194, 'def': 22}",4,3,1,2,0.796,l,2016-01-10 17:00:00,0,0,1,0,-1.506
h,0.629,1.41,0.629,1.41,"{'att': 353, 'def': 30}","{'att': 102, 'def': 21}",3,10,1,0,0.695,w,2016-01-18 00:00:00,1,0,0,3,-0.78
a,0.28,1.933,0.28,1.933,"{'att': 213, 'def': 33}","{'att': 271, 'def': 29}",3,2,1,1,0.204,d,2016-01-24 20:00:00,0,1,0,1,-1.653
h,0.663,2.051,0.663,2.051,"{'att': 435, 'def': 34}","{'att': 151, 'def': 19}",6,8,0,2,0.367,l,2016-02-01 00:00:00,0,0,1,0,-1.388
a,0.66,0.602,0.66,0.602,"{'att': 259, 'def': 36}","{'att': 228, 'def': 14}",3,2,1,0,1.359,w,2016-02-05 00:00:00,1,0,0,3,0.059
a,3.256,0.852,2.496,0.852,"{'att': 249, 'def': 25}","{'att': 168, 'def': 29}",2,5,4,1,2.768,w,2016-02-07 20:00:00,1,0,0,3,1.644
h,2.034,1.238,2.034,1.238,"{'att': 153, 'def': 27}","{'att': 208, 'def': 20}",9,3,1,1,2.019,d,2016-02-14 20:00:00,0,1,0,1,0.795
a,0.984,0.839,0.984,0.839,"{'att': 231, 'def': 36}","{'att': 243, 'def': 26}",7,5,1,1,1.448,d,2016-02-21 17:00:00,0,1,0,1,0.145
h,1.764,1.451,1.764,1.451,"{'att': 129, 'def': 24}","{'att': 315, 'def': 17}",8,8,1,2,1.62,l,2016-02-28 20:00:00,0,0,1,0,0.313
a,1.168,0.285,1.168,0.285,"{'att': 152, 'def': 28}","{'att': 341, 'def': 16}",4,2,0,0,2.239,d,2016-03-05 23:00:00,0,1,0,1,0.883
a,0.637,1.46,0.637,1.46,"{'att': 146, 'def': 34}","{'att': 354, 'def': 21}",5,4,0,2,0.643,l,2016-03-12 23:00:00,0,0,1,0,-0.824
h,2.132,0.582,2.132,0.582,"{'att': 257, 'def': 34}","{'att': 167, 'def': 21}",4,4,3,0,2.655,w,2016-03-19 20:00:00,1,0,0,3,1.549
a,0.565,0.921,0.565,0.921,"{'att': 262, 'def': 20}","{'att': 213, 'def': 37}",4,9,2,0,0.962,w,2016-04-02 22:00:00,1,0,0,3,-0.356
h,2.049,0.202,2.049,0.202,"{'att': 189, 'def': 35}","{'att': 305, 'def': 26}",5,1,1,0,2.738,w,2016-04-09 22:00:00,1,0,0,3,1.847
a,0.724,0.926,0.724,0.926,"{'att': 173, 'def': 27}","{'att': 270, 'def': 27}",4,6,1,0,1.153,w,2016-04-16 22:00:00,1,0,0,3,-0.202
h,0.98,0.291,0.98,0.291,"{'att': 316, 'def': 26}","{'att': 287, 'def': 14}",2,7,2,0,2.013,w,2016-04-24 19:00:00,1,0,0,3,0.689
h,0.435,2.188,0.435,1.428,"{'att': 118, 'def': 23}","{'att': 175, 'def': 19}",5,7,0,0,0.212,d,2016-04-30 19:00:00,0,1,0,1,-0.994
a,0.52,2.026,0.52,2.026,"{'att': 332, 'def': 21}","{'att': 179, 'def': 23}",0,14,0,2,0.295,l,2016-05-07 23:00:00,0,0,1,0,-1.506
h,0.692,1.618,0.692,0.858,"{'att': 181, 'def': 37}","{'att': 242, 'def': 17}",13,2,0,1,0.559,l,2016-05-14 23:00:00,0,0,1,0,-0.166
