h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.294,1.318,0.294,1.318,"{'att': 319, 'def': 30}","{'att': 339, 'def': 35}",2,2,0,1,0.44,l,2016-08-13 22:00:00,0,0,1,0,-1.024
a,0.525,0.878,0.525,0.878,"{'att': 333, 'def': 33}","{'att': 274, 'def': 27}",4,9,0,1,0.977,l,2016-08-20 22:00:00,0,0,1,0,-0.353
h,1.995,2.381,1.235,2.381,"{'att': 425, 'def': 25}","{'att': 168, 'def': 20}",7,10,4,2,1.15,w,2016-08-27 19:00:00,1,0,0,3,-1.146
a,0.804,0.606,0.804,0.606,"{'att': 226, 'def': 23}","{'att': 362, 'def': 23}",3,4,1,3,1.608,l,2016-09-10 22:00:00,0,0,1,0,0.198
h,1.681,0.974,0.921,0.214,"{'att': 127, 'def': 26}","{'att': 231, 'def': 24}",3,5,0,0,1.995,d,2016-09-17 22:00:00,0,1,0,1,0.708
a,0.3,2.115,0.3,1.355,"{'att': 518, 'def': 19}","{'att': 363, 'def': 31}",3,9,0,3,0.151,l,2016-09-20 23:00:00,0,0,1,0,-1.055
h,1.914,1.112,1.914,1.112,"{'att': 351, 'def': 18}","{'att': 235, 'def': 27}",7,8,3,0,1.955,w,2016-09-24 22:00:00,1,0,0,3,0.801
h,0.54,1.4,0.54,1.4,"{'att': 215, 'def': 19}","{'att': 328, 'def': 24}",3,4,3,3,0.672,d,2016-10-01 22:00:00,0,1,0,1,-0.861
a,0.582,1.417,0.582,0.657,"{'att': 382, 'def': 14}","{'att': 160, 'def': 25}",5,4,1,1,0.598,d,2016-10-16 19:00:00,0,1,0,1,-0.075
h,1.403,2.361,1.403,2.361,"{'att': 211, 'def': 24}","{'att': 376, 'def': 20}",5,7,1,0,0.615,w,2016-10-22 22:00:00,1,0,0,3,-0.958
a,0.617,2.01,0.617,2.01,"{'att': 174, 'def': 28}","{'att': 183, 'def': 27}",2,8,0,0,0.439,d,2016-10-29 22:00:00,0,1,0,1,-1.392
h,2.314,0.557,2.314,0.557,"{'att': 328, 'def': 23}","{'att': 205, 'def': 22}",3,7,3,3,2.637,d,2016-11-05 23:00:00,0,1,0,1,1.757
a,1.175,1.127,0.415,1.127,"{'att': 165, 'def': 28}","{'att': 149, 'def': 26}",2,5,0,1,1.409,l,2016-11-19 23:00:00,0,0,1,0,-0.712
a,0.763,1.68,0.763,1.68,"{'att': 274, 'def': 43}","{'att': 194, 'def': 32}",8,4,2,3,0.592,l,2016-11-26 23:00:00,0,0,1,0,-0.918
