h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.665,0.828,0.665,0.828,"{'att': 107, 'def': 26}","{'att': 380, 'def': 30}",3,0,1,0,1.154,w,2016-08-12 22:00:00,1,0,0,3,-0.163
h,3.857,0.996,3.857,0.996,"{'att': 179, 'def': 35}","{'att': 341, 'def': 11}",23,3,3,0,2.806,w,2016-08-21 22:45:00,1,0,0,3,2.86
a,1.117,1.209,1.117,0.449,"{'att': 173, 'def': 26}","{'att': 447, 'def': 32}",8,1,1,3,1.226,l,2016-08-28 22:45:00,0,0,1,0,0.668
h,1.939,0.293,1.179,0.293,"{'att': 303, 'def': 19}","{'att': 498, 'def': 32}",5,2,1,1,2.672,d,2016-09-09 22:45:00,0,1,0,1,0.886
a,3.503,1.007,2.743,1.007,"{'att': 175, 'def': 23}","{'att': 525, 'def': 25}",9,1,6,0,2.785,w,2016-09-16 22:45:00,1,0,0,3,1.736
h,2.115,0.3,1.355,0.3,"{'att': 363, 'def': 31}","{'att': 518, 'def': 19}",9,3,3,0,2.754,w,2016-09-20 23:00:00,1,0,0,3,1.055
a,1.046,1.444,1.046,0.684,"{'att': 158, 'def': 20}","{'att': 495, 'def': 40}",7,1,0,2,0.977,l,2016-09-23 22:45:00,0,0,1,0,0.362
h,2.35,0.741,2.35,0.741,"{'att': 238, 'def': 32}","{'att': 624, 'def': 20}",8,2,2,0,2.534,w,2016-10-01 19:00:00,1,0,0,3,1.609
a,0.603,0.204,0.603,0.204,"{'att': 187, 'def': 19}","{'att': 474, 'def': 46}",4,2,2,1,1.757,w,2016-10-15 19:00:00,1,0,0,3,0.4
h,1.515,0.0,1.515,0.0,"{'att': 228, 'def': 36}","{'att': 542, 'def': 16}",9,2,0,0,2.709,d,2016-10-23 22:45:00,0,1,0,1,1.515
a,2.238,1.187,2.238,1.187,"{'att': 160, 'def': 31}","{'att': 396, 'def': 29}",8,3,1,0,2.137,w,2016-10-28 22:45:00,1,0,0,3,1.051
h,2.568,0.182,2.568,0.182,"{'att': 261, 'def': 27}","{'att': 446, 'def': 22}",10,1,4,0,2.866,w,2016-11-06 23:45:00,1,0,0,3,2.386
h,1.523,0.666,0.763,0.666,"{'att': 178, 'def': 24}","{'att': 560, 'def': 23}",8,2,2,0,2.147,w,2016-11-19 20:00:00,1,0,0,3,0.097
a,2.299,0.869,1.539,0.869,"{'att': 268, 'def': 28}","{'att': 361, 'def': 23}",7,3,2,1,2.436,w,2016-11-27 23:45:00,1,0,0,3,0.67
h,1.876,0.302,1.116,0.302,"{'att': 221, 'def': 29}","{'att': 376, 'def': 17}",4,1,2,0,2.656,w,2016-12-01 00:00:00,1,0,0,3,0.814
a,1.218,0.537,1.218,0.537,"{'att': 143, 'def': 31}","{'att': 489, 'def': 23}",7,2,0,3,1.96,l,2016-12-03 20:00:00,0,0,1,0,0.68
h,3.503,0.505,3.503,0.505,"{'att': 295, 'def': 46}","{'att': 386, 'def': 23}",2,3,2,2,2.929,d,2016-12-11 23:45:00,0,1,0,1,2.998
a,1.693,0.914,1.693,0.914,"{'att': 109, 'def': 26}","{'att': 434, 'def': 25}",11,4,1,2,2.037,l,2016-12-17 20:00:00,0,0,1,0,0.779
h,2.039,0.103,1.279,0.103,"{'att': 224, 'def': 23}","{'att': 516, 'def': 20}",10,1,5,0,2.816,w,2016-12-21 23:50:00,1,0,0,3,1.176
a,0.758,0.382,0.758,0.382,"{'att': 300, 'def': 25}","{'att': 390, 'def': 31}",10,4,1,0,1.692,w,2017-01-14 20:00:00,1,0,0,3,0.376
a,1.976,0.728,1.976,0.728,"{'att': 188, 'def': 20}","{'att': 333, 'def': 39}",10,5,2,0,2.314,w,2017-01-21 19:00:00,1,0,0,3,1.248
h,1.347,0.567,0.587,0.567,"{'att': 199, 'def': 27}","{'att': 342, 'def': 26}",6,3,1,1,2.115,d,2017-01-29 23:00:00,0,1,0,1,0.02
a,2.938,0.305,2.938,0.305,"{'att': 160, 'def': 25}","{'att': 469, 'def': 21}",11,1,3,1,2.897,w,2017-02-04 19:00:00,1,0,0,3,2.634
h,2.852,0.317,2.852,0.317,"{'att': 130, 'def': 27}","{'att': 497, 'def': 13}",10,0,2,1,2.924,w,2017-02-07 23:00:00,1,0,0,3,2.535
a,1.069,0.93,1.069,0.93,"{'att': 253, 'def': 16}","{'att': 474, 'def': 32}",4,8,3,0,1.476,w,2017-02-10 19:45:00,1,0,0,3,0.139
h,1.194,0.117,1.194,0.117,"{'att': 86, 'def': 24}","{'att': 437, 'def': 25}",9,1,0,0,2.404,d,2017-02-19 20:00:00,0,1,0,1,1.077
a,3.522,0.773,3.522,0.773,"{'att': 316, 'def': 22}","{'att': 367, 'def': 28}",12,1,5,1,2.825,w,2017-02-26 20:00:00,1,0,0,3,2.75
h,3.266,0.583,2.506,0.583,"{'att': 147, 'def': 33}","{'att': 344, 'def': 25}",10,0,1,0,2.81,w,2017-03-04 16:00:00,1,0,0,3,1.922
a,1.349,0.233,1.349,0.233,"{'att': 222, 'def': 16}","{'att': 353, 'def': 19}",11,3,2,1,2.348,w,2017-03-12 20:00:00,1,0,0,3,1.116
h,1.468,1.211,1.468,1.211,"{'att': 315, 'def': 28}","{'att': 339, 'def': 34}",10,2,2,1,1.539,w,2017-03-19 20:00:00,1,0,0,3,0.257
h,2.706,0.592,2.706,0.592,"{'att': 169, 'def': 24}","{'att': 379, 'def': 25}",4,6,4,0,2.672,w,2017-04-09 20:00:00,1,0,0,3,2.114
a,0.823,0.587,0.823,0.587,"{'att': 252, 'def': 29}","{'att': 434, 'def': 29}",5,7,2,0,1.557,w,2017-04-14 19:45:00,1,0,0,3,0.236
a,2.67,0.337,2.67,0.337,"{'att': 104, 'def': 32}","{'att': 485, 'def': 25}",10,0,3,2,2.798,w,2017-04-18 17:30:00,1,0,0,3,2.334
h,2.81,1.005,2.81,1.005,"{'att': 182, 'def': 27}","{'att': 528, 'def': 15}",14,2,2,0,2.502,w,2017-04-22 16:00:00,1,0,0,3,1.804
a,1.317,1.18,1.317,1.18,"{'att': 177, 'def': 32}","{'att': 363, 'def': 18}",5,3,1,3,1.443,l,2017-04-30 20:00:00,0,0,1,0,0.137
h,5.359,0.103,4.599,0.103,"{'att': 149, 'def': 30}","{'att': 393, 'def': 11}",20,1,5,0,3.0,w,2017-05-06 16:00:00,1,0,0,3,4.496
a,5.068,0.309,5.068,0.309,"{'att': 162, 'def': 14}","{'att': 566, 'def': 15}",8,8,5,0,2.994,w,2017-05-14 20:00:00,1,0,0,3,4.759
h,2.002,1.7,2.002,0.94,"{'att': 123, 'def': 18}","{'att': 404, 'def': 17}",8,3,1,1,1.553,d,2017-05-20 20:00:00,0,1,0,1,1.062
