h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.169,0.705,1.169,0.705,"{'att': 342, 'def': 31}","{'att': 297, 'def': 26}",1,0,0,1,1.766,l,2016-08-14 19:00:00,0,0,1,0,0.464
h,0.458,0.969,0.458,0.208,"{'att': 290, 'def': 16}","{'att': 288, 'def': 29}",6,4,2,0,0.687,w,2016-08-20 22:00:00,1,0,0,3,0.249
a,1.011,0.999,1.011,0.999,"{'att': 207, 'def': 25}","{'att': 302, 'def': 35}",1,3,1,1,1.331,d,2016-08-27 22:00:00,0,1,0,1,0.012
h,0.716,0.798,0.716,0.798,"{'att': 290, 'def': 25}","{'att': 281, 'def': 23}",2,5,2,0,1.24,w,2016-09-11 19:00:00,1,0,0,3,-0.083
a,0.207,1.855,0.207,1.855,"{'att': 288, 'def': 24}","{'att': 362, 'def': 45}",2,4,0,3,0.219,l,2016-09-17 19:00:00,0,0,1,0,-1.648
h,2.071,1.482,1.311,0.721,"{'att': 203, 'def': 41}","{'att': 241, 'def': 33}",5,1,3,2,1.824,w,2016-09-21 23:00:00,1,0,0,3,0.59
a,1.112,1.914,1.112,1.914,"{'att': 235, 'def': 27}","{'att': 351, 'def': 18}",8,7,0,3,0.811,l,2016-09-24 22:00:00,0,0,1,0,-0.801
h,1.636,0.397,0.876,0.397,"{'att': 169, 'def': 36}","{'att': 320, 'def': 19}",5,3,1,0,2.454,w,2016-09-30 22:45:00,1,0,0,3,0.478
h,1.859,0.685,1.859,0.685,"{'att': 315, 'def': 32}","{'att': 314, 'def': 26}",4,4,1,1,2.27,d,2016-10-16 17:00:00,0,1,0,1,1.174
a,0.676,0.903,0.676,0.903,"{'att': 223, 'def': 23}","{'att': 243, 'def': 24}",2,3,2,1,1.119,w,2016-10-22 22:00:00,1,0,0,3,-0.227
h,0.878,0.746,0.878,0.746,"{'att': 235, 'def': 24}","{'att': 274, 'def': 23}",5,4,1,0,1.456,w,2016-10-30 20:00:00,1,0,0,3,0.132
a,0.182,2.568,0.182,2.568,"{'att': 446, 'def': 22}","{'att': 261, 'def': 27}",1,10,0,4,0.079,l,2016-11-06 23:45:00,0,0,1,0,-2.386
h,1.629,0.327,1.629,0.327,"{'att': 261, 'def': 28}","{'att': 389, 'def': 29}",2,1,1,1,2.441,d,2016-11-19 23:00:00,0,1,0,1,1.303
h,1.242,1.709,1.242,1.709,"{'att': 244, 'def': 21}","{'att': 187, 'def': 34}",2,7,1,0,1.003,w,2016-11-25 23:45:00,1,0,0,3,-0.468
a,1.821,1.706,1.821,1.706,"{'att': 230, 'def': 23}","{'att': 296, 'def': 23}",3,3,1,2,1.421,l,2016-11-29 22:00:00,0,0,1,0,0.115
h,1.304,0.444,1.304,0.444,"{'att': 268, 'def': 31}","{'att': 287, 'def': 14}",9,2,2,0,2.073,w,2016-12-04 18:00:00,1,0,0,3,0.86
a,0.845,0.899,0.845,0.899,"{'att': 184, 'def': 33}","{'att': 299, 'def': 27}",6,7,0,1,1.25,l,2016-12-11 18:00:00,0,0,1,0,-0.054
h,1.366,1.295,1.366,1.295,"{'att': 123, 'def': 37}","{'att': 323, 'def': 28}",5,3,1,2,1.397,l,2016-12-17 23:00:00,0,0,1,0,0.071
a,0.757,2.356,0.757,1.596,"{'att': 306, 'def': 39}","{'att': 171, 'def': 25}",1,4,1,1,0.335,d,2016-12-21 23:50:00,0,1,0,1,-0.838
h,0.382,0.758,0.382,0.758,"{'att': 390, 'def': 31}","{'att': 300, 'def': 25}",4,10,0,1,0.903,l,2017-01-14 20:00:00,0,0,1,0,-0.376
a,0.234,1.257,0.234,1.257,"{'att': 259, 'def': 23}","{'att': 155, 'def': 35}",0,6,1,1,0.421,d,2017-01-21 22:00:00,0,1,0,1,-1.023
h,0.612,1.153,0.612,1.153,"{'att': 181, 'def': 27}","{'att': 194, 'def': 27}",1,4,1,1,0.717,d,2017-01-28 22:00:00,0,1,0,1,-0.54
a,1.606,1.252,1.606,1.252,"{'att': 203, 'def': 23}","{'att': 322, 'def': 19}",6,2,1,1,1.64,d,2017-02-04 19:00:00,0,1,0,1,0.355
