h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.779,1.111,1.779,1.111,"{'att': 235, 'def': 28}","{'att': 299, 'def': 25}",8,3,2,2,1.926,d,2017-08-06 16:00:00,0,1,0,1,0.668
h,2.145,0.525,2.145,0.525,"{'att': 270, 'def': 30}","{'att': 322, 'def': 21}",7,7,2,0,2.678,w,2017-08-12 19:00:00,1,0,0,3,1.62
a,0.924,0.933,0.924,0.933,"{'att': 225, 'def': 27}","{'att': 275, 'def': 29}",4,1,3,3,1.278,d,2017-08-19 16:00:00,0,1,0,1,-0.009
h,2.766,0.567,2.766,0.567,"{'att': 251, 'def': 25}","{'att': 354, 'def': 23}",6,3,2,1,2.745,w,2017-08-26 19:00:00,1,0,0,3,2.2
a,0.936,0.352,0.936,0.352,"{'att': 252, 'def': 37}","{'att': 299, 'def': 23}",9,5,0,0,1.888,d,2017-09-08 18:00:00,0,1,0,1,0.584
a,0.733,0.909,0.733,0.909,"{'att': 232, 'def': 19}","{'att': 269, 'def': 30}",10,7,1,0,1.167,w,2017-09-15 19:45:00,1,0,0,3,-0.176
h,3.222,1.176,2.38,0.416,"{'att': 215, 'def': 16}","{'att': 292, 'def': 18}",10,8,3,1,2.661,w,2017-09-23 19:00:00,1,0,0,3,1.964
a,2.196,2.406,1.436,1.646,"{'att': 480, 'def': 29}","{'att': 285, 'def': 15}",9,6,2,6,1.227,l,2017-09-30 16:00:00,0,0,1,0,-0.21
h,0.997,1.168,0.997,1.168,"{'att': 158, 'def': 26}","{'att': 264, 'def': 18}",5,1,1,1,1.179,d,2017-10-15 14:00:00,0,1,0,1,-0.172
a,0.756,1.107,0.756,1.107,"{'att': 218, 'def': 20}","{'att': 269, 'def': 30}",8,7,0,1,1.003,l,2017-10-21 19:00:00,0,0,1,0,-0.351
h,1.38,0.894,1.38,0.894,"{'att': 219, 'def': 17}","{'att': 255, 'def': 25}",6,10,0,2,1.762,l,2017-10-28 16:00:00,0,0,1,0,0.486
a,0.329,0.817,0.329,0.817,"{'att': 208, 'def': 29}","{'att': 303, 'def': 29}",2,1,0,1,0.757,l,2017-11-03 20:45:00,0,0,1,0,-0.487
h,0.339,1.04,0.339,1.04,"{'att': 344, 'def': 20}","{'att': 149, 'def': 29}",3,5,1,1,0.678,d,2017-11-19 20:00:00,0,1,0,1,-0.701
a,1.22,1.039,1.22,1.039,"{'att': 172, 'def': 28}","{'att': 262, 'def': 18}",5,4,0,1,1.521,l,2017-11-25 19:00:00,0,0,1,0,0.181
h,1.545,0.337,1.545,0.337,"{'att': 276, 'def': 28}","{'att': 220, 'def': 29}",4,5,3,0,2.389,w,2017-11-28 20:00:00,1,0,0,3,1.208
a,1.136,1.753,1.136,1.753,"{'att': 266, 'def': 32}","{'att': 217, 'def': 28}",6,10,2,3,0.842,l,2017-12-01 19:45:00,0,0,1,0,-0.617
h,0.59,2.171,0.59,2.171,"{'att': 157, 'def': 34}","{'att': 249, 'def': 22}",8,2,0,3,0.306,l,2017-12-08 19:45:00,0,0,1,0,-1.581
a,0.574,1.8,0.574,1.8,"{'att': 502, 'def': 26}","{'att': 175, 'def': 21}",2,4,0,1,0.4,l,2017-12-17 16:00:00,0,0,1,0,-1.226
h,0.335,0.943,0.335,0.943,"{'att': 216, 'def': 26}","{'att': 281, 'def': 23}",1,2,0,2,0.728,l,2017-12-20 19:50:00,0,0,1,0,-0.608
a,0.709,1.395,0.709,0.635,"{'att': 287, 'def': 22}","{'att': 169, 'def': 27}",3,1,1,0,0.688,w,2018-01-13 19:00:00,1,0,0,3,0.075
h,0.551,0.949,0.551,0.189,"{'att': 298, 'def': 29}","{'att': 197, 'def': 33}",6,0,0,2,0.816,l,2018-01-16 18:00:00,0,0,1,0,0.362
a,0.44,0.544,0.44,0.544,"{'att': 264, 'def': 21}","{'att': 159, 'def': 41}",0,3,1,0,1.157,w,2018-01-20 16:00:00,1,0,0,3,-0.104
h,2.425,0.702,0.904,0.702,"{'att': 390, 'def': 26}","{'att': 204, 'def': 18}",5,1,3,1,2.628,w,2018-01-28 00:00:00,1,0,0,3,0.202
a,0.838,0.308,0.838,0.308,"{'att': 238, 'def': 34}","{'att': 146, 'def': 30}",6,6,2,0,1.88,w,2018-02-03 19:00:00,1,0,0,3,0.53
h,2.199,1.158,2.199,1.158,"{'att': 198, 'def': 23}","{'att': 270, 'def': 18}",4,5,3,2,2.146,w,2018-02-10 19:00:00,1,0,0,3,1.041
a,0.108,1.627,0.108,1.627,"{'att': 383, 'def': 29}","{'att': 203, 'def': 39}",2,3,0,1,0.195,l,2018-02-18 20:00:00,0,0,1,0,-1.519
h,1.847,0.154,1.847,0.154,"{'att': 343, 'def': 47}","{'att': 244, 'def': 24}",6,1,0,0,2.705,d,2018-02-25 14:00:00,0,1,0,1,1.692
a,0.523,2.85,0.523,2.85,"{'att': 214, 'def': 27}","{'att': 255, 'def': 34}",3,9,1,2,0.151,l,2018-03-02 19:45:00,0,0,1,0,-2.327
h,1.118,0.89,1.118,0.89,"{'att': 163, 'def': 30}","{'att': 308, 'def': 15}",8,3,0,0,1.586,d,2018-03-10 19:00:00,0,1,0,1,0.228
h,0.391,0.918,0.391,0.918,"{'att': 236, 'def': 24}","{'att': 303, 'def': 36}",3,4,0,2,0.635,l,2018-03-17 16:00:00,0,0,1,0,-0.527
a,2.627,0.891,1.867,0.891,"{'att': 202, 'def': 25}","{'att': 247, 'def': 37}",3,3,1,2,2.577,l,2018-04-01 14:00:00,0,0,1,0,0.976
h,2.551,0.675,2.551,0.675,"{'att': 177, 'def': 26}","{'att': 341, 'def': 31}",5,2,2,1,2.699,w,2018-04-07 18:00:00,1,0,0,3,1.876
a,1.539,1.851,1.539,1.091,"{'att': 216, 'def': 16}","{'att': 317, 'def': 28}",2,5,3,1,1.124,w,2018-04-15 13:00:00,1,0,0,3,0.448
h,1.064,0.635,1.064,0.635,"{'att': 394, 'def': 27}","{'att': 187, 'def': 15}",5,5,0,1,1.698,l,2018-04-22 00:00:00,0,0,1,0,0.429
h,2.008,1.316,1.247,0.556,"{'att': 266, 'def': 27}","{'att': 219, 'def': 31}",0,2,3,1,1.954,w,2018-04-28 18:00:00,1,0,0,3,0.691
a,3.129,2.299,3.129,0.779,"{'att': 304, 'def': 16}","{'att': 221, 'def': 20}",3,5,3,1,1.994,w,2018-05-06 14:00:00,1,0,0,3,2.349
h,2.616,0.851,2.616,0.851,"{'att': 167, 'def': 18}","{'att': 262, 'def': 36}",5,1,4,2,2.61,w,2018-05-12 20:00:00,1,0,0,3,1.764
a,1.973,0.314,1.973,0.314,"{'att': 210, 'def': 21}","{'att': 377, 'def': 23}",4,3,4,0,2.621,w,2018-05-19 19:00:00,1,0,0,3,1.659
