h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.286,1.308,0.286,1.308,"{'att': 359, 'def': 23}","{'att': 147, 'def': 24}",0,4,0,2,0.479,l,2018-08-12 16:00:00,0,0,1,0,-1.022
h,1.11,0.308,0.35,0.308,"{'att': 185, 'def': 24}","{'att': 298, 'def': 18}",4,3,1,2,2.25,l,2018-08-18 21:00:00,0,0,1,0,0.042
h,2.183,0.7,2.183,0.7,"{'att': 251, 'def': 32}","{'att': 345, 'def': 20}",9,1,4,1,2.516,w,2018-08-25 21:00:00,1,0,0,3,1.483
a,0.325,0.737,0.325,0.737,"{'att': 268, 'def': 13}","{'att': 155, 'def': 26}",3,6,0,0,0.885,d,2018-09-02 13:00:00,0,1,0,1,-0.412
h,1.449,2.82,0.689,1.3,"{'att': 249, 'def': 17}","{'att': 229, 'def': 25}",4,7,2,3,0.461,l,2018-09-15 18:00:00,0,0,1,0,-0.611
a,0.673,1.075,0.673,1.075,"{'att': 225, 'def': 21}","{'att': 218, 'def': 27}",2,5,1,3,0.916,l,2018-09-22 18:00:00,0,0,1,0,-0.402
h,0.731,1.83,0.731,1.83,"{'att': 189, 'def': 21}","{'att': 187, 'def': 21}",2,3,2,1,0.559,w,2018-09-26 17:00:00,1,0,0,3,-1.099
a,0.247,1.447,0.247,0.687,"{'att': 229, 'def': 13}","{'att': 201, 'def': 26}",1,3,0,1,0.284,l,2018-09-29 18:00:00,0,0,1,0,-0.44
h,0.301,0.372,0.301,0.372,"{'att': 294, 'def': 37}","{'att': 211, 'def': 27}",2,8,1,0,1.145,w,2018-10-06 18:00:00,1,0,0,3,-0.071
a,0.574,2.504,0.574,2.504,"{'att': 349, 'def': 22}","{'att': 225, 'def': 22}",1,11,0,5,0.216,l,2018-10-20 15:00:00,0,0,1,0,-1.93
h,1.037,1.678,1.037,1.678,"{'att': 149, 'def': 24}","{'att': 261, 'def': 27}",6,2,1,2,0.78,l,2018-10-27 18:00:00,0,0,1,0,-0.641
a,0.702,1.242,0.702,1.242,"{'att': 337, 'def': 32}","{'att': 264, 'def': 18}",4,3,0,1,0.747,l,2018-11-03 19:00:00,0,0,1,0,-0.54
a,0.704,1.466,0.704,1.466,"{'att': 184, 'def': 21}","{'att': 241, 'def': 22}",9,14,1,0,0.774,w,2018-11-10 19:00:00,1,0,0,3,-0.763
h,0.994,1.848,0.994,1.088,"{'att': 316, 'def': 24}","{'att': 217, 'def': 24}",4,12,1,3,0.68,l,2018-11-25 20:00:00,0,0,1,0,-0.093
a,0.738,2.016,0.738,2.016,"{'att': 225, 'def': 24}","{'att': 215, 'def': 17}",4,5,0,3,0.482,l,2018-12-01 19:00:00,0,0,1,0,-1.278
h,0.711,1.772,0.711,0.252,"{'att': 216, 'def': 28}","{'att': 277, 'def': 19}",4,5,0,2,0.448,l,2018-12-04 18:00:00,0,0,1,0,0.459
a,1.58,1.126,1.58,1.126,"{'att': 139, 'def': 19}","{'att': 120, 'def': 28}",3,9,2,1,1.794,w,2018-12-08 19:00:00,1,0,0,3,0.453
a,0.349,0.477,0.349,0.477,"{'att': 300, 'def': 34}","{'att': 254, 'def': 21}",6,6,1,1,1.1,d,2018-12-23 00:00:00,0,1,0,1,-0.129
h,1.677,0.225,1.677,0.225,"{'att': 226, 'def': 25}","{'att': 328, 'def': 12}",6,1,0,0,2.519,d,2019-01-08 18:00:00,0,1,0,1,1.452
h,0.28,2.454,0.28,1.694,"{'att': 334, 'def': 15}","{'att': 128, 'def': 35}",0,11,0,3,0.123,l,2019-01-12 16:00:00,0,0,1,0,-1.414
a,0.373,2.425,0.373,1.665,"{'att': 293, 'def': 24}","{'att': 188, 'def': 29}",1,8,1,2,0.132,l,2019-01-18 19:45:00,0,0,1,0,-1.292
h,0.667,1.242,0.667,1.242,"{'att': 302, 'def': 30}","{'att': 140, 'def': 26}",6,7,0,1,0.874,l,2019-01-27 16:00:00,0,0,1,0,-0.574
a,0.682,1.928,0.682,1.928,"{'att': 260, 'def': 20}","{'att': 233, 'def': 18}",1,6,0,1,0.443,l,2019-02-02 19:00:00,0,0,1,0,-1.247
h,0.83,0.385,0.83,0.385,"{'att': 196, 'def': 24}","{'att': 248, 'def': 25}",5,2,1,0,1.763,w,2019-02-09 19:00:00,1,0,0,3,0.445
a,1.054,1.289,1.054,1.289,"{'att': 301, 'def': 24}","{'att': 212, 'def': 33}",5,4,0,2,1.163,l,2019-02-16 16:00:00,0,0,1,0,-0.234
h,1.669,0.204,1.669,0.204,"{'att': 361, 'def': 25}","{'att': 122, 'def': 15}",5,2,1,0,2.576,w,2019-02-23 19:00:00,1,0,0,3,1.465
a,2.067,1.212,1.307,1.212,"{'att': 263, 'def': 20}","{'att': 152, 'def': 16}",1,4,2,2,2.149,d,2019-03-02 19:00:00,0,1,0,1,0.094
h,2.308,0.757,2.308,0.757,"{'att': 144, 'def': 24}","{'att': 128, 'def': 22}",7,4,2,1,2.495,w,2019-03-09 19:00:00,1,0,0,3,1.552
