h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,3.463,0.234,2.703,0.234,"{'att': 198, 'def': 31}","{'att': 331, 'def': 31}",4,3,4,0,2.946,w,2018-08-10 21:45:00,1,0,0,3,2.469
a,0.967,1.631,0.967,1.631,"{'att': 121, 'def': 26}","{'att': 264, 'def': 26}",2,2,1,3,0.823,l,2018-08-19 22:00:00,0,0,1,0,-0.664
h,1.032,1.676,1.032,0.916,"{'att': 144, 'def': 19}","{'att': 326, 'def': 23}",1,2,2,2,0.668,d,2018-08-26 22:00:00,0,1,0,1,0.117
a,1.821,1.859,1.821,1.859,"{'att': 204, 'def': 22}","{'att': 246, 'def': 32}",2,2,3,2,1.31,w,2018-09-02 19:00:00,1,0,0,3,-0.038
h,2.105,0.147,2.105,0.147,"{'att': 218, 'def': 33}","{'att': 362, 'def': 15}",6,0,4,0,2.787,w,2018-09-16 19:00:00,1,0,0,3,1.958
a,0.8,2.177,0.8,1.417,"{'att': 306, 'def': 19}","{'att': 185, 'def': 12}",6,3,2,4,0.426,l,2018-09-23 19:00:00,0,0,1,0,-0.617
h,1.279,0.811,0.519,0.811,"{'att': 289, 'def': 27}","{'att': 311, 'def': 18}",4,4,3,2,1.769,w,2018-09-26 17:00:00,1,0,0,3,-0.292
a,0.424,2.946,0.424,1.425,"{'att': 211, 'def': 24}","{'att': 264, 'def': 17}",3,6,0,3,0.063,l,2018-09-30 19:00:00,0,0,1,0,-1.001
h,1.498,0.537,1.498,0.537,"{'att': 196, 'def': 27}","{'att': 334, 'def': 28}",7,2,2,0,2.204,w,2018-10-07 15:00:00,1,0,0,3,0.961
a,0.477,0.665,0.477,0.665,"{'att': 361, 'def': 18}","{'att': 249, 'def': 19}",5,4,1,0,1.091,w,2018-10-21 19:00:00,1,0,0,3,-0.187
h,0.481,1.47,0.481,1.47,"{'att': 323, 'def': 19}","{'att': 226, 'def': 33}",3,9,0,2,0.478,l,2018-10-28 19:00:00,0,0,1,0,-0.99
a,1.315,1.201,1.315,1.201,"{'att': 225, 'def': 22}","{'att': 234, 'def': 20}",2,6,0,3,1.483,l,2018-11-04 20:00:00,0,0,1,0,0.114
h,2.891,0.305,2.891,0.305,"{'att': 234, 'def': 23}","{'att': 310, 'def': 30}",4,1,2,0,2.925,w,2018-11-11 16:00:00,1,0,0,3,2.586
a,1.848,0.994,1.088,0.994,"{'att': 217, 'def': 24}","{'att': 316, 'def': 24}",12,4,3,1,2.043,w,2018-11-25 20:00:00,1,0,0,3,0.093
h,0.682,0.51,0.682,0.51,"{'att': 129, 'def': 31}","{'att': 355, 'def': 16}",11,3,0,0,1.464,d,2018-12-02 16:00:00,0,1,0,1,0.172
a,1.095,1.478,0.335,1.478,"{'att': 160, 'def': 23}","{'att': 231, 'def': 29}",1,5,2,3,0.981,l,2018-12-05 18:00:00,0,0,1,0,-1.143
a,1.61,2.208,1.61,2.208,"{'att': 229, 'def': 33}","{'att': 356, 'def': 21}",5,5,1,1,0.902,d,2018-12-22 19:00:00,0,1,0,1,-0.598
h,1.564,0.845,1.564,0.845,"{'att': 272, 'def': 34}","{'att': 345, 'def': 20}",6,5,1,1,1.965,d,2019-01-13 20:00:00,0,1,0,1,0.719
a,1.154,1.912,1.154,1.152,"{'att': 269, 'def': 19}","{'att': 231, 'def': 19}",2,4,1,2,0.741,l,2019-01-16 20:00:00,0,0,1,0,0.001
a,1.086,0.404,1.086,0.404,"{'att': 191, 'def': 23}","{'att': 283, 'def': 20}",10,1,1,0,2.001,w,2019-01-20 16:00:00,1,0,0,3,0.681
h,0.607,2.018,0.607,1.258,"{'att': 299, 'def': 33}","{'att': 230, 'def': 12}",4,4,1,2,0.354,l,2019-01-25 19:45:00,0,0,1,0,-0.651
a,1.038,0.601,1.038,0.601,"{'att': 230, 'def': 33}","{'att': 275, 'def': 12}",4,2,1,2,1.764,l,2019-02-02 20:00:00,0,0,1,0,0.437
h,2.13,0.186,2.13,0.186,"{'att': 237, 'def': 35}","{'att': 404, 'def': 15}",5,4,1,0,2.729,w,2019-02-05 18:00:00,1,0,0,3,1.943
a,1.269,1.221,1.269,1.221,"{'att': 156, 'def': 33}","{'att': 326, 'def': 19}",7,2,2,1,1.376,w,2019-02-08 19:45:00,1,0,0,3,0.048
h,1.289,1.054,1.289,1.054,"{'att': 212, 'def': 33}","{'att': 301, 'def': 24}",4,5,2,0,1.506,w,2019-02-16 16:00:00,1,0,0,3,0.234
a,0.465,1.062,0.465,1.062,"{'att': 198, 'def': 24}","{'att': 154, 'def': 28}",0,8,1,1,0.801,d,2019-02-24 16:00:00,0,1,0,1,-0.597
h,2.584,0.227,1.824,0.227,"{'att': 336, 'def': 27}","{'att': 266, 'def': 27}",5,3,2,0,2.865,w,2019-03-03 20:00:00,1,0,0,3,1.597
h,0.668,0.506,0.668,0.506,"{'att': 309, 'def': 59}","{'att': 316, 'def': 25}",4,0,1,0,1.455,w,2019-03-10 20:00:00,1,0,0,3,0.161
a,0.189,1.236,0.189,0.475,"{'att': 403, 'def': 24}","{'att': 250, 'def': 28}",0,4,1,3,0.308,l,2019-03-17 20:00:00,0,0,1,0,-0.286
h,0.97,2.185,0.97,0.665,"{'att': 232, 'def': 17}","{'att': 349, 'def': 26}",1,7,2,2,0.451,d,2019-03-30 16:00:00,0,1,0,1,0.305
a,1.525,1.535,1.525,0.775,"{'att': 172, 'def': 28}","{'att': 322, 'def': 18}",6,0,0,2,1.308,l,2019-04-05 19:45:00,0,0,1,0,0.751
h,1.257,0.998,1.257,0.238,"{'att': 178, 'def': 23}","{'att': 334, 'def': 26}",6,2,2,1,1.533,w,2019-04-13 16:00:00,1,0,0,3,1.019
a,2.389,0.992,2.389,0.992,"{'att': 174, 'def': 33}","{'att': 221, 'def': 23}",4,2,3,1,2.375,w,2019-04-20 16:00:00,1,0,0,3,1.396
h,1.43,1.41,1.43,1.41,"{'att': 114, 'def': 24}","{'att': 271, 'def': 20}",10,2,1,2,1.353,l,2019-04-28 20:00:00,0,0,1,0,0.02
a,1.796,1.292,1.796,0.483,"{'att': 272, 'def': 31}","{'att': 363, 'def': 20}",5,1,1,1,1.762,d,2019-05-03 19:45:00,0,1,0,1,1.312
h,1.212,1.621,1.212,1.621,"{'att': 243, 'def': 36}","{'att': 220, 'def': 19}",4,8,0,3,1.061,l,2019-05-12 20:00:00,0,0,1,0,-0.409
a,2.318,1.951,2.318,1.951,"{'att': 175, 'def': 20}","{'att': 272, 'def': 17}",11,10,5,2,1.618,w,2019-05-18 19:00:00,1,0,0,3,0.367
h,1.355,0.485,1.355,0.485,"{'att': 165, 'def': 27}","{'att': 272, 'def': 25}",5,5,1,0,2.239,w,2019-05-24 19:05:00,1,0,0,3,0.87
