h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.267,1.033,0.267,1.033,"{'att': 367, 'def': 12}","{'att': 135, 'def': 33}",3,3,1,0,0.613,w,2018-08-11 21:00:00,1,0,0,3,-0.765
h,0.677,0.978,0.677,0.978,"{'att': 318, 'def': 20}","{'att': 214, 'def': 20}",0,7,1,0,1.088,w,2018-08-17 21:45:00,1,0,0,3,-0.301
a,0.7,2.183,0.7,2.183,"{'att': 345, 'def': 20}","{'att': 251, 'def': 32}",1,9,1,4,0.326,l,2018-08-25 21:00:00,0,0,1,0,-1.483
h,1.016,0.469,1.016,0.469,"{'att': 276, 'def': 24}","{'att': 348, 'def': 15}",10,1,0,1,1.834,l,2018-09-01 18:00:00,0,0,1,0,0.547
a,0.427,0.822,0.427,0.822,"{'att': 288, 'def': 25}","{'att': 122, 'def': 35}",2,3,0,0,0.91,d,2018-09-16 13:00:00,0,1,0,1,-0.396
h,1.063,0.154,1.063,0.154,"{'att': 324, 'def': 25}","{'att': 183, 'def': 28}",1,2,0,0,2.245,d,2018-09-22 18:00:00,0,1,0,1,0.909
a,0.327,3.653,0.327,2.893,"{'att': 432, 'def': 19}","{'att': 165, 'def': 30}",6,12,1,4,0.023,l,2018-09-26 19:00:00,0,0,1,0,-2.566
h,0.639,0.206,0.639,0.206,"{'att': 194, 'def': 32}","{'att': 205, 'def': 27}",4,0,0,0,1.734,d,2018-09-29 18:00:00,0,1,0,1,0.433
a,1.483,0.76,1.483,0.76,"{'att': 243, 'def': 15}","{'att': 125, 'def': 22}",3,1,0,0,2.021,d,2018-10-06 18:00:00,0,1,0,1,0.723
h,1.034,1.627,1.034,1.627,"{'att': 181, 'def': 30}","{'att': 252, 'def': 28}",8,9,1,1,0.876,d,2018-10-20 18:00:00,0,1,0,1,-0.593
