h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.327,0.085,1.327,0.085,"{'att': 176, 'def': 20}","{'att': 336, 'def': 23}",7,1,2,0,2.604,w,2018-08-12 18:00:00,1,0,0,3,1.242
h,0.626,0.33,0.626,0.33,"{'att': 272, 'def': 21}","{'att': 294, 'def': 10}",8,1,1,1,1.599,d,2018-08-19 16:00:00,0,1,0,1,0.296
a,0.394,1.243,0.394,1.243,"{'att': 336, 'def': 30}","{'att': 192, 'def': 26}",4,9,0,2,0.634,l,2018-08-24 21:45:00,0,0,1,0,-0.849
h,1.426,1.296,1.426,1.296,"{'att': 268, 'def': 24}","{'att': 241, 'def': 25}",6,4,2,3,1.478,l,2018-09-01 18:00:00,0,0,1,0,0.13
a,0.757,0.344,0.757,0.344,"{'att': 168, 'def': 21}","{'att': 284, 'def': 20}",5,5,1,1,1.794,d,2018-09-15 18:00:00,0,1,0,1,0.413
h,1.075,0.673,1.075,0.673,"{'att': 218, 'def': 27}","{'att': 225, 'def': 21}",5,2,3,1,1.732,w,2018-09-22 18:00:00,1,0,0,3,0.402
a,0.811,1.279,0.811,0.519,"{'att': 311, 'def': 18}","{'att': 289, 'def': 27}",4,4,2,3,0.881,l,2018-09-26 17:00:00,0,0,1,0,0.292
h,0.749,1.05,0.749,1.05,"{'att': 255, 'def': 26}","{'att': 248, 'def': 33}",2,6,3,0,1.076,w,2018-09-29 18:00:00,1,0,0,3,-0.302
a,1.305,2.159,1.305,1.399,"{'att': 309, 'def': 13}","{'att': 167, 'def': 16}",8,5,2,2,0.777,d,2018-10-06 18:00:00,0,1,0,1,-0.094
h,0.82,1.359,0.82,0.599,"{'att': 284, 'def': 23}","{'att': 229, 'def': 13}",1,4,2,1,0.84,w,2018-10-20 18:00:00,1,0,0,3,0.22
a,1.336,1.206,0.576,1.206,"{'att': 165, 'def': 16}","{'att': 310, 'def': 16}",2,5,1,1,1.479,d,2018-10-27 18:00:00,0,1,0,1,-0.631
h,1.109,1.108,1.109,1.108,"{'att': 157, 'def': 18}","{'att': 394, 'def': 9}",5,2,1,1,1.293,d,2018-11-03 19:00:00,0,1,0,1,0.001
a,0.137,1.306,0.137,1.306,"{'att': 398, 'def': 18}","{'att': 149, 'def': 37}",0,8,0,0,0.369,d,2018-11-09 19:45:00,0,1,0,1,-1.168
h,0.727,1.103,0.727,1.103,"{'att': 138, 'def': 30}","{'att': 353, 'def': 15}",3,2,0,1,1.01,l,2018-11-24 19:00:00,0,0,1,0,-0.377
