h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.833,0.563,0.833,0.563,"{'att': 242, 'def': 28}","{'att': 467, 'def': 26}",2,2,3,0,1.572,w,2019-08-09 19:45:00,1,0,0,3,0.27
h,1.495,0.348,1.495,0.348,"{'att': 206, 'def': 27}","{'att': 597, 'def': 25}",6,6,6,0,2.38,w,2019-08-16 19:45:00,1,0,0,3,1.147
a,1.043,1.892,1.043,1.132,"{'att': 301, 'def': 17}","{'att': 273, 'def': 19}",2,7,0,1,0.714,l,2019-08-27 18:00:00,0,0,1,0,-0.089
h,1.005,0.962,1.005,0.962,"{'att': 283, 'def': 26}","{'att': 290, 'def': 23}",2,7,1,1,1.396,d,2019-08-31 16:30:00,0,1,0,1,0.043
a,1.797,0.385,1.797,0.385,"{'att': 310, 'def': 20}","{'att': 372, 'def': 31}",4,5,2,2,2.494,d,2019-09-13 18:45:00,0,1,0,1,1.412
h,0.373,1.257,0.373,1.257,"{'att': 365, 'def': 17}","{'att': 284, 'def': 36}",1,15,0,1,0.602,l,2019-09-22 19:00:00,0,0,1,0,-0.884
a,1.129,0.507,1.129,0.507,"{'att': 241, 'def': 19}","{'att': 423, 'def': 32}",3,5,2,2,1.956,d,2019-09-25 17:00:00,0,1,0,1,0.622
h,0.963,0.516,0.963,0.516,"{'att': 180, 'def': 20}","{'att': 354, 'def': 15}",7,4,0,1,1.739,l,2019-09-28 11:30:00,0,0,1,0,0.447
a,0.363,0.702,0.363,0.702,"{'att': 224, 'def': 29}","{'att': 364, 'def': 25}",2,5,0,1,0.917,l,2019-10-06 20:00:00,0,0,1,0,-0.34
h,1.859,0.358,1.859,0.358,"{'att': 216, 'def': 22}","{'att': 354, 'def': 11}",10,0,0,0,2.485,d,2019-10-19 16:30:00,0,1,0,1,1.501
h,1.937,0.548,1.177,0.548,"{'att': 172, 'def': 24}","{'att': 452, 'def': 18}",6,5,2,0,2.465,w,2019-10-26 19:00:00,1,0,0,3,0.629
a,1.627,1.367,1.627,1.367,"{'att': 179, 'def': 15}","{'att': 436, 'def': 22}",14,5,3,2,1.54,w,2019-11-02 19:00:00,1,0,0,3,0.26
a,1.099,1.16,1.099,0.4,"{'att': 138, 'def': 15}","{'att': 276, 'def': 27}",2,4,1,2,1.234,l,2019-11-10 20:00:00,0,0,1,0,0.699
h,1.173,2.324,0.412,2.324,"{'att': 373, 'def': 21}","{'att': 182, 'def': 24}",3,5,2,1,0.588,w,2019-11-23 16:30:00,1,0,0,3,-1.912
a,0.82,0.423,0.82,0.423,"{'att': 235, 'def': 20}","{'att': 222, 'def': 20}",1,5,2,1,1.745,w,2019-11-30 17:00:00,1,0,0,3,0.397
h,0.586,0.965,0.586,0.965,"{'att': 160, 'def': 31}","{'att': 322, 'def': 19}",8,3,0,1,0.956,l,2019-12-03 20:05:00,0,0,1,0,-0.379
a,2.68,0.456,1.92,0.456,"{'att': 81, 'def': 26}","{'att': 298, 'def': 16}",17,0,4,0,2.806,w,2019-12-06 19:45:00,1,0,0,3,1.464
h,0.529,0.939,0.529,0.939,"{'att': 249, 'def': 27}","{'att': 305, 'def': 24}",3,4,0,1,0.953,l,2019-12-15 16:00:00,0,0,1,0,-0.41
a,1.594,1.227,0.833,0.467,"{'att': 168, 'def': 22}","{'att': 269, 'def': 21}",8,4,1,1,1.686,d,2019-12-21 19:45:00,0,1,0,1,0.366
a,2.431,0.714,2.431,0.714,"{'att': 240, 'def': 32}","{'att': 315, 'def': 16}",13,3,2,1,2.538,w,2020-01-11 16:30:00,1,0,0,3,1.716
h,1.201,0.327,1.201,0.327,"{'att': 230, 'def': 24}","{'att': 436, 'def': 13}",5,2,3,0,2.188,w,2020-01-26 14:00:00,1,0,0,3,0.874
a,1.559,1.551,1.559,1.551,"{'att': 315, 'def': 24}","{'att': 225, 'def': 35}",4,4,1,2,1.356,l,2020-02-02 14:00:00,0,0,1,0,0.008
h,0.414,0.245,0.414,0.245,"{'att': 160, 'def': 25}","{'att': 328, 'def': 29}",6,1,0,0,1.435,d,2020-02-05 18:00:00,0,1,0,1,0.17
a,0.874,1.739,0.874,1.739,"{'att': 490, 'def': 23}","{'att': 188, 'def': 29}",2,8,2,4,0.729,l,2020-02-09 20:05:00,0,0,1,0,-0.865
h,1.225,1.379,1.225,1.379,"{'att': 168, 'def': 27}","{'att': 296, 'def': 27}",2,1,1,1,1.151,d,2020-02-16 14:00:00,0,1,0,1,-0.154
a,1.57,0.135,0.81,0.135,"{'att': 218, 'def': 30}","{'att': 283, 'def': 19}",2,1,2,0,2.668,w,2020-02-21 19:45:00,1,0,0,3,0.674
h,2.923,0.378,2.162,0.378,"{'att': 156, 'def': 25}","{'att': 305, 'def': 19}",11,3,2,0,2.873,w,2020-03-01 19:00:00,1,0,0,3,1.784
a,1.142,1.359,1.142,1.359,"{'att': 175, 'def': 19}","{'att': 304, 'def': 30}",6,7,0,1,1.173,l,2020-03-08 19:00:00,0,0,1,0,-0.217
