h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.518,1.206,0.518,1.206,"{'att': 271, 'def': 21}","{'att': 218, 'def': 26}",2,3,1,2,0.742,l,2019-08-11 14:00:00,0,0,1,0,-0.688
h,0.333,1.34,0.333,0.58,"{'att': 240, 'def': 24}","{'att': 254, 'def': 20}",3,2,0,0,0.398,d,2019-08-17 16:30:00,0,1,0,1,-0.247
a,2.081,0.377,2.081,0.377,"{'att': 248, 'def': 34}","{'att': 341, 'def': 22}",5,2,2,1,2.627,w,2019-08-24 19:00:00,1,0,0,3,1.704
h,0.825,0.767,0.825,0.767,"{'att': 315, 'def': 26}","{'att': 267, 'def': 21}",3,6,1,0,1.37,w,2019-08-31 18:00:00,1,0,0,3,0.058
h,0.25,0.693,0.25,0.693,"{'att': 241, 'def': 28}","{'att': 286, 'def': 19}",2,4,1,0,0.793,w,2019-09-15 13:00:00,1,0,0,3,-0.443
a,0.554,1.872,0.554,1.112,"{'att': 321, 'def': 24}","{'att': 181, 'def': 21}",3,5,1,2,0.364,l,2019-09-20 18:45:00,0,0,1,0,-0.559
h,1.43,1.057,0.67,0.297,"{'att': 281, 'def': 27}","{'att': 199, 'def': 20}",5,5,1,0,1.688,w,2019-09-25 17:00:00,1,0,0,3,0.373
a,0.516,0.963,0.516,0.963,"{'att': 354, 'def': 15}","{'att': 180, 'def': 20}",4,7,1,0,0.907,w,2019-09-28 11:30:00,1,0,0,3,-0.447
h,1.338,0.269,1.338,0.269,"{'att': 443, 'def': 36}","{'att': 264, 'def': 26}",16,2,1,0,2.337,w,2019-10-05 19:00:00,1,0,0,3,1.069
a,0.428,0.767,0.428,0.767,"{'att': 272, 'def': 17}","{'att': 325, 'def': 26}",2,5,0,1,0.931,l,2019-10-19 19:00:00,0,0,1,0,-0.339
h,1.465,0.904,1.465,0.904,"{'att': 236, 'def': 23}","{'att': 365, 'def': 30}",2,4,0,1,1.836,l,2019-10-25 19:45:00,0,0,1,0,0.561
a,0.793,0.829,0.793,0.829,"{'att': 251, 'def': 27}","{'att': 269, 'def': 18}",4,5,0,2,1.272,l,2019-11-03 14:00:00,0,0,1,0,-0.036
h,0.933,0.853,0.933,0.853,"{'att': 216, 'def': 23}","{'att': 337, 'def': 25}",6,1,2,3,1.418,l,2019-11-10 16:00:00,0,0,1,0,0.08
a,1.504,0.565,1.504,0.565,"{'att': 343, 'def': 22}","{'att': 156, 'def': 25}",4,7,1,1,2.24,d,2019-11-23 19:00:00,0,1,0,1,0.939
h,2.877,1.012,2.117,0.252,"{'att': 190, 'def': 28}","{'att': 335, 'def': 22}",6,5,2,1,2.642,w,2019-12-01 14:00:00,1,0,0,3,1.865
a,0.472,2.042,0.472,1.282,"{'att': 477, 'def': 35}","{'att': 209, 'def': 30}",4,8,0,2,0.268,l,2019-12-04 20:05:00,0,0,1,0,-0.81
h,0.983,0.641,0.983,0.641,"{'att': 291, 'def': 25}","{'att': 245, 'def': 23}",4,3,1,0,1.615,w,2019-12-08 16:00:00,1,0,0,3,0.342
a,1.319,0.849,1.319,0.849,"{'att': 211, 'def': 27}","{'att': 185, 'def': 28}",2,1,1,0,1.765,w,2019-12-14 19:00:00,1,0,0,3,0.47
h,0.28,1.073,0.28,1.073,"{'att': 287, 'def': 19}","{'att': 284, 'def': 16}",1,6,1,2,0.592,l,2019-12-21 19:45:00,0,0,1,0,-0.792
a,1.215,0.38,1.215,0.38,"{'att': 398, 'def': 32}","{'att': 214, 'def': 31}",5,1,2,0,2.153,w,2020-01-12 14:00:00,1,0,0,3,0.835
h,0.201,0.75,0.201,0.75,"{'att': 402, 'def': 27}","{'att': 238, 'def': 29}",0,1,0,1,0.657,l,2020-01-26 16:00:00,0,0,1,0,-0.549
a,0.876,2.219,0.876,1.324,"{'att': 300, 'def': 24}","{'att': 194, 'def': 32}",3,5,2,3,0.349,l,2020-01-31 18:00:00,0,0,1,0,-0.447
h,2.783,3.656,2.783,3.656,"{'att': 449, 'def': 12}","{'att': 201, 'def': 35}",7,15,1,2,0.931,l,2020-02-04 20:05:00,0,0,1,0,-0.873
a,0.572,1.339,0.572,1.339,"{'att': 283, 'def': 24}","{'att': 216, 'def': 35}",3,4,3,3,0.697,d,2020-02-08 19:00:00,0,1,0,1,-0.767
h,1.127,0.297,1.127,0.297,"{'att': 241, 'def': 32}","{'att': 276, 'def': 22}",4,1,0,0,2.119,d,2020-02-15 19:00:00,0,1,0,1,0.83
a,0.721,0.804,0.721,0.804,"{'att': 390, 'def': 28}","{'att': 176, 'def': 28}",1,8,3,1,1.248,w,2020-02-22 16:30:00,1,0,0,3,-0.083
h,0.26,2.019,0.26,2.019,"{'att': 177, 'def': 21}","{'att': 210, 'def': 27}",1,4,0,1,0.212,l,2020-03-01 13:00:00,0,0,1,0,-1.759
a,1.161,0.718,1.161,0.718,"{'att': 311, 'def': 27}","{'att': 352, 'def': 22}",8,2,0,2,1.737,l,2020-03-07 18:00:00,0,0,1,0,0.443
