h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.305,3.616,0.305,2.856,"{'att': 475, 'def': 9}","{'att': 138, 'def': 34}",3,12,0,3,0.027,l,2019-08-11 20:00:00,0,0,1,0,-2.551
h,1.262,2.0,0.502,1.24,"{'att': 246, 'def': 30}","{'att': 220, 'def': 14}",9,4,1,2,0.705,l,2019-08-17 19:00:00,0,0,1,0,-0.738
a,2.241,2.401,2.241,2.401,"{'att': 214, 'def': 23}","{'att': 250, 'def': 27}",2,10,2,2,1.282,d,2019-08-25 14:00:00,0,1,0,1,-0.161
h,2.334,0.86,2.334,0.86,"{'att': 345, 'def': 22}","{'att': 152, 'def': 17}",6,4,3,0,2.39,w,2019-08-31 18:00:00,1,0,0,3,1.474
a,0.342,0.79,0.342,0.79,"{'att': 323, 'def': 27}","{'att': 172, 'def': 22}",4,3,0,0,0.826,d,2019-09-14 18:00:00,0,1,0,1,-0.448
h,1.628,0.844,1.628,0.844,"{'att': 308, 'def': 27}","{'att': 184, 'def': 15}",7,7,1,0,1.961,w,2019-09-21 18:00:00,1,0,0,3,0.784
a,0.72,0.58,0.72,0.58,"{'att': 222, 'def': 31}","{'att': 165, 'def': 23}",6,5,0,1,1.45,l,2019-09-25 17:00:00,0,0,1,0,0.14
h,1.712,0.856,1.712,0.856,"{'att': 139, 'def': 21}","{'att': 293, 'def': 20}",4,3,0,1,2.019,l,2019-09-29 15:00:00,0,0,1,0,0.855
a,1.762,2.572,1.002,2.572,"{'att': 294, 'def': 17}","{'att': 117, 'def': 21}",4,7,2,2,0.777,d,2019-10-06 14:00:00,0,1,0,1,-1.57
h,0.317,0.941,0.317,0.941,"{'att': 258, 'def': 25}","{'att': 126, 'def': 28}",4,9,1,1,0.712,d,2019-10-19 19:00:00,0,1,0,1,-0.624
a,0.409,0.328,0.409,0.328,"{'att': 215, 'def': 16}","{'att': 168, 'def': 18}",0,2,0,0,1.327,d,2019-10-26 19:00:00,0,1,0,1,0.081
a,0.729,3.344,0.729,3.344,"{'att': 248, 'def': 15}","{'att': 121, 'def': 26}",2,7,1,4,0.141,l,2019-11-09 19:00:00,0,0,1,0,-2.615
a,0.569,1.132,0.569,1.132,"{'att': 243, 'def': 20}","{'att': 393, 'def': 26}",4,5,0,1,0.858,l,2019-11-23 19:00:00,0,0,1,0,-0.563
h,0.468,0.606,0.468,0.606,"{'att': 195, 'def': 24}","{'att': 233, 'def': 24}",3,3,1,1,1.136,d,2019-11-30 19:00:00,0,1,0,1,-0.138
a,0.193,2.1,0.193,2.1,"{'att': 584, 'def': 21}","{'att': 146, 'def': 21}",3,5,0,6,0.163,l,2019-12-03 18:00:00,0,0,1,0,-1.907
h,0.456,2.68,0.456,1.92,"{'att': 298, 'def': 16}","{'att': 81, 'def': 26}",0,17,0,4,0.118,l,2019-12-06 19:45:00,0,0,1,0,-1.464
h,0.849,1.319,0.849,1.319,"{'att': 185, 'def': 28}","{'att': 211, 'def': 27}",1,2,0,1,0.939,l,2019-12-14 19:00:00,0,0,1,0,-0.47
a,1.15,1.974,1.15,1.974,"{'att': 323, 'def': 20}","{'att': 207, 'def': 19}",3,7,1,3,0.728,l,2019-12-21 19:45:00,0,0,1,0,-0.824
h,1.63,0.504,1.63,0.504,"{'att': 173, 'def': 36}","{'att': 138, 'def': 25}",3,4,2,0,2.354,w,2020-01-11 19:00:00,1,0,0,3,1.126
h,0.19,0.666,0.19,0.666,"{'att': 149, 'def': 36}","{'att': 177, 'def': 22}",4,2,0,1,0.722,l,2020-01-15 18:00:00,0,0,1,0,-0.476
a,0.69,2.135,0.69,1.375,"{'att': 213, 'def': 30}","{'att': 215, 'def': 20}",3,2,1,2,0.358,l,2020-01-25 19:00:00,0,0,1,0,-0.685
h,1.727,0.733,1.727,0.733,"{'att': 156, 'def': 27}","{'att': 177, 'def': 7}",9,2,3,1,2.128,w,2020-02-01 19:00:00,1,0,0,3,0.994
h,1.44,0.5,1.44,0.5,"{'att': 243, 'def': 55}","{'att': 86, 'def': 36}",2,8,2,0,2.185,w,2020-02-05 18:00:00,1,0,0,3,0.939
a,1.719,0.704,1.719,0.704,"{'att': 350, 'def': 31}","{'att': 208, 'def': 18}",4,9,3,1,2.209,w,2020-02-08 19:00:00,1,0,0,3,1.015
h,0.977,0.48,0.977,0.48,"{'att': 185, 'def': 23}","{'att': 190, 'def': 23}",3,4,1,0,1.796,w,2020-02-15 19:00:00,1,0,0,3,0.497
a,0.386,2.429,0.386,2.429,"{'att': 348, 'def': 22}","{'att': 199, 'def': 20}",6,8,1,2,0.184,l,2020-02-23 16:00:00,0,0,1,0,-2.043
h,2.415,1.971,2.415,1.971,"{'att': 223, 'def': 30}","{'att': 159, 'def': 20}",3,3,2,3,1.713,l,2020-02-28 19:45:00,0,0,1,0,0.444
a,1.573,1.406,1.573,1.406,"{'att': 206, 'def': 21}","{'att': 176, 'def': 28}",7,5,1,2,1.48,l,2020-03-07 18:00:00,0,0,1,0,0.167
