h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.022,0.74,2.022,0.74,"{'att': 386, 'def': 16}","{'att': 286, 'def': 13}",6,5,1,0,2.382,w,2020-08-22 15:00:00,1,0,0,3,1.282
h,0.512,2.285,0.512,2.285,"{'att': 258, 'def': 31}","{'att': 311, 'def': 39}",6,2,0,2,0.242,l,2020-08-30 13:00:00,0,0,1,0,-1.774
h,2.149,0.325,1.389,0.325,"{'att': 272, 'def': 18}","{'att': 343, 'def': 19}",2,3,1,0,2.688,w,2020-09-13 13:00:00,1,0,0,3,1.064
a,0.772,1.944,0.772,1.944,"{'att': 309, 'def': 18}","{'att': 359, 'def': 20}",5,4,1,4,0.552,l,2020-09-20 13:00:00,0,0,1,0,-1.172
h,1.118,2.364,1.118,1.604,"{'att': 255, 'def': 30}","{'att': 310, 'def': 40}",3,7,3,2,0.536,w,2020-09-27 13:00:00,1,0,0,3,-0.486
a,0.944,2.914,0.944,2.914,"{'att': 299, 'def': 9}","{'att': 322, 'def': 31}",2,15,1,6,0.288,l,2020-10-02 19:00:00,0,0,1,0,-1.971
h,1.091,1.164,0.331,1.164,"{'att': 336, 'def': 32}","{'att': 234, 'def': 23}",4,5,1,1,1.169,d,2020-10-18 13:00:00,0,1,0,1,-0.832
a,1.205,1.217,1.205,1.217,"{'att': 395, 'def': 14}","{'att': 270, 'def': 32}",4,8,2,1,1.307,w,2020-10-23 19:00:00,1,0,0,3,-0.012
h,0.395,2.78,0.395,2.02,"{'att': 306, 'def': 39}","{'att': 279, 'def': 20}",7,6,0,3,0.065,l,2020-11-01 14:00:00,0,0,1,0,-1.625
a,2.039,1.666,1.279,1.666,"{'att': 242, 'def': 16}","{'att': 134, 'def': 19}",6,5,5,1,1.638,w,2020-11-08 14:00:00,1,0,0,3,-0.387
h,0.949,1.12,0.949,1.12,"{'att': 275, 'def': 25}","{'att': 241, 'def': 24}",1,5,0,1,1.159,l,2020-11-22 16:00:00,0,0,1,0,-0.171
a,2.627,1.376,2.627,1.376,"{'att': 375, 'def': 24}","{'att': 221, 'def': 22}",6,8,3,1,2.274,w,2020-11-29 14:00:00,1,0,0,3,1.251
h,1.914,0.335,1.914,0.335,"{'att': 291, 'def': 30}","{'att': 261, 'def': 37}",6,4,2,0,2.576,w,2020-12-06 14:00:00,1,0,0,3,1.578
a,0.752,1.158,0.752,1.158,"{'att': 427, 'def': 28}","{'att': 217, 'def': 24}",3,4,0,0,1.01,d,2020-12-11 20:00:00,0,1,0,1,-0.406
h,0.215,0.511,0.215,0.511,"{'att': 234, 'def': 21}","{'att': 328, 'def': 23}",5,2,0,2,0.875,l,2020-12-16 18:00:00,0,0,1,0,-0.296
a,0.942,0.573,0.942,0.573,"{'att': 324, 'def': 35}","{'att': 184, 'def': 25}",4,9,1,1,1.659,d,2020-12-20 14:00:00,0,1,0,1,0.369
h,0.78,1.498,0.78,0.737,"{'att': 359, 'def': 21}","{'att': 109, 'def': 14}",3,2,2,1,0.671,w,2020-12-23 20:00:00,1,0,0,3,0.043
a,0.413,0.285,0.413,0.285,"{'att': 358, 'def': 17}","{'att': 133, 'def': 21}",4,6,2,1,1.37,w,2021-01-06 20:00:00,1,0,0,3,0.128
a,0.689,2.308,0.689,2.308,"{'att': 378, 'def': 22}","{'att': 289, 'def': 36}",3,4,0,3,0.305,l,2021-01-09 20:00:00,0,0,1,0,-1.619
h,0.937,1.487,0.937,1.487,"{'att': 443, 'def': 32}","{'att': 239, 'def': 21}",1,9,0,1,0.916,l,2021-01-16 20:00:00,0,0,1,0,-0.549
a,1.714,1.11,1.714,1.11,"{'att': 322, 'def': 31}","{'att': 309, 'def': 25}",7,4,1,2,1.846,l,2021-01-24 12:00:00,0,0,1,0,0.604
h,1.595,0.942,1.595,0.182,"{'att': 418, 'def': 23}","{'att': 230, 'def': 17}",5,1,3,1,1.887,w,2021-01-31 14:00:00,1,0,0,3,1.412
a,0.252,0.557,0.252,0.557,"{'att': 359, 'def': 17}","{'att': 244, 'def': 19}",0,4,0,0,0.908,d,2021-02-03 18:00:00,0,1,0,1,-0.305
a,0.62,1.309,0.62,1.309,"{'att': 328, 'def': 25}","{'att': 271, 'def': 24}",4,7,0,3,0.759,l,2021-02-07 14:00:00,0,0,1,0,-0.689
h,1.721,1.754,0.961,0.993,"{'att': 147, 'def': 23}","{'att': 330, 'def': 26}",3,4,1,3,1.332,l,2021-02-14 14:00:00,0,0,1,0,-0.033
a,0.325,1.419,0.325,1.419,"{'att': 302, 'def': 19}","{'att': 170, 'def': 35}",3,5,0,0,0.454,d,2021-02-21 14:00:00,0,1,0,1,-1.094
h,1.716,1.08,0.956,1.08,"{'att': 245, 'def': 22}","{'att': 128, 'def': 26}",2,3,2,2,1.924,d,2021-02-28 14:00:00,0,1,0,1,-0.124
a,1.07,0.689,0.31,0.689,"{'att': 398, 'def': 16}","{'att': 169, 'def': 37}",5,3,1,0,1.802,w,2021-03-03 18:00:00,1,0,0,3,-0.378
h,0.226,0.872,0.226,0.872,"{'att': 282, 'def': 25}","{'att': 311, 'def': 30}",2,2,0,1,0.598,l,2021-03-13 12:00:00,0,0,1,0,-0.646
a,0.758,0.48,0.758,0.48,"{'att': 323, 'def': 18}","{'att': 334, 'def': 39}",6,4,0,0,1.574,d,2021-03-21 14:00:00,0,1,0,1,0.278
h,0.995,1.752,0.995,1.752,"{'att': 195, 'def': 25}","{'att': 403, 'def': 25}",3,3,1,1,0.767,d,2021-04-04 11:00:00,0,1,0,1,-0.756
a,1.022,2.849,1.022,2.849,"{'att': 346, 'def': 13}","{'att': 310, 'def': 37}",5,6,0,3,0.299,l,2021-04-11 19:00:00,0,0,1,0,-1.828
h,0.453,1.423,0.453,1.423,"{'att': 417, 'def': 21}","{'att': 306, 'def': 22}",3,10,0,3,0.515,l,2021-04-17 11:00:00,0,0,1,0,-0.97
h,0.1,1.353,0.1,1.353,"{'att': 336, 'def': 20}","{'att': 207, 'def': 25}",2,5,0,1,0.28,l,2021-04-25 15:05:00,0,0,1,0,-1.253
a,0.584,2.415,0.584,1.655,"{'att': 361, 'def': 22}","{'att': 356, 'def': 20}",3,7,0,2,0.184,l,2021-05-02 13:00:00,0,0,1,0,-1.071
h,1.72,0.267,1.72,0.267,"{'att': 431, 'def': 26}","{'att': 309, 'def': 15}",7,2,3,0,2.571,w,2021-05-09 13:00:00,1,0,0,3,1.452
a,1.843,2.931,1.843,2.17,"{'att': 396, 'def': 21}","{'att': 289, 'def': 20}",3,7,2,3,0.644,l,2021-05-16 19:00:00,0,0,1,0,-0.328
h,0.737,1.562,0.737,0.802,"{'att': 343, 'def': 21}","{'att': 446, 'def': 28}",2,0,1,2,0.613,l,2021-05-23 19:00:00,0,0,1,0,-0.065
