h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,3.072,0.327,2.312,0.327,"{'att': 251, 'def': 35}","{'att': 261, 'def': 15}",2,4,3,1,2.918,w,2020-08-23 13:00:00,1,0,0,3,1.985
a,0.215,1.394,0.215,1.394,"{'att': 288, 'def': 43}","{'att': 219, 'def': 24}",1,2,0,2,0.355,l,2020-08-30 13:00:00,0,0,1,0,-1.179
h,0.92,1.987,0.16,1.227,"{'att': 228, 'def': 33}","{'att': 193, 'def': 27}",3,8,2,3,0.49,l,2020-09-13 13:00:00,0,0,1,0,-1.068
a,1.5,1.212,1.5,1.212,"{'att': 286, 'def': 19}","{'att': 225, 'def': 37}",1,10,2,3,1.604,l,2020-09-20 13:00:00,0,0,1,0,0.287
h,0.3,0.819,0.3,0.819,"{'att': 359, 'def': 20}","{'att': 185, 'def': 15}",4,11,1,1,0.781,d,2020-09-27 15:00:00,0,1,0,1,-0.519
a,0.854,1.601,0.854,0.84,"{'att': 303, 'def': 24}","{'att': 231, 'def': 25}",1,6,1,3,0.702,l,2020-10-04 13:00:00,0,0,1,0,0.013
a,2.81,0.273,2.05,0.273,"{'att': 180, 'def': 31}","{'att': 239, 'def': 25}",4,3,3,1,2.936,w,2020-10-17 15:00:00,1,0,0,3,1.777
h,0.847,0.88,0.847,0.88,"{'att': 313, 'def': 32}","{'att': 135, 'def': 28}",2,4,0,1,1.305,l,2020-10-24 15:00:00,0,0,1,0,-0.034
a,1.149,0.377,0.389,0.377,"{'att': 293, 'def': 28}","{'att': 246, 'def': 24}",3,3,0,0,2.196,d,2020-11-01 14:00:00,0,1,0,1,0.012
h,1.776,1.466,1.776,1.466,"{'att': 205, 'def': 26}","{'att': 183, 'def': 23}",3,4,0,2,1.593,l,2020-11-08 14:00:00,0,0,1,0,0.311
a,0.462,3.372,0.462,3.372,"{'att': 373, 'def': 19}","{'att': 253, 'def': 32}",2,17,0,4,0.087,l,2020-11-22 20:00:00,0,0,1,0,-2.91
h,0.343,1.471,0.343,0.711,"{'att': 301, 'def': 18}","{'att': 204, 'def': 23}",6,3,0,1,0.364,l,2020-11-29 14:00:00,0,0,1,0,-0.368
a,0.335,1.914,0.335,1.914,"{'att': 261, 'def': 37}","{'att': 291, 'def': 30}",4,6,0,2,0.271,l,2020-12-06 14:00:00,0,0,1,0,-1.578
h,2.821,0.563,2.061,0.563,"{'att': 290, 'def': 24}","{'att': 230, 'def': 31}",7,5,3,0,2.785,w,2020-12-13 14:00:00,1,0,0,3,1.498
a,1.302,2.8,1.302,2.04,"{'att': 425, 'def': 15}","{'att': 128, 'def': 40}",3,12,0,2,0.45,l,2020-12-16 20:00:00,0,0,1,0,-0.738
h,1.036,1.0,1.036,1.0,"{'att': 336, 'def': 37}","{'att': 279, 'def': 14}",3,5,0,3,1.412,l,2020-12-20 16:00:00,0,0,1,0,0.035
a,2.134,0.657,1.374,0.657,"{'att': 292, 'def': 28}","{'att': 358, 'def': 14}",11,3,2,2,2.526,d,2020-12-23 18:00:00,0,1,0,1,0.718
h,0.612,2.818,0.612,2.818,"{'att': 307, 'def': 22}","{'att': 239, 'def': 22}",2,12,2,5,0.113,l,2021-01-06 18:00:00,0,0,1,0,-2.205
a,1.067,1.612,1.067,1.612,"{'att': 289, 'def': 23}","{'att': 284, 'def': 18}",4,6,1,2,0.896,l,2021-01-09 20:00:00,0,0,1,0,-0.545
h,0.896,1.67,0.896,1.67,"{'att': 210, 'def': 31}","{'att': 154, 'def': 20}",4,7,3,2,0.698,w,2021-01-27 20:00:00,1,0,0,3,-0.774
h,1.561,2.642,1.561,1.122,"{'att': 302, 'def': 18}","{'att': 171, 'def': 31}",5,7,3,2,0.623,w,2021-01-31 14:00:00,1,0,0,3,0.439
a,0.621,1.035,0.621,1.035,"{'att': 343, 'def': 15}","{'att': 240, 'def': 26}",4,11,1,1,0.918,d,2021-02-03 18:00:00,0,1,0,1,-0.414
h,1.117,0.78,1.117,0.78,"{'att': 309, 'def': 32}","{'att': 202, 'def': 29}",4,4,1,0,1.697,w,2021-02-06 16:00:00,1,0,0,3,0.338
a,1.439,1.939,0.679,1.179,"{'att': 409, 'def': 15}","{'att': 172, 'def': 46}",1,14,2,2,0.967,d,2021-02-14 12:00:00,0,1,0,1,-0.499
h,0.232,1.047,0.232,1.047,"{'att': 339, 'def': 21}","{'att': 287, 'def': 26}",0,3,1,4,0.584,l,2021-02-21 16:00:00,0,0,1,0,-0.815
a,0.394,0.915,0.394,0.155,"{'att': 260, 'def': 32}","{'att': 280, 'def': 23}",4,4,0,1,0.642,l,2021-02-24 20:00:00,0,0,1,0,0.24
h,0.859,1.019,0.859,1.019,"{'att': 242, 'def': 27}","{'att': 298, 'def': 21}",4,2,2,1,1.176,w,2021-02-28 14:00:00,1,0,0,3,-0.16
a,2.052,0.646,1.292,0.646,"{'att': 298, 'def': 23}","{'att': 267, 'def': 28}",6,3,1,1,2.454,d,2021-03-03 20:00:00,0,1,0,1,0.646
