h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.534,1.121,1.534,1.121,"{'att': 289, 'def': 48}","{'att': 347, 'def': 18}",6,3,1,1,1.704,d,2023-08-12 18:00:00,0,1,0,1,0.413
h,3.239,1.272,3.239,1.272,"{'att': 178, 'def': 17}","{'att': 227, 'def': 16}",16,9,2,0,2.61,w,2023-08-20 11:00:00,1,0,0,3,1.967
a,1.451,1.745,1.451,1.745,"{'att': 190, 'def': 29}","{'att': 269, 'def': 27}",13,5,1,4,1.132,l,2023-08-27 15:05:00,0,0,1,0,-0.294
h,1.339,0.793,1.339,0.793,"{'att': 186, 'def': 21}","{'att': 314, 'def': 24}",8,2,1,0,1.784,w,2023-09-03 13:00:00,1,0,0,3,0.546
a,1.609,0.428,1.609,0.428,"{'att': 328, 'def': 37}","{'att': 386, 'def': 22}",6,3,2,2,2.413,d,2023-09-16 15:00:00,0,1,0,1,1.181
h,1.418,1.218,1.418,1.218,"{'att': 167, 'def': 14}","{'att': 411, 'def': 21}",11,4,1,2,1.474,l,2023-09-26 19:00:00,0,0,1,0,0.199
a,1.387,1.058,1.387,1.058,"{'att': 278, 'def': 21}","{'att': 449, 'def': 32}",7,4,2,0,1.608,w,2023-10-01 13:00:00,1,0,0,3,0.329
a,1.343,2.584,1.343,2.584,"{'att': 212, 'def': 24}","{'att': 311, 'def': 26}",4,12,1,1,0.591,d,2023-10-08 15:05:00,0,1,0,1,-1.241
h,2.192,0.625,2.192,0.625,"{'att': 287, 'def': 40}","{'att': 192, 'def': 34}",5,4,1,0,2.568,w,2023-10-22 13:00:00,1,0,0,3,1.566
h,0.668,0.902,0.668,0.902,"{'att': 275, 'def': 18}","{'att': 186, 'def': 24}",4,9,2,0,1.11,w,2023-10-29 14:00:00,1,0,0,3,-0.234
a,0.326,0.752,0.326,0.752,"{'att': 265, 'def': 18}","{'att': 348, 'def': 22}",5,6,0,0,0.812,d,2023-11-04 20:00:00,0,1,0,1,-0.426
h,2.69,0.417,2.69,0.417,"{'att': 215, 'def': 23}","{'att': 320, 'def': 27}",6,1,1,1,2.903,d,2023-11-12 14:00:00,0,1,0,1,2.273
