h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.562,4.68,0.562,4.68,"{'att': 421, 'def': 21}","{'att': 171, 'def': 22}",2,15,1,5,0.013,l,2023-08-13 15:05:00,0,0,1,0,-4.118
h,0.361,1.493,0.361,1.493,"{'att': 220, 'def': 26}","{'att': 191, 'def': 18}",3,4,2,2,0.444,d,2023-08-18 19:00:00,0,1,0,1,-1.133
a,0.791,0.541,0.791,0.541,"{'att': 399, 'def': 17}","{'att': 148, 'def': 34}",2,5,1,0,1.583,w,2023-08-27 13:00:00,1,0,0,3,0.251
h,1.148,0.859,1.148,0.859,"{'att': 294, 'def': 12}","{'att': 163, 'def': 31}",3,13,2,2,1.574,d,2023-09-03 13:00:00,0,1,0,1,0.288
a,0.63,1.612,0.63,1.612,"{'att': 299, 'def': 13}","{'att': 100, 'def': 22}",2,14,1,0,0.636,w,2023-09-16 19:00:00,1,0,0,3,-0.982
h,1.038,0.456,1.038,0.456,"{'att': 278, 'def': 28}","{'att': 315, 'def': 25}",2,3,0,1,1.891,l,2023-09-24 11:00:00,0,0,1,0,0.582
a,0.599,2.34,0.599,2.34,"{'att': 379, 'def': 18}","{'att': 145, 'def': 20}",4,14,0,3,0.246,l,2023-10-01 13:00:00,0,0,1,0,-1.741
h,0.264,1.515,0.264,1.515,"{'att': 616, 'def': 26}","{'att': 223, 'def': 33}",3,6,0,1,0.278,l,2023-10-07 15:00:00,0,0,1,0,-1.252
a,0.721,1.973,0.721,1.973,"{'att': 289, 'def': 12}","{'att': 101, 'def': 30}",3,15,1,2,0.513,l,2023-10-22 15:05:00,0,0,1,0,-1.253
h,0.47,0.89,0.47,0.89,"{'att': 283, 'def': 23}","{'att': 202, 'def': 26}",3,6,0,0,0.893,d,2023-10-29 14:00:00,0,1,0,1,-0.421
a,0.667,1.848,0.667,1.848,"{'att': 346, 'def': 26}","{'att': 189, 'def': 31}",1,8,1,1,0.451,d,2023-11-05 12:00:00,0,1,0,1,-1.181
h,0.941,1.754,0.941,1.754,"{'att': 398, 'def': 15}","{'att': 164, 'def': 18}",4,7,3,1,0.787,w,2023-11-12 14:00:00,1,0,0,3,-0.813
