h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.735,0.384,1.735,0.384,"{'att': 292, 'def': 24}","{'att': 248, 'def': 27}",9,3,1,0,2.425,w,2016-08-21 22:45:00,1,0,0,3,1.351
a,0.532,4.229,0.532,3.454,"{'att': 221, 'def': 23}","{'att': 271, 'def': 30}",4,9,1,5,0.031,l,2016-08-28 22:45:00,0,0,1,0,-2.922
h,1.755,0.916,1.755,0.916,"{'att': 301, 'def': 25}","{'att': 236, 'def': 20}",5,3,2,1,2.065,w,2016-09-11 14:30:00,1,0,0,3,0.839
a,0.313,1.477,0.313,1.477,"{'att': 452, 'def': 15}","{'att': 279, 'def': 28}",4,5,1,3,0.445,l,2016-09-17 22:45:00,0,0,1,0,-1.164
h,1.044,0.903,1.044,0.903,"{'att': 340, 'def': 46}","{'att': 217, 'def': 30}",3,1,2,0,1.445,w,2016-09-21 20:30:00,1,0,0,3,0.141
a,0.551,1.372,0.551,1.372,"{'att': 318, 'def': 22}","{'att': 199, 'def': 38}",4,8,1,1,0.68,d,2016-09-25 17:00:00,0,1,0,1,-0.82
h,0.158,1.197,0.158,1.197,"{'att': 259, 'def': 20}","{'att': 194, 'def': 36}",1,10,0,1,0.341,l,2016-10-02 17:00:00,0,0,1,0,-1.039
a,1.041,2.918,1.041,2.157,"{'att': 273, 'def': 19}","{'att': 177, 'def': 32}",3,14,1,1,0.305,d,2016-10-16 17:00:00,0,1,0,1,-1.116
h,1.399,0.639,1.399,0.639,"{'att': 267, 'def': 31}","{'att': 283, 'def': 26}",9,5,1,1,2.021,d,2016-10-23 20:00:00,0,1,0,1,0.761
a,0.201,1.01,0.201,1.01,"{'att': 328, 'def': 32}","{'att': 233, 'def': 28}",2,8,1,1,0.511,d,2016-10-26 22:45:00,0,1,0,1,-0.809
h,0.226,1.713,0.226,0.952,"{'att': 414, 'def': 23}","{'att': 277, 'def': 38}",0,8,0,1,0.222,l,2016-10-29 20:00:00,0,0,1,0,-0.726
a,0.787,3.451,0.787,3.451,"{'att': 301, 'def': 17}","{'att': 224, 'def': 33}",6,17,0,3,0.148,l,2016-11-06 23:45:00,0,0,1,0,-2.664
h,0.605,1.367,0.605,1.367,"{'att': 267, 'def': 24}","{'att': 235, 'def': 26}",5,1,3,1,0.651,w,2016-11-20 18:00:00,1,0,0,3,-0.762
h,0.272,1.318,0.272,1.318,"{'att': 236, 'def': 19}","{'att': 263, 'def': 18}",1,4,0,2,0.446,l,2016-11-27 18:00:00,0,0,1,0,-1.046
a,0.595,1.303,0.595,1.303,"{'att': 324, 'def': 24}","{'att': 291, 'def': 30}",2,12,0,1,0.768,l,2016-12-06 00:00:00,0,0,1,0,-0.707
h,1.358,0.1,1.358,0.1,"{'att': 249, 'def': 46}","{'att': 225, 'def': 22}",5,0,0,0,2.44,d,2016-12-11 18:00:00,0,1,0,1,1.258
a,3.148,0.264,2.387,0.264,"{'att': 172, 'def': 26}","{'att': 452, 'def': 20}",7,1,3,0,2.922,w,2016-12-18 18:00:00,1,0,0,3,2.123
a,0.233,2.031,0.233,1.27,"{'att': 371, 'def': 31}","{'att': 288, 'def': 26}",2,10,0,3,0.146,l,2017-01-08 23:45:00,0,0,1,0,-1.037
a,1.049,0.977,1.049,0.977,"{'att': 185, 'def': 12}","{'att': 235, 'def': 23}",9,8,1,0,1.404,w,2017-01-14 21:00:00,1,0,0,3,0.072
