h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.913,1.527,0.913,1.527,"{'att': 283, 'def': 20}","{'att': 112, 'def': 37}",3,9,1,3,0.9,l,2016-08-21 22:45:00,0,0,1,0,-0.614
h,1.764,2.925,1.764,2.164,"{'att': 247, 'def': 35}","{'att': 240, 'def': 15}",9,10,2,2,0.66,d,2016-08-28 22:45:00,0,1,0,1,-0.4
a,0.916,1.755,0.916,1.755,"{'att': 236, 'def': 20}","{'att': 301, 'def': 25}",3,5,1,2,0.687,l,2016-09-11 14:30:00,0,0,1,0,-0.839
h,1.039,1.02,1.039,0.259,"{'att': 254, 'def': 25}","{'att': 177, 'def': 32}",3,4,3,0,1.261,w,2016-09-18 17:00:00,1,0,0,3,0.78
a,0.071,3.233,0.071,3.233,"{'att': 360, 'def': 22}","{'att': 244, 'def': 36}",1,9,0,4,0.025,l,2016-09-21 22:45:00,0,0,1,0,-3.162
h,1.336,1.131,1.336,1.131,"{'att': 235, 'def': 39}","{'att': 154, 'def': 40}",4,4,2,1,1.547,w,2016-09-26 23:00:00,1,0,0,3,0.205
h,0.587,1.254,0.587,1.254,"{'att': 186, 'def': 21}","{'att': 249, 'def': 26}",2,3,2,1,0.788,w,2016-10-02 17:00:00,1,0,0,3,-0.668
a,1.458,2.616,1.458,1.855,"{'att': 291, 'def': 21}","{'att': 166, 'def': 20}",1,10,2,1,0.546,w,2016-10-16 17:00:00,1,0,0,3,-0.397
h,1.3,2.22,1.3,2.22,"{'att': 388, 'def': 27}","{'att': 186, 'def': 16}",3,7,3,5,0.736,l,2016-10-23 17:00:00,0,0,1,0,-0.92
a,1.28,3.413,0.519,2.652,"{'att': 270, 'def': 15}","{'att': 216, 'def': 19}",6,10,1,4,0.26,l,2016-10-26 22:45:00,0,0,1,0,-2.132
h,0.672,0.701,0.672,0.701,"{'att': 292, 'def': 42}","{'att': 163, 'def': 24}",5,4,2,1,1.291,w,2016-11-01 00:00:00,1,0,0,3,-0.029
a,0.467,2.842,0.467,2.08,"{'att': 419, 'def': 15}","{'att': 251, 'def': 33}",1,2,1,5,0.123,l,2016-11-05 21:00:00,0,0,1,0,-1.613
a,0.32,1.207,0.32,1.207,"{'att': 251, 'def': 33}","{'att': 198, 'def': 26}",8,8,0,1,0.539,l,2016-11-19 18:00:00,0,0,1,0,-0.887
h,2.055,0.92,1.294,0.92,"{'att': 241, 'def': 29}","{'att': 207, 'def': 31}",7,5,2,1,2.316,w,2016-11-27 18:00:00,1,0,0,3,0.374
a,0.351,1.433,0.351,1.433,"{'att': 230, 'def': 21}","{'att': 165, 'def': 30}",1,12,1,1,0.459,d,2016-12-04 18:00:00,0,1,0,1,-1.082
h,0.215,3.822,0.215,3.822,"{'att': 452, 'def': 20}","{'att': 171, 'def': 18}",2,11,0,5,0.022,l,2016-12-11 15:30:00,0,0,1,0,-3.607
a,1.435,0.785,0.664,0.785,"{'att': 195, 'def': 28}","{'att': 291, 'def': 34}",6,3,0,2,1.988,l,2016-12-17 18:00:00,0,0,1,0,-0.121
h,2.183,1.429,2.183,0.667,"{'att': 144, 'def': 17}","{'att': 338, 'def': 24}",11,2,4,3,2.04,w,2016-12-22 23:45:00,1,0,0,3,1.515
a,0.377,1.574,0.377,1.574,"{'att': 273, 'def': 17}","{'att': 244, 'def': 41}",3,5,0,1,0.444,l,2017-01-08 21:00:00,0,0,1,0,-1.196
h,2.736,1.117,1.975,1.117,"{'att': 241, 'def': 15}","{'att': 213, 'def': 29}",4,6,4,1,2.463,w,2017-01-15 15:30:00,1,0,0,3,0.857
a,0.369,2.108,0.369,2.108,"{'att': 277, 'def': 24}","{'att': 237, 'def': 26}",5,7,0,1,0.226,l,2017-01-22 22:45:00,0,0,1,0,-1.739
h,0.931,1.044,0.931,1.044,"{'att': 285, 'def': 33}","{'att': 294, 'def': 27}",5,6,1,1,1.174,d,2017-01-29 17:00:00,0,1,0,1,-0.112
a,0.144,1.756,0.144,1.756,"{'att': 285, 'def': 34}","{'att': 223, 'def': 38}",3,3,0,2,0.186,l,2017-02-05 14:00:00,0,0,1,0,-1.612
h,0.445,1.682,0.445,1.682,"{'att': 383, 'def': 30}","{'att': 203, 'def': 28}",3,4,0,2,0.43,l,2017-02-12 19:45:00,0,0,1,0,-1.237
a,0.851,1.136,0.851,1.136,"{'att': 210, 'def': 23}","{'att': 127, 'def': 35}",6,7,1,1,1.064,d,2017-02-19 14:00:00,0,1,0,1,-0.285
a,0.814,1.072,0.814,1.072,"{'att': 223, 'def': 15}","{'att': 205, 'def': 24}",2,4,2,1,1.104,w,2017-02-26 14:00:00,1,0,0,3,-0.258
h,0.953,2.294,0.953,1.533,"{'att': 283, 'def': 21}","{'att': 171, 'def': 29}",4,13,1,5,0.478,l,2017-03-05 14:00:00,0,0,1,0,-0.58
a,1.874,2.156,1.874,2.156,"{'att': 321, 'def': 15}","{'att': 151, 'def': 20}",5,7,0,1,1.191,l,2017-03-12 14:00:00,0,0,1,0,-0.281
h,0.139,0.886,0.139,0.886,"{'att': 257, 'def': 30}","{'att': 191, 'def': 29}",4,9,0,0,0.543,d,2017-03-19 14:00:00,0,1,0,1,-0.747
a,1.593,1.475,1.593,1.475,"{'att': 217, 'def': 26}","{'att': 206, 'def': 27}",6,6,3,1,1.422,w,2017-04-02 14:00:00,1,0,0,3,0.117
h,1.53,1.813,0.769,1.813,"{'att': 309, 'def': 40}","{'att': 156, 'def': 21}",4,8,2,3,1.147,l,2017-04-09 14:00:00,0,0,1,0,-1.044
h,2.851,1.395,2.851,1.395,"{'att': 228, 'def': 27}","{'att': 268, 'def': 19}",8,9,4,0,2.331,w,2017-04-15 14:00:00,1,0,0,3,1.456
a,1.088,2.591,1.088,1.768,"{'att': 206, 'def': 19}","{'att': 329, 'def': 25}",5,6,1,2,0.387,l,2017-04-23 14:00:00,0,0,1,0,-0.68
h,1.391,1.124,0.63,1.124,"{'att': 211, 'def': 31}","{'att': 287, 'def': 31}",8,13,1,0,1.612,w,2017-04-30 14:00:00,1,0,0,3,-0.494
a,0.588,2.697,0.588,2.697,"{'att': 508, 'def': 11}","{'att': 210, 'def': 21}",2,9,1,3,0.232,l,2017-05-06 17:00:00,0,0,1,0,-2.109
h,2.545,1.766,2.545,1.005,"{'att': 250, 'def': 23}","{'att': 261, 'def': 37}",12,5,3,2,1.949,w,2017-05-14 14:00:00,1,0,0,3,1.54
a,0.507,1.953,0.507,1.192,"{'att': 247, 'def': 29}","{'att': 215, 'def': 36}",7,13,2,6,0.305,l,2017-05-21 14:00:00,0,0,1,0,-0.685
h,2.337,2.443,2.337,0.92,"{'att': 267, 'def': 19}","{'att': 161, 'def': 29}",5,9,2,1,1.29,w,2017-05-28 14:00:00,1,0,0,3,1.417
