h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.017,0.778,1.017,0.778,"{'att': 167, 'def': 25}","{'att': 391, 'def': 35}",4,4,0,2,1.552,l,2016-08-21 22:45:00,0,0,1,0,0.239
h,1.944,0.544,1.944,0.544,"{'att': 122, 'def': 28}","{'att': 354, 'def': 32}",7,1,1,1,2.409,d,2016-08-28 20:00:00,0,1,0,1,1.4
a,1.703,1.526,1.703,1.526,"{'att': 218, 'def': 35}","{'att': 332, 'def': 25}",8,3,2,1,1.479,w,2016-09-11 22:45:00,1,0,0,3,0.177
h,0.747,1.242,0.747,1.242,"{'att': 268, 'def': 20}","{'att': 210, 'def': 24}",8,3,2,1,0.872,w,2016-09-18 20:00:00,1,0,0,3,-0.495
a,1.895,0.437,1.895,0.437,"{'att': 313, 'def': 29}","{'att': 249, 'def': 26}",5,4,2,0,2.5,w,2016-09-21 22:45:00,1,0,0,3,1.458
h,1.372,0.551,1.372,0.551,"{'att': 199, 'def': 38}","{'att': 318, 'def': 22}",8,4,1,1,2.037,d,2016-09-25 17:00:00,0,1,0,1,0.82
a,1.175,2.395,1.175,2.395,"{'att': 168, 'def': 21}","{'att': 295, 'def': 18}",7,3,1,2,0.604,l,2016-10-02 22:45:00,0,0,1,0,-1.22
h,2.616,1.458,1.855,1.458,"{'att': 166, 'def': 20}","{'att': 291, 'def': 21}",10,1,1,2,2.263,l,2016-10-16 17:00:00,0,0,1,0,0.397
a,0.236,2.391,0.236,1.63,"{'att': 248, 'def': 27}","{'att': 279, 'def': 33}",2,5,1,2,0.069,l,2016-10-23 17:00:00,0,0,1,0,-1.394
h,2.398,0.548,2.398,0.548,"{'att': 301, 'def': 31}","{'att': 257, 'def': 22}",12,3,2,1,2.687,w,2016-10-26 22:45:00,1,0,0,3,1.851
a,2.472,0.822,2.472,0.822,"{'att': 250, 'def': 21}","{'att': 285, 'def': 33}",5,4,0,1,2.52,l,2016-10-30 23:45:00,0,0,1,0,1.65
h,2.497,0.249,1.736,0.249,"{'att': 95, 'def': 33}","{'att': 336, 'def': 11}",4,1,3,0,2.832,w,2016-11-06 21:00:00,1,0,0,3,1.487
a,1.599,0.652,1.599,0.652,"{'att': 162, 'def': 36}","{'att': 273, 'def': 30}",10,1,2,2,2.133,d,2016-11-20 23:45:00,0,1,0,1,0.947
h,3.583,0.819,3.583,0.819,"{'att': 301, 'def': 43}","{'att': 187, 'def': 29}",12,4,4,2,2.815,w,2016-11-29 00:00:00,1,0,0,3,2.764
a,1.121,1.769,1.121,1.769,"{'att': 374, 'def': 37}","{'att': 305, 'def': 22}",5,9,0,3,0.902,l,2016-12-02 23:45:00,0,0,1,0,-0.648
h,0.849,1.015,0.849,1.015,"{'att': 263, 'def': 27}","{'att': 250, 'def': 19}",2,3,2,0,1.198,w,2016-12-11 23:45:00,1,0,0,3,-0.166
a,2.313,0.574,2.313,0.574,"{'att': 191, 'def': 34}","{'att': 254, 'def': 21}",8,8,1,0,2.556,w,2016-12-18 15:30:00,1,0,0,3,1.739
h,1.031,0.558,1.031,0.558,"{'att': 238, 'def': 48}","{'att': 216, 'def': 22}",6,5,3,0,1.756,w,2016-12-21 19:45:00,1,0,0,3,0.473
a,1.265,1.33,1.265,1.33,"{'att': 147, 'def': 34}","{'att': 314, 'def': 25}",4,5,2,1,1.313,w,2017-01-08 15:30:00,1,0,0,3,-0.065
h,2.958,0.34,2.958,0.34,"{'att': 168, 'def': 36}","{'att': 261, 'def': 17}",15,2,3,1,2.844,w,2017-01-14 23:45:00,1,0,0,3,2.618
a,1.838,0.293,1.838,0.293,"{'att': 162, 'def': 28}","{'att': 238, 'def': 28}",12,1,1,0,2.598,w,2017-01-22 14:00:00,1,0,0,3,1.545
h,3.127,0.538,3.127,0.538,"{'att': 221, 'def': 35}","{'att': 288, 'def': 22}",8,1,3,0,2.882,w,2017-01-28 22:45:00,1,0,0,3,2.589
a,0.759,1.076,0.759,1.076,"{'att': 232, 'def': 28}","{'att': 275, 'def': 25}",2,6,0,1,1.044,l,2017-02-05 19:45:00,0,0,1,0,-0.317
h,3.086,0.436,3.086,0.436,"{'att': 275, 'def': 34}","{'att': 225, 'def': 22}",14,4,2,0,2.896,w,2017-02-12 14:00:00,1,0,0,3,2.65
a,2.146,0.774,2.146,0.774,"{'att': 184, 'def': 35}","{'att': 228, 'def': 34}",3,7,1,0,2.514,w,2017-02-19 11:30:00,1,0,0,3,1.373
h,1.344,1.533,1.344,0.772,"{'att': 199, 'def': 21}","{'att': 212, 'def': 32}",8,5,1,3,1.141,l,2017-02-26 19:45:00,0,0,1,0,0.572
a,2.294,0.953,1.533,0.953,"{'att': 171, 'def': 29}","{'att': 283, 'def': 21}",13,4,5,1,2.337,w,2017-03-05 14:00:00,1,0,0,3,0.58
h,2.838,0.822,2.076,0.822,"{'att': 216, 'def': 20}","{'att': 225, 'def': 24}",7,4,7,1,2.685,w,2017-03-12 14:00:00,1,0,0,3,1.254
a,1.752,1.121,1.752,1.121,"{'att': 180, 'def': 25}","{'att': 229, 'def': 33}",14,4,2,2,1.851,d,2017-03-18 17:00:00,0,1,0,1,0.63
h,1.855,2.389,1.855,1.628,"{'att': 254, 'def': 23}","{'att': 218, 'def': 30}",6,2,1,2,0.907,l,2017-04-03 19:45:00,0,0,1,0,0.227
a,1.906,2.015,1.906,1.254,"{'att': 83, 'def': 20}","{'att': 320, 'def': 24}",5,4,1,2,1.282,l,2017-04-09 14:00:00,0,0,1,0,0.652
h,1.516,1.649,1.516,1.649,"{'att': 318, 'def': 28}","{'att': 166, 'def': 27}",7,7,2,2,1.26,d,2017-04-15 11:30:00,0,1,0,1,-0.133
a,1.585,2.334,1.585,1.572,"{'att': 322, 'def': 21}","{'att': 302, 'def': 23}",3,7,4,5,0.825,l,2017-04-22 19:45:00,0,0,1,0,0.012
h,0.381,1.585,0.381,1.585,"{'att': 307, 'def': 21}","{'att': 293, 'def': 21}",2,8,0,1,0.438,l,2017-04-30 19:45:00,0,0,1,0,-1.205
a,1.338,1.258,0.577,1.258,"{'att': 177, 'def': 33}","{'att': 340, 'def': 17}",2,6,0,1,1.432,l,2017-05-07 14:00:00,0,0,1,0,-0.681
h,1.174,2.164,1.174,2.164,"{'att': 138, 'def': 23}","{'att': 238, 'def': 23}",10,6,1,2,0.63,l,2017-05-14 11:30:00,0,0,1,0,-0.99
a,1.589,1.148,1.589,0.387,"{'att': 296, 'def': 23}","{'att': 269, 'def': 24}",9,5,3,1,1.739,w,2017-05-21 19:45:00,1,0,0,3,1.202
h,3.444,2.69,3.444,2.69,"{'att': 247, 'def': 23}","{'att': 379, 'def': 12}",10,8,5,2,1.848,w,2017-05-28 19:45:00,1,0,0,3,0.755
