h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.483,0.362,1.483,0.362,"{'att': 169, 'def': 29}","{'att': 241, 'def': 26}",4,5,0,1,2.391,l,2017-08-20 17:00:00,0,0,1,0,1.121
a,0.633,1.154,0.633,1.154,"{'att': 320, 'def': 30}","{'att': 234, 'def': 32}",3,10,1,3,0.848,l,2017-08-27 19:45:00,0,0,1,0,-0.52
h,0.615,1.288,0.615,1.288,"{'att': 197, 'def': 25}","{'att': 181, 'def': 30}",9,9,2,1,0.781,w,2017-09-10 14:00:00,1,0,0,3,-0.673
a,1.611,1.23,0.85,1.23,"{'att': 168, 'def': 21}","{'att': 398, 'def': 26}",10,3,1,1,1.683,d,2017-09-17 17:00:00,0,1,0,1,-0.381
h,2.786,0.334,2.024,0.334,"{'att': 283, 'def': 21}","{'att': 420, 'def': 23}",6,5,5,1,2.856,w,2017-09-20 19:45:00,1,0,0,3,1.691
a,2.534,0.346,1.773,0.346,"{'att': 144, 'def': 24}","{'att': 257, 'def': 27}",5,6,1,1,2.806,d,2017-09-24 19:45:00,0,1,0,1,1.427
h,1.36,3.154,1.36,2.392,"{'att': 340, 'def': 35}","{'att': 215, 'def': 34}",1,4,2,2,0.262,d,2017-10-01 19:45:00,0,1,0,1,-1.033
a,3.124,1.522,3.124,1.522,"{'att': 254, 'def': 25}","{'att': 273, 'def': 26}",18,7,1,3,2.35,l,2017-10-15 14:00:00,0,0,1,0,1.603
h,1.952,0.243,1.952,0.243,"{'att': 171, 'def': 26}","{'att': 334, 'def': 13}",9,3,1,0,2.654,w,2017-10-22 14:00:00,1,0,0,3,1.709
h,2.214,1.414,2.214,1.414,"{'att': 243, 'def': 31}","{'att': 341, 'def': 24}",17,2,3,0,1.909,w,2017-10-25 17:30:00,1,0,0,3,0.8
a,1.365,1.362,0.603,0.601,"{'att': 132, 'def': 25}","{'att': 344, 'def': 20}",7,2,1,2,1.326,l,2017-10-29 14:00:00,0,0,1,0,0.002
h,0.824,0.898,0.824,0.898,"{'att': 198, 'def': 10}","{'att': 280, 'def': 25}",5,4,1,1,1.249,d,2017-11-05 17:00:00,0,1,0,1,-0.074
a,0.357,1.135,0.357,1.135,"{'att': 350, 'def': 31}","{'att': 309, 'def': 33}",3,2,0,2,0.612,l,2017-11-19 19:45:00,0,0,1,0,-0.777
h,1.561,0.501,1.561,0.501,"{'att': 112, 'def': 23}","{'att': 258, 'def': 16}",16,2,1,0,2.225,w,2017-11-27 19:45:00,1,0,0,3,1.059
a,1.039,0.854,1.039,0.854,"{'att': 245, 'def': 27}","{'att': 175, 'def': 28}",6,5,1,1,1.5,d,2017-12-02 19:45:00,0,1,0,1,0.184
a,1.374,1.301,1.374,1.301,"{'att': 200, 'def': 24}","{'att': 243, 'def': 30}",13,7,2,1,1.422,w,2017-12-12 18:00:00,1,0,0,3,0.072
h,2.43,1.056,1.669,1.056,"{'att': 271, 'def': 24}","{'att': 249, 'def': 30}",9,11,3,3,2.393,d,2017-12-17 19:45:00,0,1,0,1,0.613
a,2.003,1.008,2.003,1.008,"{'att': 312, 'def': 22}","{'att': 253, 'def': 26}",6,8,2,0,2.21,w,2017-12-23 17:00:00,1,0,0,3,0.994
h,2.002,0.893,2.002,0.893,"{'att': 140, 'def': 21}","{'att': 284, 'def': 23}",26,5,1,2,2.17,l,2017-12-30 14:00:00,0,0,1,0,1.11
a,0.809,1.192,0.809,1.192,"{'att': 310, 'def': 14}","{'att': 133, 'def': 21}",3,9,2,1,1.013,w,2018-01-06 17:00:00,1,0,0,3,-0.383
h,0.439,1.114,0.439,1.114,"{'att': 291, 'def': 22}","{'att': 262, 'def': 38}",5,7,0,1,0.717,l,2018-01-21 11:30:00,0,0,1,0,-0.675
a,2.23,0.945,2.23,0.945,"{'att': 182, 'def': 22}","{'att': 298, 'def': 23}",15,5,3,0,2.325,w,2018-01-28 14:00:00,1,0,0,3,1.286
h,2.434,0.2,2.434,0.2,"{'att': 164, 'def': 24}","{'att': 278, 'def': 30}",9,3,1,0,2.856,w,2018-02-04 14:00:00,1,0,0,3,2.234
a,1.378,0.847,1.378,0.847,"{'att': 103, 'def': 25}","{'att': 214, 'def': 28}",4,4,1,1,1.848,d,2018-02-10 17:00:00,0,1,0,1,0.53
h,0.397,1.464,0.397,1.464,"{'att': 212, 'def': 26}","{'att': 262, 'def': 33}",10,3,1,1,0.495,d,2018-02-18 17:00:00,0,1,0,1,-1.067
a,1.054,0.456,1.054,0.456,"{'att': 178, 'def': 29}","{'att': 283, 'def': 23}",16,0,1,0,1.851,w,2018-03-11 14:00:00,1,0,0,3,0.598
a,0.337,1.668,0.337,1.668,"{'att': 363, 'def': 38}","{'att': 249, 'def': 14}",6,8,0,2,0.374,l,2018-03-14 17:00:00,0,0,1,0,-1.331
a,3.382,0.3,2.621,0.3,"{'att': 211, 'def': 23}","{'att': 350, 'def': 19}",12,2,5,0,2.944,w,2018-03-18 14:00:00,1,0,0,3,2.321
h,2.663,0.404,2.663,0.404,"{'att': 179, 'def': 22}","{'att': 361, 'def': 20}",15,1,2,0,2.753,w,2018-03-31 14:00:00,1,0,0,3,2.26
h,1.271,1.309,1.271,1.309,"{'att': 172, 'def': 27}","{'att': 286, 'def': 29}",6,5,1,2,1.306,l,2018-04-03 17:30:00,0,0,1,0,-0.038
a,1.449,0.593,0.688,0.593,"{'att': 167, 'def': 39}","{'att': 224, 'def': 22}",10,2,1,1,2.124,d,2018-04-07 16:00:00,0,1,0,1,0.095
h,1.27,1.057,1.27,1.057,"{'att': 328, 'def': 30}","{'att': 237, 'def': 14}",8,4,0,0,1.539,d,2018-04-14 18:45:00,0,1,0,1,0.213
a,3.744,0.744,2.983,0.744,"{'att': 279, 'def': 39}","{'att': 182, 'def': 20}",10,2,3,0,2.886,w,2018-04-18 16:00:00,1,0,0,3,2.239
h,2.308,0.589,2.308,0.589,"{'att': 192, 'def': 33}","{'att': 177, 'def': 22}",8,5,2,1,2.586,w,2018-04-22 13:00:00,1,0,0,3,1.719
h,1.56,1.148,1.56,1.148,"{'att': 329, 'def': 29}","{'att': 309, 'def': 16}",6,5,3,1,1.659,w,2018-04-29 13:00:00,1,0,0,3,0.413
a,2.956,1.525,2.956,1.525,"{'att': 210, 'def': 24}","{'att': 336, 'def': 29}",13,6,1,1,2.341,d,2018-05-06 14:00:00,0,1,0,1,1.431
h,2.089,0.161,2.089,0.161,"{'att': 252, 'def': 33}","{'att': 196, 'def': 17}",12,1,1,1,2.749,d,2018-05-13 17:00:00,0,1,0,1,1.927
a,1.257,0.734,0.496,0.734,"{'att': 110, 'def': 11}","{'att': 305, 'def': 16}",6,7,0,1,1.864,l,2018-05-20 14:00:00,0,0,1,0,-0.239
