h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.758,0.626,0.758,0.626,"{'att': 270, 'def': 39}","{'att': 251, 'def': 11}",6,2,0,0,1.428,d,2017-08-20 19:45:00,0,1,0,1,0.132
a,1.366,0.772,1.366,0.772,"{'att': 262, 'def': 19}","{'att': 267, 'def': 26}",7,10,2,1,1.894,w,2017-08-27 19:45:00,1,0,0,3,0.594
h,2.36,1.206,1.598,1.206,"{'att': 320, 'def': 20}","{'att': 243, 'def': 18}",10,6,4,1,2.229,w,2017-09-10 15:00:00,1,0,0,3,0.393
a,3.113,0.549,3.113,0.549,"{'att': 268, 'def': 24}","{'att': 334, 'def': 29}",8,3,3,2,2.871,w,2017-09-17 19:45:00,1,0,0,3,2.565
h,0.282,2.65,0.282,1.889,"{'att': 516, 'def': 11}","{'att': 308, 'def': 34}",3,8,1,4,0.066,l,2017-09-20 19:45:00,0,0,1,0,-1.607
a,2.16,0.35,1.398,0.35,"{'att': 246, 'def': 23}","{'att': 363, 'def': 32}",8,6,3,0,2.705,w,2017-09-24 14:00:00,1,0,0,3,1.049
h,4.081,1.721,3.32,0.959,"{'att': 277, 'def': 24}","{'att': 292, 'def': 13}",8,4,6,1,2.683,w,2017-10-01 14:00:00,1,0,0,3,2.361
a,1.681,2.328,0.92,1.566,"{'att': 319, 'def': 22}","{'att': 260, 'def': 29}",4,8,2,1,0.859,w,2017-10-14 17:00:00,1,0,0,3,-0.646
h,2.066,0.637,1.305,0.637,"{'att': 297, 'def': 16}","{'att': 331, 'def': 24}",4,3,3,0,2.472,w,2017-10-22 19:45:00,1,0,0,3,0.668
a,2.737,0.888,1.976,0.888,"{'att': 303, 'def': 25}","{'att': 363, 'def': 31}",5,4,2,1,2.623,w,2017-10-25 19:45:00,1,0,0,3,1.088
a,2.924,0.603,2.924,0.603,"{'att': 309, 'def': 23}","{'att': 338, 'def': 17}",11,3,5,1,2.83,w,2017-10-29 11:30:00,1,0,0,3,2.321
a,1.189,1.567,0.428,0.806,"{'att': 209, 'def': 22}","{'att': 213, 'def': 22}",7,3,1,2,1.003,l,2017-11-18 17:00:00,0,0,1,0,-0.378
