h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.314,0.568,0.314,0.568,"{'att': 203, 'def': 20}","{'att': 300, 'def': 20}",4,6,1,1,0.99,d,2017-08-20 19:45:00,0,1,0,1,-0.254
h,1.244,0.824,1.244,0.824,"{'att': 173, 'def': 18}","{'att': 156, 'def': 19}",4,3,3,0,1.714,w,2017-08-27 17:00:00,1,0,0,3,0.42
a,1.0,1.201,1.0,1.201,"{'att': 138, 'def': 24}","{'att': 298, 'def': 25}",10,4,1,0,1.171,w,2017-09-10 17:00:00,1,0,0,3,-0.201
h,1.328,0.911,1.328,0.911,"{'att': 263, 'def': 18}","{'att': 240, 'def': 32}",8,2,2,2,1.718,d,2017-09-17 14:00:00,0,1,0,1,0.417
a,1.485,2.527,1.485,1.765,"{'att': 217, 'def': 19}","{'att': 244, 'def': 26}",5,9,3,2,0.682,w,2017-09-20 19:45:00,1,0,0,3,-0.28
a,0.206,2.787,0.206,2.787,"{'att': 432, 'def': 23}","{'att': 228, 'def': 38}",2,10,0,4,0.076,l,2017-09-23 19:45:00,0,0,1,0,-2.582
h,1.565,3.216,1.565,2.454,"{'att': 205, 'def': 25}","{'att': 298, 'def': 35}",13,6,2,2,0.362,d,2017-10-01 14:00:00,0,1,0,1,-0.89
a,2.007,0.389,2.007,0.389,"{'att': 121, 'def': 24}","{'att': 303, 'def': 23}",10,5,2,2,2.581,d,2017-10-15 14:00:00,0,1,0,1,1.618
h,0.491,0.864,0.491,0.864,"{'att': 269, 'def': 43}","{'att': 143, 'def': 30}",2,3,0,1,0.947,l,2017-10-22 14:00:00,0,0,1,0,-0.373
a,0.875,1.339,0.875,0.578,"{'att': 252, 'def': 31}","{'att': 260, 'def': 39}",8,4,0,3,0.872,l,2017-10-25 19:45:00,0,0,1,0,0.298
h,2.647,0.686,2.647,0.686,"{'att': 220, 'def': 15}","{'att': 232, 'def': 25}",8,4,2,1,2.634,w,2017-10-29 19:45:00,1,0,0,3,1.961
a,1.127,1.635,1.127,1.635,"{'att': 264, 'def': 22}","{'att': 239, 'def': 26}",8,11,1,1,0.967,d,2017-11-05 11:30:00,0,1,0,1,-0.508
h,2.859,1.384,2.082,1.384,"{'att': 202, 'def': 18}","{'att': 323, 'def': 23}",7,4,1,1,2.415,d,2017-11-19 14:00:00,0,1,0,1,0.699
a,1.002,1.16,1.002,1.16,"{'att': 226, 'def': 32}","{'att': 205, 'def': 25}",3,5,0,0,1.239,d,2017-11-26 14:00:00,0,1,0,1,-0.158
h,0.854,1.039,0.854,1.039,"{'att': 175, 'def': 28}","{'att': 245, 'def': 27}",5,6,1,1,1.181,d,2017-12-02 19:45:00,0,1,0,1,-0.184
a,1.067,1.416,1.067,1.416,"{'att': 221, 'def': 22}","{'att': 264, 'def': 23}",8,8,3,1,1.094,w,2017-12-11 20:00:00,1,0,0,3,-0.349
h,0.732,2.315,0.732,2.315,"{'att': 450, 'def': 26}","{'att': 264, 'def': 28}",6,12,1,3,0.363,l,2017-12-16 17:00:00,0,0,1,0,-1.583
a,1.239,1.279,1.239,0.517,"{'att': 149, 'def': 24}","{'att': 192, 'def': 24}",7,6,2,2,1.279,d,2017-12-23 14:00:00,0,1,0,1,0.722
h,1.007,0.066,1.007,0.066,"{'att': 190, 'def': 35}","{'att': 265, 'def': 29}",3,1,0,0,2.281,d,2017-12-30 14:00:00,0,1,0,1,0.941
h,2.018,0.961,2.018,0.2,"{'att': 200, 'def': 29}","{'att': 315, 'def': 26}",11,3,3,0,2.172,w,2018-01-06 11:30:00,1,0,0,3,1.818
a,0.971,1.406,0.971,1.406,"{'att': 163, 'def': 21}","{'att': 231, 'def': 31}",0,6,1,1,0.992,d,2018-01-21 14:00:00,0,1,0,1,-0.434
h,2.295,0.241,2.295,0.241,"{'att': 236, 'def': 21}","{'att': 389, 'def': 20}",4,1,3,0,2.767,w,2018-01-28 14:00:00,1,0,0,3,2.054
a,1.391,0.301,1.391,0.301,"{'att': 240, 'def': 21}","{'att': 194, 'def': 35}",2,5,1,1,2.351,d,2018-02-03 17:00:00,0,1,0,1,1.09
h,1.177,0.559,1.177,0.559,"{'att': 246, 'def': 22}","{'att': 181, 'def': 25}",1,8,2,0,1.888,w,2018-02-11 14:00:00,1,0,0,3,0.617
h,0.22,1.729,0.22,1.729,"{'att': 312, 'def': 29}","{'att': 288, 'def': 23}",2,4,0,1,0.225,l,2018-02-18 11:30:00,0,0,1,0,-1.51
a,1.067,0.983,1.067,0.983,"{'att': 144, 'def': 34}","{'att': 214, 'def': 34}",9,5,1,2,1.401,l,2018-02-25 14:00:00,0,0,1,0,0.085
