h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.459,0.574,1.459,0.574,"{'att': 220, 'def': 21}","{'att': 202, 'def': 33}",7,6,2,0,2.139,w,2018-08-19 21:30:00,1,0,0,3,0.885
a,1.258,0.951,1.258,0.951,"{'att': 112, 'def': 23}","{'att': 296, 'def': 19}",12,5,1,2,1.644,l,2018-08-26 21:30:00,0,0,1,0,0.307
a,1.359,1.269,1.359,1.269,"{'att': 189, 'def': 18}","{'att': 395, 'def': 16}",5,4,0,0,1.43,d,2018-09-02 18:30:00,0,1,0,1,0.09
h,1.491,2.743,1.491,2.743,"{'att': 228, 'def': 17}","{'att': 320, 'def': 16}",5,9,0,1,0.591,l,2018-09-16 16:00:00,0,0,1,0,-1.252
a,1.038,2.097,1.038,2.097,"{'att': 382, 'def': 18}","{'att': 196, 'def': 22}",10,9,1,3,0.602,l,2018-09-21 18:30:00,0,0,1,0,-1.059
h,1.177,1.529,0.416,1.529,"{'att': 264, 'def': 27}","{'att': 261, 'def': 25}",4,7,1,1,1.126,d,2018-09-27 19:00:00,0,1,0,1,-1.113
a,1.445,0.645,1.445,0.645,"{'att': 149, 'def': 30}","{'att': 334, 'def': 17}",14,4,0,1,1.998,l,2018-09-30 16:00:00,0,0,1,0,0.8
h,1.999,0.864,1.238,0.864,"{'att': 313, 'def': 20}","{'att': 241, 'def': 15}",6,7,0,2,2.255,l,2018-10-06 18:30:00,0,0,1,0,0.374
a,1.19,1.047,1.19,0.286,"{'att': 167, 'def': 32}","{'att': 206, 'def': 26}",12,3,3,3,1.42,d,2018-10-21 10:30:00,0,1,0,1,0.904
h,0.273,1.486,0.273,0.724,"{'att': 253, 'def': 21}","{'att': 231, 'def': 37}",7,6,1,2,0.307,l,2018-10-27 16:00:00,0,0,1,0,-0.452
a,0.766,2.452,0.766,2.452,"{'att': 342, 'def': 27}","{'att': 395, 'def': 26}",9,8,1,5,0.355,l,2018-11-02 19:30:00,0,0,1,0,-1.686
h,1.547,3.754,1.547,2.993,"{'att': 255, 'def': 17}","{'att': 124, 'def': 18}",9,11,2,1,0.304,w,2018-11-11 14:00:00,1,0,0,3,-1.446
