h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.26,1.051,2.26,0.29,"{'att': 143, 'def': 21}","{'att': 441, 'def': 20}",9,1,3,2,2.269,w,2018-08-18 19:00:00,1,0,0,3,1.969
h,1.507,0.316,1.507,0.316,"{'att': 242, 'def': 18}","{'att': 313, 'def': 29}",5,1,2,0,2.416,w,2018-08-25 19:00:00,1,0,0,3,1.192
a,2.184,1.906,2.184,1.906,"{'att': 156, 'def': 26}","{'att': 314, 'def': 17}",13,4,2,1,1.546,w,2018-09-01 18:30:00,1,0,0,3,0.278
h,2.851,0.741,2.851,0.741,"{'att': 322, 'def': 26}","{'att': 224, 'def': 27}",9,1,2,1,2.728,w,2018-09-16 13:00:00,1,0,0,3,2.11
a,2.918,0.063,2.918,0.063,"{'att': 130, 'def': 18}","{'att': 250, 'def': 17}",16,1,2,0,2.93,w,2018-09-23 18:30:00,1,0,0,3,2.855
h,0.851,0.326,0.851,0.326,"{'att': 126, 'def': 26}","{'att': 497, 'def': 16}",9,1,2,0,1.825,w,2018-09-26 19:00:00,1,0,0,3,0.525
h,3.045,1.425,3.045,1.425,"{'att': 287, 'def': 25}","{'att': 344, 'def': 24}",3,4,3,1,2.454,w,2018-09-29 16:00:00,1,0,0,3,1.621
a,2.814,0.743,2.814,0.743,"{'att': 263, 'def': 32}","{'att': 381, 'def': 18}",18,0,2,0,2.711,w,2018-10-06 16:00:00,1,0,0,3,2.072
h,1.847,0.853,1.847,0.853,"{'att': 195, 'def': 31}","{'att': 320, 'def': 30}",6,1,1,1,2.157,d,2018-10-20 16:00:00,0,1,0,1,0.994
a,1.486,0.273,0.724,0.273,"{'att': 231, 'def': 37}","{'att': 253, 'def': 21}",6,7,2,1,2.502,w,2018-10-27 16:00:00,1,0,0,3,0.452
h,2.113,0.726,2.113,0.726,"{'att': 290, 'def': 22}","{'att': 313, 'def': 23}",12,4,3,1,2.395,w,2018-11-03 19:30:00,1,0,0,3,1.387
a,1.535,0.822,1.535,0.06,"{'att': 248, 'def': 24}","{'att': 364, 'def': 18}",1,2,2,0,1.952,w,2018-11-11 19:30:00,1,0,0,3,1.474
h,1.824,0.331,1.824,0.331,"{'att': 347, 'def': 29}","{'att': 281, 'def': 15}",4,1,2,0,2.563,w,2018-11-24 17:00:00,1,0,0,3,1.494
a,1.739,1.159,0.978,1.159,"{'att': 173, 'def': 22}","{'att': 257, 'def': 24}",4,5,3,0,1.838,w,2018-12-01 17:00:00,1,0,0,3,-0.181
h,1.483,1.045,1.483,1.045,"{'att': 274, 'def': 23}","{'att': 237, 'def': 30}",7,5,1,0,1.745,w,2018-12-07 19:30:00,1,0,0,3,0.438
a,1.351,0.61,0.589,0.61,"{'att': 131, 'def': 21}","{'att': 206, 'def': 17}",5,3,1,0,2.083,w,2018-12-15 19:30:00,1,0,0,3,-0.021
h,2.279,0.253,2.279,0.253,"{'att': 217, 'def': 22}","{'att': 268, 'def': 30}",6,5,1,0,2.754,w,2018-12-22 19:30:00,1,0,0,3,2.026
a,1.051,1.748,1.051,1.748,"{'att': 246, 'def': 16}","{'att': 211, 'def': 27}",3,11,2,2,0.828,d,2018-12-26 14:00:00,0,1,0,1,-0.697
h,1.419,1.234,0.658,0.472,"{'att': 231, 'def': 24}","{'att': 310, 'def': 29}",4,1,2,1,1.473,w,2018-12-29 11:30:00,1,0,0,3,0.186
h,3.928,0.475,3.166,0.475,"{'att': 217, 'def': 19}","{'att': 406, 'def': 22}",11,2,3,0,2.947,w,2019-01-21 19:30:00,1,0,0,3,2.691
a,1.278,1.75,0.517,1.75,"{'att': 174, 'def': 17}","{'att': 331, 'def': 35}",3,6,2,1,0.995,w,2019-01-27 19:30:00,1,0,0,3,-1.233
