h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.405,1.205,0.643,1.205,"{'att': 341, 'def': 24}","{'att': 210, 'def': 26}",5,7,1,0,1.522,w,2018-08-19 21:30:00,1,0,0,3,-0.561
a,1.785,1.522,1.024,1.522,"{'att': 175, 'def': 18}","{'att': 335, 'def': 30}",10,4,2,2,1.58,d,2018-08-26 21:30:00,0,1,0,1,-0.498
h,2.056,1.888,2.056,1.888,"{'att': 252, 'def': 24}","{'att': 228, 'def': 33}",3,5,5,3,1.507,w,2018-09-02 18:30:00,1,0,0,3,0.168
a,0.741,2.851,0.741,2.851,"{'att': 224, 'def': 27}","{'att': 322, 'def': 26}",1,9,1,2,0.183,l,2018-09-16 13:00:00,0,0,1,0,-2.11
h,2.097,1.038,2.097,1.038,"{'att': 196, 'def': 22}","{'att': 382, 'def': 18}",9,10,3,1,2.194,w,2018-09-21 18:30:00,1,0,0,3,1.059
a,2.086,1.024,2.086,1.024,"{'att': 305, 'def': 17}","{'att': 251, 'def': 29}",5,1,2,0,2.289,w,2018-09-27 17:00:00,1,0,0,3,1.062
h,0.705,1.306,0.705,1.306,"{'att': 199, 'def': 20}","{'att': 342, 'def': 21}",8,4,1,4,0.816,l,2018-09-30 18:30:00,0,0,1,0,-0.601
a,0.927,1.768,0.927,1.768,"{'att': 342, 'def': 25}","{'att': 435, 'def': 30}",3,6,0,2,0.759,l,2018-10-07 16:00:00,0,0,1,0,-0.841
a,0.642,1.284,0.642,1.284,"{'att': 284, 'def': 26}","{'att': 261, 'def': 44}",5,8,0,0,0.78,d,2018-10-22 18:30:00,0,1,0,1,-0.642
h,1.937,1.508,1.176,1.508,"{'att': 97, 'def': 24}","{'att': 339, 'def': 25}",9,4,2,2,1.731,d,2018-10-28 10:30:00,0,1,0,1,-0.332
a,1.145,0.535,1.145,0.535,"{'att': 314, 'def': 23}","{'att': 237, 'def': 30}",4,7,2,0,1.925,w,2018-11-04 14:00:00,1,0,0,3,0.61
h,0.542,1.49,0.542,1.49,"{'att': 207, 'def': 28}","{'att': 345, 'def': 32}",3,8,1,1,0.457,d,2018-11-11 17:00:00,0,1,0,1,-0.948
a,1.519,2.214,0.758,2.214,"{'att': 88, 'def': 19}","{'att': 339, 'def': 28}",2,1,1,2,0.74,l,2018-11-25 11:30:00,0,0,1,0,-1.455
h,1.831,0.143,1.831,0.143,"{'att': 176, 'def': 29}","{'att': 331, 'def': 21}",13,0,0,0,2.675,d,2018-12-02 14:00:00,0,1,0,1,1.687
h,1.095,2.201,1.095,2.201,"{'att': 192, 'def': 21}","{'att': 222, 'def': 19}",7,6,3,3,0.595,d,2018-12-09 11:30:00,0,1,0,1,-1.106
a,1.177,0.415,1.177,0.415,"{'att': 168, 'def': 19}","{'att': 288, 'def': 19}",6,3,2,0,2.006,w,2018-12-16 14:00:00,1,0,0,3,0.762
h,2.512,0.264,2.512,0.264,"{'att': 139, 'def': 20}","{'att': 232, 'def': 33}",5,8,1,1,2.829,d,2018-12-22 14:00:00,0,1,0,1,2.248
a,0.591,4.118,0.591,3.357,"{'att': 209, 'def': 22}","{'att': 236, 'def': 26}",1,10,1,3,0.04,l,2018-12-26 17:00:00,0,0,1,0,-2.765
h,1.071,3.424,1.071,3.424,"{'att': 288, 'def': 31}","{'att': 218, 'def': 27}",5,6,2,6,0.241,l,2018-12-29 14:00:00,0,0,1,0,-2.353
a,1.381,1.241,1.381,1.241,"{'att': 310, 'def': 20}","{'att': 231, 'def': 33}",4,7,0,0,1.446,d,2019-01-19 19:30:00,0,1,0,1,0.141
h,4.307,0.419,3.546,0.419,"{'att': 297, 'def': 14}","{'att': 228, 'def': 35}",3,3,3,0,2.97,w,2019-01-26 14:00:00,1,0,0,3,3.127
a,0.704,0.865,0.704,0.865,"{'att': 125, 'def': 21}","{'att': 339, 'def': 29}",6,6,1,1,1.131,d,2019-02-03 14:00:00,0,1,0,1,-0.161
h,0.438,2.11,0.438,2.11,"{'att': 320, 'def': 22}","{'att': 303, 'def': 26}",5,6,0,3,0.26,l,2019-02-10 17:00:00,0,0,1,0,-1.672
a,0.624,1.508,0.624,1.508,"{'att': 173, 'def': 21}","{'att': 457, 'def': 18}",8,8,0,3,0.62,l,2019-02-17 14:00:00,0,0,1,0,-0.884
h,0.318,1.006,0.318,0.245,"{'att': 252, 'def': 30}","{'att': 297, 'def': 22}",6,3,1,1,0.519,d,2019-02-24 14:00:00,0,1,0,1,0.073
a,0.833,1.319,0.833,1.319,"{'att': 253, 'def': 13}","{'att': 278, 'def': 22}",4,4,0,1,0.92,l,2019-03-02 17:00:00,0,0,1,0,-0.486
h,1.027,0.72,1.027,0.72,"{'att': 321, 'def': 17}","{'att': 231, 'def': 18}",5,2,1,1,1.656,d,2019-03-10 17:00:00,0,1,0,1,0.307
h,1.81,2.5,1.81,2.5,"{'att': 373, 'def': 14}","{'att': 239, 'def': 29}",5,8,3,5,0.91,l,2019-03-16 14:00:00,0,0,1,0,-0.69
a,0.712,2.033,0.712,1.272,"{'att': 132, 'def': 30}","{'att': 213, 'def': 23}",4,6,1,2,0.418,l,2019-03-31 16:00:00,0,0,1,0,-0.56
h,2.162,1.466,2.162,0.705,"{'att': 230, 'def': 13}","{'att': 325, 'def': 31}",4,2,4,0,1.892,w,2019-04-04 18:00:00,1,0,0,3,1.457
a,1.209,3.363,1.209,2.601,"{'att': 221, 'def': 10}","{'att': 222, 'def': 25}",2,17,2,2,0.137,d,2019-04-07 17:00:00,0,1,0,1,-1.393
h,1.254,0.829,1.254,0.067,"{'att': 107, 'def': 18}","{'att': 352, 'def': 17}",11,1,0,0,1.67,d,2019-04-14 14:00:00,0,1,0,1,1.187
a,0.747,0.908,0.747,0.908,"{'att': 173, 'def': 24}","{'att': 243, 'def': 35}",1,4,1,1,1.152,d,2019-04-20 14:00:00,0,1,0,1,-0.16
a,1.77,1.142,1.77,0.38,"{'att': 227, 'def': 24}","{'att': 262, 'def': 29}",4,2,1,0,1.904,w,2019-04-29 20:00:00,1,0,0,3,1.39
h,2.063,0.625,2.063,0.625,"{'att': 114, 'def': 22}","{'att': 319, 'def': 30}",4,2,2,2,2.435,d,2019-05-05 14:00:00,0,1,0,1,1.438
a,0.846,3.932,0.846,3.171,"{'att': 258, 'def': 16}","{'att': 165, 'def': 35}",2,11,2,3,0.072,l,2019-05-12 11:30:00,0,0,1,0,-2.324
h,1.125,2.766,1.125,2.766,"{'att': 243, 'def': 22}","{'att': 297, 'def': 20}",5,10,0,0,0.454,d,2019-05-18 18:30:00,0,1,0,1,-1.641
a,0.558,2.158,0.558,2.158,"{'att': 324, 'def': 18}","{'att': 156, 'def': 29}",4,11,1,3,0.205,l,2019-05-26 18:30:00,0,0,1,0,-1.6
