h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.355,0.618,2.355,0.618,"{'att': 322, 'def': 34}","{'att': 192, 'def': 28}",9,2,1,0,2.62,w,2020-09-19 16:00:00,1,0,0,3,1.737
a,2.253,1.696,2.253,1.696,"{'att': 339, 'def': 14}","{'att': 193, 'def': 37}",9,17,3,4,1.786,l,2020-09-26 18:45:00,0,0,1,0,0.558
h,2.028,2.181,2.028,1.42,"{'att': 156, 'def': 19}","{'att': 287, 'def': 23}",5,6,1,2,1.277,l,2020-10-02 18:45:00,0,0,1,0,0.608
a,1.084,0.926,1.084,0.926,"{'att': 251, 'def': 31}","{'att': 289, 'def': 37}",6,2,2,2,1.469,d,2020-10-18 13:00:00,0,1,0,1,0.158
h,1.204,2.686,1.204,2.686,"{'att': 248, 'def': 20}","{'att': 192, 'def': 30}",5,8,3,2,0.361,w,2020-10-25 17:00:00,1,0,0,3,-1.482
a,0.373,3.628,0.373,3.628,"{'att': 201, 'def': 28}","{'att': 339, 'def': 35}",3,9,0,2,0.035,l,2020-11-01 17:00:00,0,0,1,0,-3.255
a,0.815,0.132,0.815,0.132,"{'att': 259, 'def': 31}","{'att': 429, 'def': 26}",3,3,0,0,2.05,d,2020-11-07 19:45:00,0,1,0,1,0.683
h,1.212,0.565,1.212,0.565,"{'att': 170, 'def': 35}","{'att': 306, 'def': 29}",8,5,0,1,1.985,l,2020-11-22 11:30:00,0,0,1,0,0.646
a,0.603,2.858,0.603,1.335,"{'att': 190, 'def': 24}","{'att': 267, 'def': 28}",4,7,0,2,0.124,l,2020-11-29 14:00:00,0,0,1,0,-0.732
h,2.792,1.377,2.792,1.377,"{'att': 222, 'def': 15}","{'att': 322, 'def': 32}",9,4,1,1,2.372,d,2020-12-07 19:45:00,0,1,0,1,1.415
a,0.462,2.804,0.462,2.804,"{'att': 264, 'def': 22}","{'att': 253, 'def': 25}",2,15,0,3,0.125,l,2020-12-13 14:00:00,0,0,1,0,-2.342
h,1.718,1.71,0.957,1.71,"{'att': 378, 'def': 26}","{'att': 134, 'def': 19}",9,8,1,1,1.355,d,2020-12-16 19:45:00,0,1,0,1,-0.753
h,1.683,1.247,0.921,0.486,"{'att': 133, 'def': 31}","{'att': 190, 'def': 22}",3,2,1,1,1.777,d,2020-12-19 14:00:00,0,1,0,1,0.436
a,1.531,0.388,1.531,0.388,"{'att': 308, 'def': 24}","{'att': 216, 'def': 16}",7,0,3,0,2.399,w,2020-12-22 19:45:00,1,0,0,3,1.143
h,0.352,0.634,0.352,0.634,"{'att': 295, 'def': 18}","{'att': 237, 'def': 16}",2,4,0,0,0.937,d,2021-01-03 14:00:00,0,1,0,1,-0.281
a,1.773,1.919,1.012,1.919,"{'att': 247, 'def': 24}","{'att': 275, 'def': 19}",5,3,1,2,1.233,l,2021-01-06 14:00:00,0,0,1,0,-0.907
h,1.907,1.255,1.907,0.494,"{'att': 240, 'def': 37}","{'att': 234, 'def': 16}",5,2,1,0,1.898,w,2021-01-10 17:00:00,1,0,0,3,1.414
a,1.14,2.241,1.14,1.48,"{'att': 341, 'def': 26}","{'att': 324, 'def': 18}",7,5,0,6,0.564,l,2021-01-17 11:30:00,0,0,1,0,-0.34
h,1.039,0.612,1.039,0.612,"{'att': 274, 'def': 24}","{'att': 197, 'def': 21}",7,0,2,1,1.747,w,2021-01-23 19:45:00,1,0,0,3,0.428
a,1.484,2.164,1.484,2.164,"{'att': 214, 'def': 20}","{'att': 205, 'def': 38}",5,8,1,1,0.89,d,2021-01-29 19:45:00,0,1,0,1,-0.68
h,0.542,2.481,0.542,2.481,"{'att': 316, 'def': 19}","{'att': 245, 'def': 17}",2,10,0,2,0.228,l,2021-02-05 19:45:00,0,0,1,0,-1.939
a,1.28,1.374,1.28,1.374,"{'att': 245, 'def': 35}","{'att': 191, 'def': 27}",6,3,1,2,1.235,l,2021-02-14 14:00:00,0,0,1,0,-0.093
h,2.083,0.855,2.083,0.855,"{'att': 296, 'def': 24}","{'att': 183, 'def': 20}",7,7,3,0,2.321,w,2021-02-19 17:30:00,1,0,0,3,1.228
a,0.394,1.009,0.394,1.009,"{'att': 214, 'def': 20}","{'att': 264, 'def': 16}",7,3,0,1,0.698,l,2021-02-28 14:00:00,0,0,1,0,-0.616
h,0.44,1.382,0.44,1.382,"{'att': 290, 'def': 17}","{'att': 180, 'def': 24}",2,7,1,2,0.515,l,2021-03-03 19:45:00,0,0,1,0,-0.942
h,1.255,2.668,1.255,1.906,"{'att': 312, 'def': 25}","{'att': 177, 'def': 29}",3,4,3,3,0.396,d,2021-03-07 14:00:00,0,1,0,1,-0.651
a,2.269,1.543,2.269,1.543,"{'att': 308, 'def': 25}","{'att': 149, 'def': 22}",3,6,4,1,1.904,w,2021-03-13 17:00:00,1,0,0,3,0.726
h,0.445,1.833,0.445,1.833,"{'att': 288, 'def': 19}","{'att': 142, 'def': 20}",2,8,2,3,0.355,l,2021-03-21 17:00:00,0,0,1,0,-1.388
a,0.905,1.184,0.905,1.184,"{'att': 309, 'def': 21}","{'att': 235, 'def': 20}",4,3,1,1,1.069,d,2021-04-03 13:00:00,0,1,0,1,-0.279
h,1.288,3.08,1.288,2.318,"{'att': 354, 'def': 22}","{'att': 222, 'def': 29}",5,15,2,3,0.35,l,2021-04-11 18:45:00,0,0,1,0,-1.031
a,0.777,2.276,0.777,0.753,"{'att': 436, 'def': 19}","{'att': 102, 'def': 13}",6,7,1,3,0.296,l,2021-04-17 16:00:00,0,0,1,0,0.024
a,1.144,1.956,0.383,1.956,"{'att': 322, 'def': 23}","{'att': 128, 'def': 16}",6,7,2,1,0.679,w,2021-04-20 18:45:00,1,0,0,3,-1.574
h,1.211,1.156,0.45,1.156,"{'att': 330, 'def': 19}","{'att': 99, 'def': 31}",2,3,1,1,1.394,d,2021-04-25 13:00:00,0,1,0,1,-0.706
a,2.012,1.94,1.25,1.94,"{'att': 293, 'def': 14}","{'att': 140, 'def': 27}",6,9,3,3,1.467,d,2021-05-02 13:00:00,0,1,0,1,-0.689
h,1.425,0.981,1.425,0.981,"{'att': 293, 'def': 14}","{'att': 99, 'def': 19}",4,11,2,0,1.782,w,2021-05-08 18:45:00,1,0,0,3,0.444
a,0.106,0.346,0.106,0.346,"{'att': 299, 'def': 13}","{'att': 196, 'def': 19}",1,5,0,0,0.876,d,2021-05-12 16:30:00,0,1,0,1,-0.24
h,0.344,1.908,0.344,1.014,"{'att': 254, 'def': 10}","{'att': 180, 'def': 22}",1,3,0,2,0.216,l,2021-05-16 10:30:00,0,0,1,0,-0.669
a,0.471,2.413,0.471,2.413,"{'att': 336, 'def': 23}","{'att': 201, 'def': 20}",6,7,0,0,0.199,d,2021-05-22 18:45:00,0,1,0,1,-1.942
