h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.252,1.867,1.49,1.867,"{'att': 358, 'def': 27}","{'att': 160, 'def': 10}",10,4,2,3,1.676,l,2021-08-21 16:30:00,0,0,1,0,-0.377
h,0.604,1.837,0.604,1.837,"{'att': 263, 'def': 24}","{'att': 175, 'def': 26}",5,3,1,3,0.46,l,2021-08-27 18:45:00,0,0,1,0,-1.233
a,0.315,1.255,0.315,1.255,"{'att': 139, 'def': 32}","{'att': 245, 'def': 30}",5,6,0,1,0.503,l,2021-09-13 18:45:00,0,0,1,0,-0.94
h,1.021,0.662,1.021,0.662,"{'att': 192, 'def': 22}","{'att': 244, 'def': 25}",5,6,3,2,1.731,w,2021-09-19 16:00:00,1,0,0,3,0.36
a,2.062,2.689,2.062,2.689,"{'att': 157, 'def': 26}","{'att': 170, 'def': 18}",7,5,2,2,0.91,d,2021-09-22 16:30:00,0,1,0,1,-0.628
a,2.073,1.437,1.311,0.676,"{'att': 220, 'def': 21}","{'att': 234, 'def': 23}",8,3,3,3,1.86,d,2021-09-25 18:45:00,0,1,0,1,0.636
h,0.691,1.577,0.691,1.577,"{'att': 263, 'def': 23}","{'att': 207, 'def': 32}",4,6,4,0,0.59,w,2021-10-03 13:00:00,1,0,0,3,-0.886
a,1.583,1.519,0.822,0.757,"{'att': 212, 'def': 29}","{'att': 144, 'def': 23}",10,6,2,3,1.401,l,2021-10-16 18:45:00,0,0,1,0,0.065
h,3.536,1.425,3.536,1.425,"{'att': 310, 'def': 25}","{'att': 294, 'def': 28}",12,1,4,1,2.57,w,2021-10-24 13:00:00,1,0,0,3,2.111
a,0.843,0.941,0.082,0.941,"{'att': 115, 'def': 15}","{'att': 373, 'def': 23}",5,4,1,1,1.333,d,2021-10-27 16:30:00,0,1,0,1,-0.859
h,1.577,1.79,1.577,1.79,"{'att': 301, 'def': 27}","{'att': 228, 'def': 19}",9,8,2,1,1.198,w,2021-10-30 16:00:00,1,0,0,3,-0.213
a,1.226,0.801,1.226,0.801,"{'att': 271, 'def': 27}","{'att': 185, 'def': 28}",11,10,1,1,1.767,d,2021-11-07 17:00:00,0,1,0,1,0.425
h,1.302,1.563,1.302,1.563,"{'att': 180, 'def': 16}","{'att': 196, 'def': 19}",10,5,2,1,1.087,w,2021-11-22 17:30:00,1,0,0,3,-0.26
a,0.698,0.75,0.698,0.75,"{'att': 130, 'def': 19}","{'att': 273, 'def': 26}",6,8,1,3,1.266,l,2021-11-27 14:00:00,0,0,1,0,-0.053
h,1.16,0.575,1.16,0.575,"{'att': 102, 'def': 18}","{'att': 303, 'def': 26}",7,2,0,0,1.866,d,2021-11-30 19:45:00,0,1,0,1,0.585
a,2.088,1.487,1.327,1.487,"{'att': 173, 'def': 30}","{'att': 233, 'def': 14}",13,5,4,3,1.824,w,2021-12-05 14:00:00,1,0,0,3,-0.16
h,0.997,1.019,0.997,1.019,"{'att': 156, 'def': 21}","{'att': 154, 'def': 28}",10,8,1,2,1.32,l,2021-12-12 14:00:00,0,0,1,0,-0.022
a,0.261,0.861,0.261,0.861,"{'att': 244, 'def': 20}","{'att': 126, 'def': 22}",3,1,0,1,0.645,l,2021-12-19 17:00:00,0,0,1,0,-0.599
h,0.949,1.289,0.949,1.289,"{'att': 322, 'def': 28}","{'att': 152, 'def': 20}",5,11,1,1,1.084,d,2021-12-22 17:30:00,0,1,0,1,-0.34
a,2.16,1.324,2.16,1.324,"{'att': 140, 'def': 12}","{'att': 242, 'def': 18}",6,0,2,1,1.964,w,2022-01-06 13:30:00,1,0,0,3,0.836
h,1.385,1.284,1.385,0.523,"{'att': 77, 'def': 15}","{'att': 232, 'def': 16}",11,4,1,2,1.404,l,2022-01-09 19:45:00,0,0,1,0,0.862
a,4.116,0.856,3.355,0.856,"{'att': 216, 'def': 27}","{'att': 135, 'def': 16}",18,7,4,2,2.891,w,2022-01-16 11:30:00,1,0,0,3,2.5
h,2.052,0.417,2.052,0.417,"{'att': 158, 'def': 35}","{'att': 212, 'def': 25}",8,4,2,1,2.562,w,2022-01-21 19:45:00,1,0,0,3,1.635
a,0.435,1.384,0.435,1.384,"{'att': 243, 'def': 24}","{'att': 237, 'def': 28}",9,8,0,2,0.568,l,2022-02-06 19:45:00,0,0,1,0,-0.95
h,0.622,1.011,0.622,1.011,"{'att': 220, 'def': 19}","{'att': 170, 'def': 32}",6,14,4,0,1.012,w,2022-02-13 14:00:00,1,0,0,3,-0.389
a,0.823,0.314,0.823,0.314,"{'att': 286, 'def': 26}","{'att': 184, 'def': 29}",7,6,2,2,1.93,d,2022-02-19 17:00:00,0,1,0,1,0.509
h,3.533,0.974,3.533,0.974,"{'att': 156, 'def': 33}","{'att': 220, 'def': 33}",9,2,3,1,2.762,w,2022-02-27 14:00:00,1,0,0,3,2.559
a,0.974,1.535,0.213,1.535,"{'att': 208, 'def': 22}","{'att': 185, 'def': 24}",4,3,1,1,0.842,d,2022-03-06 14:00:00,0,1,0,1,-1.323
h,0.871,2.069,0.871,2.069,"{'att': 221, 'def': 28}","{'att': 215, 'def': 22}",4,3,1,2,0.488,l,2022-03-13 14:00:00,0,0,1,0,-1.199
a,1.545,0.934,0.783,0.934,"{'att': 135, 'def': 18}","{'att': 196, 'def': 26}",11,4,1,1,1.899,d,2022-03-20 14:00:00,0,1,0,1,-0.151
h,1.209,0.709,1.209,0.709,"{'att': 149, 'def': 27}","{'att': 168, 'def': 38}",6,7,1,0,1.828,w,2022-04-04 16:30:00,1,0,0,3,0.5
