h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.983,0.505,2.983,0.505,"{'att': 266, 'def': 21}","{'att': 263, 'def': 29}",10,3,1,0,2.789,w,2022-08-14 18:45:00,1,0,0,3,2.477
h,2.914,0.509,2.914,0.509,"{'att': 229, 'def': 13}","{'att': 197, 'def': 28}",11,4,1,0,2.765,w,2022-08-22 16:30:00,1,0,0,3,2.405
a,0.964,0.633,0.964,0.633,"{'att': 315, 'def': 17}","{'att': 209, 'def': 27}",1,2,1,1,1.731,d,2022-08-27 16:30:00,0,1,0,1,0.331
h,2.671,0.561,2.671,0.561,"{'att': 337, 'def': 17}","{'att': 252, 'def': 20}",12,4,3,0,2.721,w,2022-08-30 18:45:00,1,0,0,3,2.111
a,0.862,1.282,0.862,1.282,"{'att': 199, 'def': 14}","{'att': 316, 'def': 24}",7,5,0,4,0.942,l,2022-09-04 18:45:00,0,0,1,0,-0.42
a,3.837,1.152,3.076,1.152,"{'att': 216, 'def': 23}","{'att': 194, 'def': 23}",9,4,2,1,2.77,w,2022-09-12 18:45:00,1,0,0,3,1.924
h,3.281,0.145,3.281,0.145,"{'att': 186, 'def': 8}","{'att': 311, 'def': 39}",12,1,0,1,2.943,l,2022-09-18 16:00:00,0,0,1,0,3.136
a,1.038,0.762,1.038,0.762,"{'att': 354, 'def': 16}","{'att': 239, 'def': 20}",1,6,2,1,1.612,w,2022-10-01 16:00:00,1,0,0,3,0.276
h,3.619,0.326,2.858,0.326,"{'att': 147, 'def': 31}","{'att': 325, 'def': 17}",9,3,2,1,2.936,w,2022-10-09 18:45:00,1,0,0,3,2.532
a,2.602,0.263,1.841,0.263,"{'att': 228, 'def': 29}","{'att': 155, 'def': 29}",1,4,1,0,2.879,w,2022-10-17 16:30:00,1,0,0,3,1.578
h,0.21,0.868,0.21,0.868,"{'att': 324, 'def': 32}","{'att': 236, 'def': 30}",1,9,0,1,0.633,l,2022-10-23 18:45:00,0,0,1,0,-0.658
a,3.033,0.288,3.033,0.288,"{'att': 130, 'def': 22}","{'att': 362, 'def': 15}",9,3,3,1,2.945,w,2022-10-31 17:30:00,1,0,0,3,2.744
h,0.378,0.539,0.378,0.539,"{'att': 231, 'def': 35}","{'att': 360, 'def': 21}",5,1,0,1,1.032,l,2022-11-06 17:00:00,0,0,1,0,-0.16
a,0.759,1.245,0.759,1.245,"{'att': 224, 'def': 27}","{'att': 306, 'def': 18}",9,9,1,1,0.883,d,2022-11-09 17:30:00,0,1,0,1,-0.486
h,1.345,0.848,0.584,0.848,"{'att': 280, 'def': 23}","{'att': 239, 'def': 17}",14,4,1,1,1.815,d,2022-11-13 14:00:00,0,1,0,1,-0.264
h,2.081,0.753,1.319,0.753,"{'att': 374, 'def': 17}","{'att': 226, 'def': 27}",1,7,1,0,2.426,w,2023-01-04 15:30:00,1,0,0,3,0.566
a,1.109,1.091,1.109,1.091,"{'att': 328, 'def': 21}","{'att': 160, 'def': 35}",3,3,2,2,1.372,d,2023-01-08 19:45:00,0,1,0,1,0.018
h,1.216,0.378,1.216,0.378,"{'att': 258, 'def': 23}","{'att': 315, 'def': 14}",7,1,2,0,2.156,w,2023-01-15 19:45:00,1,0,0,3,0.838
a,1.944,0.227,1.944,0.227,"{'att': 291, 'def': 21}","{'att': 309, 'def': 34}",0,1,2,0,2.684,w,2023-01-22 17:00:00,1,0,0,3,1.716
a,0.84,1.001,0.84,1.001,"{'att': 341, 'def': 18}","{'att': 248, 'def': 15}",8,3,1,2,1.175,l,2023-01-29 19:45:00,0,0,1,0,-0.161
h,2.283,1.421,2.283,1.421,"{'att': 281, 'def': 17}","{'att': 271, 'def': 26}",2,4,2,0,2.035,w,2023-02-04 17:00:00,1,0,0,3,0.862
a,1.912,0.386,1.15,0.386,"{'att': 156, 'def': 13}","{'att': 269, 'def': 35}",5,4,1,1,2.609,d,2023-02-11 17:00:00,0,1,0,1,0.765
h,1.216,0.579,1.216,0.579,"{'att': 285, 'def': 35}","{'att': 191, 'def': 28}",6,3,1,0,1.957,w,2023-02-19 19:45:00,1,0,0,3,0.638
a,0.651,0.994,0.651,0.233,"{'att': 149, 'def': 19}","{'att': 387, 'def': 35}",8,3,1,2,0.891,l,2023-02-28 17:30:00,0,0,1,0,0.418
h,0.535,0.723,0.535,0.723,"{'att': 363, 'def': 20}","{'att': 230, 'def': 24}",3,4,1,0,1.117,w,2023-03-05 19:45:00,1,0,0,3,-0.188
h,1.225,3.414,1.225,2.653,"{'att': 242, 'def': 25}","{'att': 297, 'def': 29}",7,6,3,4,0.248,l,2023-03-12 17:00:00,0,0,1,0,-1.428
a,0.771,0.735,0.771,0.735,"{'att': 405, 'def': 20}","{'att': 192, 'def': 28}",3,5,0,1,1.364,l,2023-03-19 17:00:00,0,0,1,0,0.036
h,3.16,0.249,2.399,0.249,"{'att': 237, 'def': 20}","{'att': 289, 'def': 19}",7,3,3,0,2.902,w,2023-04-02 16:00:00,1,0,0,3,2.15
a,1.109,0.257,0.348,0.257,"{'att': 325, 'def': 14}","{'att': 250, 'def': 24}",3,0,1,0,2.31,w,2023-04-08 16:30:00,1,0,0,3,0.091
h,2.415,1.133,1.574,0.372,"{'att': 330, 'def': 24}","{'att': 225, 'def': 19}",6,3,3,0,2.397,w,2023-04-16 18:45:00,1,0,0,3,1.202
a,1.529,1.145,1.529,1.145,"{'att': 187, 'def': 18}","{'att': 325, 'def': 23}",5,2,1,3,1.69,l,2023-04-24 18:45:00,0,0,1,0,0.383
h,1.179,1.374,1.179,1.374,"{'att': 379, 'def': 24}","{'att': 165, 'def': 17}",13,7,1,1,1.19,d,2023-04-29 16:00:00,0,1,0,1,-0.194
a,1.286,0.412,1.286,0.412,"{'att': 290, 'def': 38}","{'att': 187, 'def': 12}",5,4,1,1,2.127,d,2023-05-03 19:00:00,0,1,0,1,0.873
h,0.875,1.224,0.875,1.224,"{'att': 314, 'def': 23}","{'att': 262, 'def': 21}",5,2,0,2,1.009,l,2023-05-06 16:00:00,0,0,1,0,-0.349
a,1.357,0.304,1.357,0.304,"{'att': 458, 'def': 19}","{'att': 130, 'def': 20}",5,5,0,0,2.353,d,2023-05-14 16:00:00,0,1,0,1,1.054
h,1.281,1.068,1.281,1.068,"{'att': 228, 'def': 26}","{'att': 322, 'def': 15}",8,2,2,2,1.471,d,2023-05-22 16:30:00,0,1,0,1,0.213
a,1.268,2.999,1.268,2.999,"{'att': 293, 'def': 14}","{'att': 165, 'def': 14}",2,2,1,2,0.215,l,2023-05-27 16:00:00,0,0,1,0,-1.731
h,2.28,1.107,1.519,1.107,"{'att': 105, 'def': 20}","{'att': 312, 'def': 17}",8,2,2,1,2.255,w,2023-06-04 19:00:00,1,0,0,3,0.412
